,ID,Equation,Name,Superclass,Base class,React,Prod,ReactStr,ProdStr,AtomicRegulon,Pathway
88,ACCOAC,accoa_c + atp_c + hco3_c --> adp_c + h_c + malcoa_c + pi_c,Acetyl-CoA carboxylase,U;U;SS,SS,U,U,0U2;-1U1;-2U1,-1S1;0U1;-1U1,,
89,NADK,atp_c + nad_c --> adp_c + h_c + nadp_c,NAD kinase,U;U;SU,SU,U,U,-1U4;-1S4;-2U2;-3U2;-4U2;-5U2;-6U2;-2D2;-1D3;-7U2;-3S2;-2S2;-8U2;-3D2;-4S2;-9U2;-4D2;-5S2;-10U2;-5D2;-6S2;-11U2;-6D2;-7S2;-12U2;-7D2;-8S2;-13U2;-8D2;-9S2;-14U2;-9D2;-10S2;-15U2;-10D2;-11S2;-16U2,-1U2;-2U2;-2S2;-3U2;-3S2;-4U2;-4S2;-5U2;-5S2;-1S2;-6U2;-6S2;-7U2;-7S2;-8U2;-8S2;-1D2;-2D2;-9U2;-9S2;-3D2;-10U2;-10S2;-4D2;-11U2;-11S2;-5D2;-12U2;-12S2;-6D2;-13U2;-13S2;-7D2;-14U2;-14S2;-8D2;-15U2;-15S2,,
90,ICHORS_copy2,chor_c <=> ichor_c,Isochorismate synthase,U;U;DU,DU,U,U,0U1;-1U1;-2U1;-3U1;-4U1,-1U1;-2U1;-2S1;-3U1;-3S1,,
91,SUCBZS,2shchc_c --> h2o_c + sucbz_c,O-succinylbenzoate-CoA synthase,U;U;DD,DD,U,U,-1U1;-2U1;-3U1;-4U1;-1S1;-5U1;-2S1;-6U1;-3D1;-2D1;-3S1;-7U1;-8U1;-4S1;-9U1;-4D1;-5S1;-10U1;-5D1;-6S1;-11U1;-6D1;-7S1;-12U1;-7D1;-8S1;-13U1;-8D1;-9S1;-14U1,0U1;-1U1;-1S1;-2U1;-2S1;-3U1;-3S1;-4U1;-4S1;-5U1;-5S1;-2D1;-1D1;-6U1;-6S1;-7U1;-7S1;-8U1;-8S1;-9U1;-9S1;-3D1;-10U1;-10S1;-4D1;-11U1;-11S1;-5D1;-12U1;-12S1;-6D1;-13U1;-13S1,,
92,DHBD,23ddhb_c + nad_c <=> 23dhb_c + h_c + nadh_c,"2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase",U;U;DD,DD,U,U,-1U1;-2U1;-3U1;0U1;-4U1,0U1;-1U1;-1S1;-2U1;-2S1;-3U1;-3S1,,
93,ICHORT,h2o_c + ichor_c --> 23ddhb_c + pyr_c,Isochorismatase,U;U;DD,DD,U,U,-1U9;-2U5;-3U4;0U1;-4U1,U1;-1U6;-1S1;-2U4;-2S2;-3U1;-3S1,,
94,GLUTRR,glutrna_c + h_c + nadph_c --> glu1sa_c + nadp_c + trnaglu_c,Glutamyl-tRNA reductase,U;U;SU,SU,U,U,-1U3;-2U2;-3U2;-4U1;0U2,-1U2;-2U2;-2S2;-3U1;-3S1;0U1;-1S1,,
95,GLCS1,adpglc_c --> adp_c + glycogen_c + h_c,Glycogen synthase (ADPGlc),D;;DU,DU,D,,0D1,,,
96,KAS14,acACP_c + h_c + malACP_c --> ACP_c + actACP_c + co2_c,Beta-ketoacyl-ACP synthase,U;U;SS,SS,U,U,0U2;-1U2;-2U2,-1S2;0U2;-1U2,,
97,HEMEOS,frdp_c + h2o_c + pheme_c --> hemeO_c + ppi_c,Heme O synthase,U;U;DS,DS,U,U,-1U2;-1S2;-1D2;-2U1;-3U1;-4U1;-5U1;-6U1;-2D2;-7U1;-3S1;-2S1;-8U1;-3D1;-4S1;-9U1;-4D1;-5S1;-10U1;-5D1;-6S1;-11U1;-6D1;-7S1;-12U1;-7D1;-8S1;-13U1;-8D1;-9S1;-14U1;-9D1;-10S1;-15U1;-10D1;-11S1;-16U1,-1U1;-2S1;-2U1;-3U1;-3S1;-4U1;-4S1;-1D1;-5U1;-5S1;-1S1;-6U1;-6S1;-7U1;-7S1;-8U1;-8S1;-2D1;-9U1;-9S1;-3D1;-10U1;-10S1;-4D1;-11U1;-11S1;-5D1;-12U1;-12S1;-6D1;-13U1;-13S1;-7D1;-14U1;-14S1;-8D1;-15U1;-15S1,,
98,ADMDC,amet_c + h_c --> ametam_c + co2_c,Adenosylmethionine decarboxylase,U;U;DS,DS,U,U,-1D1;0U1,-1U1;-1D1,,
99,ARGSS,asp__L_c + atp_c + citr__L_c --> amp_c + argsuc_c + h_c + ppi_c,Argininosuccinate synthase,U;U;SD,SD,U,U,U1;0U1,0U1,,
100,AGPR,acg5sa_c + nadp_c + pi_c <=> acg5p_c + h_c + nadph_c,N-acetyl-g-glutamyl-phosphate reductase,U;U;SD,SD,U,U,-1U2;-2U1;-3U1;-4U1;-5U1;-6U1;-1S1;-7U1;-2D1;-3S1;-2S1;-8U1;0U1,-1U2;-2U1;-2S1;-3U1;-3S1;-4U1;-4S1;-5U1;-5S1;-1S1;-6U1;-6S1;-7U1;-7S1,,
101,SPMS,ametam_c + ptrc_c --> 5mta_c + h_c + spmd_c,Spermidine synthase,D;U;DS,DS,D,U,D1,U1;D1,,
102,G1SAT,glu1sa_c <=> 5aop_c,Glutamate-1-semialdehyde aminotransferase,U;U;SS,SS,U,U,-1U1;-2U1;-3U1;-4U1;0U1,-1U1;-2U1;-2S1;-3U1;-3S1;0U1;-1S1,,
103,KDOCT2,ctp_c + kdo_c --> ckdo_c + ppi_c,3-deoxy-manno-octulosonate cytidylyltransferase,U;U;SS,SS,U,U,0U2;-1U2;-2U4;-3U4;-4U3;-5U3;0S1;-6U2;-7U2;-8U2;-3S2;-9U2,0U2;-1U2;-2U4;-2S1;-3U3;-3S3;-4U3;-4S3;-5U2;-5S2;-6U2;-6S2;-7U2;-7S2;-8U2;-8S2,,
104,EDTXS1,ddcaACP_c + kdo2lipid4_c --> ACP_c + kdo2lipid4L_c,Endotoxin Synthesis (lauroyl transferase),U;U;DS,DS,U,U,-1U1;-2U1;-3U1,-2S1;-1U1;-2U1,,
105,DXPS,g3p_c + h_c + pyr_c --> co2_c + dxyl5p_c,1-deoxy-D-xylulose 5-phosphate synthase,U;U;SS,SS,U,U,U1;0U3;-1U3;-2U3;-3U2;0S2;-4U1,0U3;-1U3;-1S2;-2U2;-2S2;0S1;-3U1;-3S1,,
106,CDPMEK,4c2me_c + atp_c --> 2p4c2me_c + adp_c + h_c,4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase,U;U;SS,SS,U,U,0U1;-1U1;-2U1;-3U1;0S1;-4U1;-5U1,0U1;-1U1;-1S1;-2U1;-2S1;0S1;-3U1;-3S1;-4U1;-4S1,,
107,EDTXS2,kdo2lipid4L_c + myrsACP_c --> ACP_c + lipa_c,Endotoxin Synthesis (myristoyl transferase),U;U;DU,DU,U,U,-1U1;-2U1;-3U1,-2S1;-1U1;-2U1,,
108,MECDPS,2p4c2me_c --> 2mecdp_c + cmp_c,"2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase",U;U;SD,SD,U,U,-1U3;-2U3;-3U3;-4U3;-5U3;-6U2;-7U2;-2S2;-8U2;-4D1;-3S1;-3D1;-4S1;-9U1;-5S1;-10U1;-5D1;-6S1;-11U1;-6D1;-7S1;-12U1;-7D1;-8S1;-13U1;-8D1;-9S1;-14U1;-9D1;-10S1;-15U1;-2D1;0U1;0S1,-1U3;-2U3;-3U3;-3S3;-4U3;-4S3;-5U2;-5S2;-6U2;-6S2;-2S3;-7U2;-7S2;-3D1;-2D1;-8U1;-8S1;-9U1;-9S1;-10U1;-10S1;-4D1;-11U1;-11S1;-5D1;-12U1;-12S1;-6D1;-13U1;-13S1;-7D1;-14U1;-14S1;-1D1;-1S2;0U1;0S1,,
109,PGAMT,gam1p_c <=> gam6p_c,Phosphoglucosamine mutase,U;U;SS,SS,U,U,-1U2;-2U2;-3U2;0S2;0U1;-4U1;-5U1;-6U1,-2S2;-1U2;-2U2;0U1;-3U1;-3S1;0S1;-4U1;-4S1;-5U1;-5S1,,
110,UAGDP,acgam1p_c + h_c + utp_c --> ppi_c + uacgam_c,UDP-N-acetylglucosamine diphosphorylase,;U;SS,SS,,U,,U1,,
111,UAGCVT,pep_c + uacgam_c --> pi_c + uaccg_c,UDP-N-acetylglucosamine 1-carboxyvinyltransferase,U;U;SS,SS,U,U,U2;-1U1;-2U1;-3U1,0U2;-1U1;-2U1,,
112,GLUR,glu__D_c <=> glu__L_c,Glutamate racemase,U;U;SD,SD,U,U,U1;0U3;-1U2;-2U2;-3U2;-4U1,0U3;-1U2;-1S2;-2U2;-2S2;-3U1;-3S1,,
113,NNDPR,2.0 h_c + prpp_c + quln_c --> co2_c + nicrnt_c + ppi_c,Nicotinate-nucleotide diphosphorylase (carboxylating),U;U;SS,SS,U,U,0U2;-1D2;-1U1;-2U1;-3U2;-4U1;-2S2;0S1;0D1,-1U1;-2U1;-2S1;-3U2;-3S2;0U2;-1S2;0S2;0D1;-1D1,,
114,DMQMT,2omhmbl_c + amet_c --> ahcys_c + h_c + q8h2_c,3-Dimethylubiquinonol 3-methyltransferase,U;U;DS,DS,U,U,0U2;-2U3;-1U2;-1S2;-1D2;-3U1;-4U1;-5U1;-6U1;-2D1;-7U1;-3S1;-2S1;-8U1;-3D1;-4S1;-9U1;-4D1;-5S1;-10U1;-5D1;-6S1;-11U1;-6D1;-7S1;-12U1;-7D1;-8S1;-13U1;-8D1;-9S1;-14U1;-9D1;-10S1;-15U1;-10D1;-11S1;-16U1,-1U3;-2U3;-2S3;-3U1;-3S1;-4U1;-4S1;-1D1;-5U1;-5S1;-1S1;-6U1;-6S1;-7U1;-7S1;-8U1;-8S1;-2D1;-9U1;-9S1;-3D1;-10U1;-10S1;-4D1;-11U1;-11S1;-5D1;-12U1;-12S1;-6D1;-13U1;-13S1;-7D1;-14U1;-14S1;-8D1;-15U1;-15S1,,
115,PPC,co2_c + h2o_c + pep_c --> h_c + oaa_c + pi_c,Phosphoenolpyruvate carboxylase,U;U;SS,SS,U,U,U1;-1U2;-2U1;-3U1,-1S1;-1U2;0U1;-2U1,,
116,EX_zn2_e,zn2_e <=> ,Zinc exchange,U;U;SS,SS,U,U,-3U1;-3S1;-4U1;-5U1;-6U1;-7U1;-8U1;-4D1;-3D1;-9U1;-5S1;-4S1;-10U1;-5D1;-6S1;-11U1;-6D1;-7S1;-12U1;-7D1;-8S1;-13U1;-8D1;-9S1;-14U1;-9D1;-10S1;-15U1;-10D1;-11S1;-16U1;-11D1;-12S1;-17U1;-12D1;-13S1;-18U1,-3U1;-4U1;-4S1;-5U1;-5S1;-6U1;-6S1;-7U1;-7S1;-3S1;-8U1;-8S1;-9U1;-9S1;-10U1;-10S1;-3D1;-4D1;-11U1;-11S1;-5D1;-12U1;-12S1;-6D1;-13U1;-13S1;-7D1;-14U1;-14S1;-8D1;-15U1;-15S1;-9D1;-16U1;-16S1;-10D1;-17U1;-17S1,,
117,DNMPPA,dhpmp_c + h2o_c --> dhnpt_c + pi_c,Dihydroneopterin monophosphate dephosphorylase,U;U;SS,SS,U,U,-1U1;0U1;-1S1;-2U1;-3U1;-3D1,-1U1;0U1;-2S1;-2U1;-2D1,,
118,HPPK2,6hmhpt_c + atp_c --> 6hmhptpp_c + amp_c + h_c,6-hydroxymethyl-dihydropterin pyrophosphokinase,U;U;SD,SD,U,U,-2U1;-3U1;-4U1;-5U1;-2S1;-6U1;-1U1;-7U1;-8U1;-3D1;-4S1;-3S1;-9U1;-4D1;-5S1;-10U1;-5D1;-6S1;-11U1;-2D1,-1U1;-2U1;-2S1;-3U1;-3S1;-4U1;-4S1;-5U1;-5S1;-6U1;-6S1;-7U1;-7S1;-8U1;-8S1;-9U1;-9S1;-3D1;-10U1;-10S1;-1D1,,
119,PTPATi,atp_c + h_c + pan4p_c --> dpcoa_c + ppi_c,Pantetheine-phosphate adenylyltransferase,U;U;SS,SS,U,U,0U1;-1U1;-2U1;-3U1;-4U1;-5U1;-6U1;-1S1;-7U1,0U1;-1U1;-2U1;-2S1;-3U1;-3S1;-4U1;-4S1;-5U1;-5S1;-1S1;-6U1;-6S1,,
120,DXPRIi,dxyl5p_c + h_c + nadph_c --> 2me4p_c + nadp_c,1-deoxy-D-xylulose reductoisomerase,U;U;SU,SU,U,U,0U2;-1U1;-2U1;-3U1;0S1;-4U1,0U1;-1U1;-1S1;-2U1;-2S1;0S1;-3U1;-3S1,,
121,GTPCII2,gtp_c + 3.0 h2o_c --> 25drapp_c + for_c + 2.0 h_c + ppi_c,GTP cyclohydrolase II (25drapp),U;U;SS,SS,U,U,-1U4;0U3;-1S3;-2U3;-3U3;-2S2;-4U2;-5U1;-6U1;-3D1;-2D1;-3S1;-7U1;-8U1;-4S1;-9U1;-4D1;-5S1;-10U1;-5D1;-6S1;-11U1;-6D1;-7S1;-12U1;-7D1;-8S1;-13U1;-8D1;-9S1;-14U1;-9D1;-10S1;-15U1,-1U4;0U3;-2S3;-2U3;-3S2;-3U2;-1S1;-4U1;-4S1;-5U1;-5S1;-2D1;-1D1;-6U1;-6S1;-7U1;-7S1;-8U1;-8S1;-9U1;-9S1;-3D1;-10U1;-10S1;-4D1;-11U1;-11S1;-5D1;-12U1;-12S1;-6D1;-13U1;-13S1;-7D1;-14U1;-14S1,,
122,SADT2,atp_c + gtp_c + h2o_c + so4_c --> aps_c + gdp_c + pi_c + ppi_c,Sulfate adenyltransferase,U;U;SU,SU,U,U,-2U3;-1U5;0U3;-3U2;-4U2;-5U2;-2S2;-6U2;-3S2;-7U2;-4D2;-3D2;-4S2;-8U2;-9U2;-5S2;-10U2;-5D2;-6S2;-11U2;-6D2;-7S2;-12U2;-7D2;-8S2;-13U2;-8D2;-9S2;-14U2;-9D2;-10S2;-15U2;-10D1;-11S1;-16U1;-1S1;-2D1,-2U3;-1U5;0U3;-2S2;-3U2;-3S2;-4U2;-4S2;-5U2;-5S2;-6U2;-6S2;-3D2;-2D2;-7U2;-7S2;-8U2;-8S2;-9U2;-9S2;-10U2;-10S2;-4D2;-11U2;-11S2;-5D2;-12U2;-12S2;-6D2;-13U2;-13S2;-7D2;-14U2;-14S2;-8D1;-15U1;-15S1;-1S1;-1D1,,
123,OPHBDC,3ophb_c + h_c --> 2oph_c + co2_c,Octaprenyl-hydroxybenzoate decarboxylase,D;;SS,SS,D,,0D1,,,
124,OHPHM,2ohph_c + amet_c --> 2omph_c + ahcys_c + h_c,2-octaprenyl-6-hydroxyphenol methylase,U;U;DS,DS,U,U,0U1;-2U2;-4U1,-1U1;-2U1;-2S1;-3U1;-4U1;-4S1,,
125,GHMT2r,ser__L_c + thf_c <=> gly_c + h2o_c + mlthf_c,"Glycine hydroxymethyltransferase, reversible",U;U;SS,SS,U,U,U1,U1;-1U1,,
126,ALCD19,glyald_c + h_c + nadh_c <=> glyc_c + nad_c,Alcohol dehydrogenase (glycerol),;U;SS,SS,,U,,-1U1,,
127,SDPDS,h2o_c + sl26da_c --> 26dap_LL_c + succ_c,Succinyl-diaminopimelate desuccinylase,;U;SS,SS,,U,,S1,,
128,G1PTT,dttp_c + g1p_c + h_c --> dtdpglu_c + ppi_c,Glucose-1-phosphate thymidylyltransferase,D;;DS,DS,D,,D1,,,
129,TDPGDH,dtdpglu_c --> dtdp4d6dg_c + h2o_c,"DTDPglucose 4,6-dehydratase",D;;DS,DS,D,,0D1,,,
130,ADCS,chor_c + gln__L_c --> 4adcho_c + glu__L_c,4-amino-4-deoxychorismate synthase,U;U;SU,SU,U,U,U1;-1U10;-2U5;0U1;-3U4;-4U4;-5U1,U1;-1U8;-2U4;-2S4;-3U4;-3S4;-4U1;-4S1,,
131,ADCL,4adcho_c --> 4abz_c + h_c + pyr_c,4-aminobenzoate synthase,U;U;SS,SS,U,U,-1U11;-2U6;-3U5;-4U2;-1S1;-5U2;0U2,U1;-1U7;-1S2;-2U5;-2S3;-3U2;-3S2;-4U2;-4S2;0U1,,
132,EX_lac__D_e,lac__D_e --> ,D-lactate exchange,U;U;US,US,U,U,0S1;0U1;-1U1;-2U1;-3U1;-4U1;-1S1;-5U1;-1D1;-2S1;-6U1;-2D1,0S1;0U1;-1U1;-1S1;-2U1;-2S1;-3U1;-3S1;-4U1;-4S1;0D1;-5U1;-5S1;-1D1,,
133,TDPDRE,dtdp4d6dg_c --> dtdp4d6dm_c,"DTDP-4-dehydrorhamnose 3,5-epimerase",D;;DS,DS,D,,0D1,,,
134,TDPDRR,dtdp4d6dm_c + h_c + nadph_c --> dtdprmn_c + nadp_c,DTDP-4-dehydrorhamnose reductase,D;;DS,DS,D,,0D1,,,
135,UMPK,atp_c + ump_c <=> adp_c + udp_c,UMP kinase,D;U;SS,SS,D,U,-1U2;-2U1;-3U1;-4U1;-5U1;-2S1;-6U1;-7U1;-2D1;-3D1;-3S1;-1D1;-1S1;-4D1;-4S1;-8U1;-9U1;-5S1;-10U1;-5D1;-6S1;-11U1;-6D1;-7S1;-12U1;-7D1;-8S1;-13U1;-8D1;-9S1;-14U1;-9D1;-10S1;-15U1;-10D1;-11S1;-16U1;0D1,-1U2;-2U1;-2S1;-3U1;-3S1;-4U1;-4S1;-5U1;-5S1;-6U1;-6S1;-2D1;-1D1;-3D1;-7U1;-7S1;-8U1;-8S1;-9U1;-9S1;-10U1;-10S1;-4D1;-11U1;-11S1;-5D1;-12U1;-12S1;-6D1;-13U1;-13S1;-7D1;-14U1;-14S1;-8D1;-15U1;-15S1,,
136,UAPGR,h_c + nadph_c + uaccg_c --> nadp_c + uamr_c,UDP-N-acetylenolpyruvoylglucosamine reductase,U;U;SS,SS,U,U,0U1;-1U1;-2U1;-3U1,0U1;-1U1;-2U1,,
137,CTPS2,atp_c + gln__L_c + h2o_c + utp_c --> adp_c + ctp_c + glu__L_c + 2.0 h_c + pi_c,CTP synthase (glutamine),U;U;SS,SS,U,U,U1;-1U9;-2U4;-3U3;-4U3;-5U1,U1;-1U7;-2U3;-2S3;-3U3;-3S3;-4U1;-4S1,,
138,PAPPT3,udcpp_c + ugmda_c --> uagmda_c + ump_c,"Phospho-N-acetylmuramoyl-pentapeptide-transferase (meso-2,6-diaminopimelate)",U;U;SU,SU,U,U,-1U1;0U2;-2U1;-3U1;-4U1;-5U1;-6U1;-3S1;-7U1;-8U1;-3D1;-4D1;-4S1;-2D1;-2S1;-5D1;-5S1;-9U1;-10U1;-6S1;-11U1;-6D1;-7S1;-12U1;-7D1;-8S1;-13U1;-8D1;-9S1;-14U1;-9D1;-10S1;-15U1;-10D1;-11S1;-16U1;-11D1;-12S1;-17U1;-1D1,-1U1;0U1;0S1;-2U1;-3U1;-3S1;-4U1;-4S1;-5U1;-5S1;-6U1;-6S1;-7U1;-7S1;-3D1;-2D1;-4D1;-8U1;-8S1;-9U1;-9S1;-10U1;-10S1;-11U1;-11S1;-5D1;-12U1;-12S1;-6D1;-13U1;-13S1;-7D1;-14U1;-14S1;-8D1;-15U1;-15S1;-9D1;-16U1;-16S1,,
139,UAGPT3,uacgam_c + uagmda_c --> h_c + uaagmda_c + udp_c,UDP-N-acetylglucosamine-N-acetylmuramyl-(pentapeptide)pyrophosphoryl-undecaprenol N-acetylglucosamine transferase,U;U;SU,SU,U,U,U1,0U1,,
140,GMHEPPA,gmhep17bp_c + h2o_c --> gmhep1p_c + pi_c,"D-glycero-D-manno-heptose 1,7-bisphosphate phosphatase",U;U;DS,DS,U,U,0S1,0S1,,
141,S7PI,s7p_c --> gmhep7p_c,Sedoheptulose 7-phosphate isomerase,U;U;DS,DS,U,U,0S2,0S1,,
142,TRPS3,3ig3p_c --> g3p_c + indole_c,Tryptophan synthase (indoleglycerol phosphate),U;U;SS,SS,U,U,-1U3;-2U2;-3S1;-1S2;-3U1;-4U1;-5U1,-1U3;-2S2;-1S2;-2U1;-3U1;-3S1;-4U1;-4S1,,
143,AGMHE,adphep_DD_c --> adphep_LD_c,ADP-D-glycero-D-manno-heptose epimerase,D;D;DD,DD,D,D,-1D1;-1S1;-2D1,-1D1,,
144,GMHEPAT,atp_c + gmhep1p_c + h_c --> adphep_DD_c + ppi_c,D-glycero-D-manno-hepose 1-phosphate adenyltransferase,D;D;DS,DS,D,D,0S1;-2D1;-2S1;-3D1,0S1;-2D1,,
145,FADRx,fad_c + h_c + nadh_c --> fadh2_c + nad_c,FAD reductase,;;SS,SS,,,,,,
146,ADK1,amp_c + atp_c <=> 2.0 adp_c,Adenylate kinase,;;SS,SS,,,,,,
147,NDPK3,atp_c + cdp_c <=> adp_c + ctp_c,Nucleoside-diphosphate kinase (ATP:CDP),U;U;SS,SS,U,U,-1U13;-2U11;-3U11;-4U11;-5U11;-6U11;-7U6;-2S4;-8U5;0U1;-1S7;-3S3;-4D3;-3D3;-4S4;-9U4;-5S3;-10U4;-5D3;-6S3;-11U3;-6D3;-7S3;-12U3;-7D3;-8S3;-13U3;-8D3;-9S3;-14U3;-9D3;-10S3;-15U3;-2D3;-1D3;-10D2;-11S2;-16U2,-1U11;-2U11;-3U11;-3S11;-4U11;-4S11;-5U11;-5S11;-6U6;-6S6;-2S6;-7U5;-7S5;0U1;-1S5;-3D3;-2D3;-8U4;-8S4;-9U4;-9S4;-10U3;-10S3;-4D3;-11U3;-11S3;-5D3;-12U3;-12S3;-6D3;-13U3;-13S3;-7D3;-14U3;-14S3;-1D3;-8D2;-15U2;-15S2,,
148,NDPK4,atp_c + dtdp_c <=> adp_c + dttp_c,Nucleoside-diphosphate kinase (ATP:dTDP),D;;SS,SS,D,,-1D1,,,
149,ACODA,acorn_c + h2o_c --> ac_c + orn_c,Acetylornithine deacetylase,U;U;SS,SS,U,U,U1,U1,,
150,FCLT,fe2_c + ppp9_c --> 2.0 h_c + pheme_c,Ferrochelatase,U;U;SS,SS,U,U,0D1;-1D4;-2S4;-3U4;0U1;-1S5;-2D4;-2U4;-4U4;-5U4;-6U4;-7U4;-8U4;-1U5;-3S4;-4S4;-3D3;-9U3;-4D3;-5S3;-10U3;-5D3;-6S3;-11U3;-6D3;-7S3;-12U3;-7D3;-8S3;-13U3;-8D3;-9S3;-14U3;-9D3;-10S3;-15U3;-10D3;-11S3;-16U3;-11D1;-12S1;-17U1,0S1;0D1;-1S3;-1D3;-3S4;-3U4;0U1;-2S4;-2U4;-4U4;-4S4;-5U4;-5S4;-6U4;-6S4;-7U4;-7S4;-1U3;-2D4;-8U3;-8S3;-9U3;-9S3;-3D3;-10U3;-10S3;-4D3;-11U3;-11S3;-5D3;-12U3;-12S3;-6D3;-13U3;-13S3;-7D3;-14U3;-14S3;-8D3;-15U3;-15S3;-9D1;-16U1;-16S1,,
151,HBZOPT,4hbz_c + octdp_c --> 3ophb_c + ppi_c,Hydroxybenzoate octaprenyltransferase,D;;SS,SS,D,,D1,,,
152,PNTK,atp_c + pnto__R_c --> 4ppan_c + adp_c + h_c,Pantothenate kinase,U;;SU,SU,U,,U1,,,
153,ADSS,asp__L_c + gtp_c + imp_c --> dcamp_c + gdp_c + 2.0 h_c + pi_c,Adenylosuccinate synthase,U;U;SS,SS,U,U,U1;0U1,0U1,,
154,OCTDPS,frdp_c + 5.0 ipdp_c --> octdp_c + 5.0 ppi_c,Octaprenyl pyrophosphate synthase,D;;DU,DU,D,,-1D1,,,
155,DPCOAK,atp_c + dpcoa_c --> adp_c + coa_c + h_c,Dephospho-CoA kinase,U;U;SU,SU,U,U,0U1;-1U1;-2U1;-3U1;-4U1;-5U1;-6U1;-1S1;-7U1,0U1;-1U1;-2U1;-2S1;-3U1;-3S1;-4U1;-4S1;-5U1;-5S1;-1S1;-6U1;-6S1,,
156,ASNS2,asp__L_c + atp_c + nh4_c --> amp_c + asn__L_c + h_c + ppi_c,Asparagine synthetase,U;U;SS,SS,U,U,U1;0U1,0U1,,
157,ASPCT,asp__L_c + cbp_c --> cbasp_c + h_c + pi_c,Aspartate carbamoyltransferase,U;U;SU,SU,U,U,U1;-1D1;0U1,D1;0U1,,
158,KDOPS,ara5p_c + h2o_c + pep_c --> kdo8p_c + pi_c,3-deoxy -D-manno-octulosonic -acid 8-phosphate synthase,U;U;SS,SS,U,U,U1;0S1;-1U1;-2U1;-3U1,0U1;-1U1;-2U1,,
159,KDOPP,h2o_c + kdo8p_c --> kdo_c + pi_c,3-deoxy-manno-octulosonate-8-phosphatase,U;U;SU,SU,U,U,0U1;0S1;-1U1;-2U1;-3U1,0U1;-1U1;-2U1,,
160,DMPPS,h2mb4p_c + h_c + nadh_c --> dmpp_c + h2o_c + nad_c,1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate reductase (dmpp),U;U;DU,DU,U,U,-3D2;-1U1;-2U1;-3U1;-4U1;-5U1;-2S1;-6U1;-2D1;-3S1;-7U1;-8U1;-4S1;-9U1;-4D1;-5S1;-10U1;-5D1;-6S1;-11U1;-6D1;-7S1;-12U1;-7D1;-8S1;-13U1;-8D1;-9S1;-14U1;0U1;-1S1;-1D1,-2S1;-1U1;-2U1;-3U1;-3S1;-4U1;-4S1;-5U1;-5S1;-2D1;-1D1;-6U1;-6S1;-1S1;-7U1;-7S1;-8U1;-8S1;-9U1;-9S1;-3D1;-10U1;-10S1;-4D1;-11U1;-11S1;-5D1;-12U1;-12S1;-6D1;-13U1;-13S1;0U1;0D1;0S1,,
161,MCOATA,ACP_c + malcoa_c <=> coa_c + malACP_c,Malonyl-CoA-ACP transacylase,U;U;SS,SS,U,U,0U1;-1U1;-2U1,-1S1;0U1;-1U1,,
162,IPDPS,h2mb4p_c + h_c + nadh_c --> h2o_c + ipdp_c + nad_c,1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate reductase (ipdp),D;;SU,SU,D,,-2D1,,,
163,DAPE,26dap_LL_c <=> 26dap__M_c,Diaminopimelate epimerase,;U;SS,SS,,U,,U1;0S1,,
164,DHDPRy,23dhdp_c + h_c + nadph_c --> nadp_c + thdp_c,Dihydrodipicolinate reductase (NADPH),U;U;SS,SS,U,U,0U2;-1U1;-2U2;-3U2;-4U2;-1S1;-5U2;-6U1;-7U1,0U1;-1U1;-1S1;-2U2;-2S1;-3U2;-3S2;-4U2;-4S2;-5U1;-5S1;-6U1;-6S1,,
165,HSK,atp_c + hom__L_c --> adp_c + h_c + phom_c,Homoserine kinase,D;;SU,SU,D,,D1,,,
166,SDPTA,akg_c + sl26da_c <=> glu__L_c + sl2a6o_c,Succinyldiaminopimelate transaminase,U;U;SS,SS,U,U,U1;0U6;-1U6;-2U5;-3U5;-4U4;-5U3,U1;0U5;-1U6;-1S3;-2U5;-2S5;-3U4;-3S4;-4U3;-4S3,,
167,THRS,h2o_c + phom_c --> pi_c + thr__L_c,Threonine synthase,D;U;SU,SU,D,U,0D1,U1,,
168,HSST,hom__L_c + succoa_c --> coa_c + suchms_c,Homoserine O-succinyltransferase,D;U;SU,SU,D,U,D1,S1,,
169,PPNDH,h_c + pphn_c --> co2_c + h2o_c + phpyr_c,Prephenate dehydratase,;U;SS,SS,,U,,S1,,
170,DTMPK,atp_c + dtmp_c <=> adp_c + dtdp_c,DTMP kinase,U;U;SU,SU,U,U,U1;-2D1,0U1,,
171,NDPK1,atp_c + gdp_c <=> adp_c + gtp_c,Nucleoside-diphosphate kinase (ATP:GDP),U;U;US,US,U,U,-1U2;0U2,-1U1;0U1,,
172,TRDR,h_c + nadph_c + trdox_c --> nadp_c + trdrd_c,Thioredoxin reductase (NADPH),U;U;SS,SS,U,U,-4U2;-5U2;-6U2;-7U2;-8U2;-9U2;-4S1;-10U1;-3U2;-3S1;-2U1,-4U2;-5U2;-5S2;-6U2;-6S2;-7U2;-7S2;-8U2;-8S2;-4S2;-9U1;-9S1;-3U2;-3S1;-2U1,,
173,DDPA,e4p_c + h2o_c + pep_c --> 2dda7p_c + pi_c,3-deoxy-D-arabino-heptulosonate 7-phosphate synthetase,U;U;SS,SS,U,U,U1;-1U1;-2U1;-3U1,0U1;-1U1;-2U1,,
