Blattner,pdxBJ_20nM PN_Ave,WT_5uM PN_Ave,FoldChange
b1917,7.634407109,6.465613939,0.239728754
b1918,7.095649924,6.088994816,0.220730749
b1919,7.483158683,6.800495854,0.138007425
b1920,11.05622726,9.477724469,0.22224655
b1921,4.426118469,3.214501231,0.461447163
b1922,4.439115874,3.3649949,0.399668049
b1923,7.089653346,5.406966635,0.390895634
b1924,3.46903393,2.690209403,0.366815476
b1925,3.948010657,2.01596632,0.969654348
b0201,10.05282403,10.56024391,-0.071042318
b1926,3.694753055,2.843001827,0.378062917
b1927,6.943135152,6.186383619,0.166490957
b1928,8.578187895,8.089408267,0.084638742
b1929,6.993805514,7.637226799,-0.12697119
b1930,7.751650996,8.505621099,-0.133912971
b1931,3.886377702,3.353629565,0.212702777
b1932,4.100685596,3.777770284,0.118330157
b4495,1.203638135,2.001782528,-0.733883528
b1936,3.160331301,2.590540052,0.286822917
b1937,4.599323272,3.345448393,0.459222014
b0202,5.378574237,4.740607097,0.182151964
b1938,2.966756732,2.376941879,0.319780007
b1939,3.511083042,2.773626053,0.340142825
b1940,0.602561751,0.620736494,-0.042871869
b1941,2.51822745,2.386191509,0.077698761
b1942,2.370657321,2.628190077,-0.148782483
b1943,2.833076551,2.656450094,0.092869975
b1944,3.619055552,3.194088765,0.180208847
b1945,3.225336066,2.850090525,0.178441748
b1946,2.870720426,2.770882945,0.05106707
b1947,0.252125203,0.236011439,0.095283555
b0203,4.188313602,3.382867818,0.308122662
b1948,2.369543991,2.439721462,-0.042107003
b1949,2.339832489,2.246392241,0.058795392
b1950,2.555535482,2.922855214,-0.193752743
b1951,6.119678898,3.821788121,0.679208158
b1952,7.271206147,7.723956101,-0.087145267
b1953,8.296599456,7.983754899,0.055452707
b1954,5.304326111,4.786557627,0.148180997
b1955,5.677093833,4.850134192,0.227127923
b1956,5.678474267,4.790444285,0.245343885
b1957,8.016158723,7.627397244,0.071720236
b0003,11.84847784,10.13384178,0.22552052
b4576,5.615602226,6.441944874,-0.198055567
b0204,9.530495777,9.578568405,-0.007258784
b1958,7.423022253,6.898393756,0.105746215
b1959,3.068860036,3.044225028,0.011627843
b1960,4.700165415,4.340038594,0.115003659
b1961,6.075992426,5.552020243,0.130107243
b1962,6.116404636,5.37920084,0.185291998
b1963,6.026101801,5.595978273,0.106834684
b4603,1.045650154,1.707601236,-0.707570866
b4496,4.578559759,3.399150445,0.429719636
b1967,7.028201648,6.16901354,0.188115772
b1968,0.206127675,3.873050392,-4.231860151
b0205,2.937865786,2.688411112,0.128014717
b1969,5.34737917,4.614301177,0.212719806
b1970,6.617202481,5.684244682,0.219252768
b1971,5.043853562,4.228090977,0.254519971
b1972,4.936005963,3.901736475,0.339227796
b1973,8.460127126,11.27737809,-0.414680443
b1974,4.5107921,4.843822779,-0.102765288
b1975,10.45021504,11.68413658,-0.161018498
b1976,8.059380504,9.13993658,-0.181515207
b1977,5.496380955,6.482105122,-0.237980416
b1978,4.055498857,3.523382112,0.202918444
b0206,4.289005613,3.314955248,0.37165381
b4497,2.05628636,2.438769017,-0.246111933
b1981,8.970935622,8.347505393,0.103913338
b1982,7.562374813,7.089993739,0.093055002
b1983,7.447959721,7.892014649,-0.083548363
b1984,3.790610809,3.326752634,0.188315743
b1985,5.770420882,4.765617393,0.27601342
b1986,4.848607036,3.833006638,0.339093836
b1987,6.186992379,4.384369135,0.496868988
b1988,4.116162445,4.42165699,-0.103287193
b1989,4.155471804,3.791149779,0.132376832
b0207,5.246982326,4.80115056,0.128107752
b1990,6.661895582,5.921244242,0.170032378
b1991,6.953835524,5.869999505,0.244448562
b1992,6.833538461,5.65218883,0.273823147
b1993,6.319705094,5.273145967,0.261193305
b4639,3.097948568,2.76543013,0.163809301
b0259,7.228067235,7.047721346,0.036453042
b4640,4.540948715,3.510490472,0.371321131
b4641,5.171012402,3.377077596,0.614671436
b4582,6.140771733,6.130299381,0.002462444
b0361,4.89148195,5.003008453,-0.032524272
b0208,5.214017668,4.862794798,0.100609758
b4272,3.367689471,6.137495348,-0.86589091
b1999,4.140326661,3.661893097,0.177154922
b4435,2.58329356,3.597807407,-0.477906363
b2000,4.948532813,5.857879779,-0.24337774
b2001,3.680320149,3.506959659,0.069610436
b2002,4.472943631,4.101636135,0.125025064
b2003,4.363432937,3.619237186,0.269777967
b2004,4.181173155,3.553656985,0.234603358
b2005,3.32464145,2.705232042,0.297446413
b2006,4.442668934,4.011793582,0.147179259
b0209,8.028568333,6.605677809,0.281436143
b4642,4.06165227,3.419816821,0.248147681
b4538,5.678651481,5.170324415,0.135293565
b2007,12.25862088,12.14161879,0.013835899
b2008,5.481662553,4.61053118,0.249680546
b2009,7.178143807,6.566181289,0.128556244
b2010,4.859334344,4.229394605,0.200307529
b2011,6.014921275,6.002630783,0.002950923
b2012,10.00223613,8.524069085,0.230708378
b2013,8.123354453,6.723370859,0.272890866
b2014,6.159999057,5.931832615,0.054452242
b0210,5.987272654,4.256630558,0.49218709
b4678,5.446951279,4.418691573,0.301829729
b2015,5.763339569,5.677081918,0.021755465
b2016,8.913383546,8.653326358,0.042718372
b4539,7.334539502,6.798934782,0.109397658
b2017,7.618405225,7.030382471,0.115885849
b2018,4.989792896,4.818602444,0.05036516
b2019,10.92916498,11.07073808,-0.01856823
b2020,10.46919408,10.7816365,-0.042425788
b2021,9.6949351,9.971300839,-0.040550488
b2022,10.09877832,9.84960191,0.036043455
b0211,7.999676281,7.056007553,0.181089515
b2023,9.047604352,8.803870477,0.039397922
b2024,10.41548432,10.31804159,0.013560759
b2025,10.22249576,10.46971611,-0.034474859
b2026,10.03515219,10.81219512,-0.107596956
b2027,9.096674251,7.974251581,0.18999007
b2028,4.899808235,4.18514119,0.227448993
b2029,9.975986213,9.40125601,0.085605957
b4571,7.872103146,7.357018947,0.097627817
b0259,5.826001658,7.047721346,-0.274650772
b2032,7.490296369,7.064385538,0.084458723
b0212,6.817539362,6.007980754,0.182370933
b2033,7.630349426,7.109037085,0.102094965
b2034,7.196818697,6.88079002,0.064785096
b2035,0.617177932,0.448287721,0.461261494
b2036,8.154746812,8.247729707,-0.016356969
b2037,6.783705027,6.749834332,0.007221346
b2038,1.863036466,1.871728425,-0.006715212
b2039,7.827064729,8.105089317,-0.050356708
b2040,0.466691069,0.46279167,0.012104962
b2041,7.746013899,7.335764356,0.078506794
b2042,9.714273866,9.140817714,0.087782929
b0213,6.209073853,5.63767603,0.139277516
b2043,4.732183472,3.597739757,0.395415177
b2044,4.2702147,3.165927383,0.431680444
b2045,3.741176232,2.84011325,0.397543469
b2046,3.674293274,2.972320345,0.305877172
b2047,3.276305905,2.306604343,0.50629951
b2048,3.604777797,2.492830206,0.532125713
b2049,4.315344218,2.819675705,0.613946396
b2050,3.820509823,2.34764515,0.70255081
b2051,4.406259624,3.026026814,0.542129732
b2052,4.674397625,2.867739261,0.704866603
b0275,5.122108761,4.482686937,0.192374139
b0214,7.186137872,6.552651625,0.133137783
b2053,5.268594775,3.350989894,0.652830886
b2054,3.864218204,2.595791629,0.574001983
b2055,3.124242979,1.947636106,0.681782508
b2056,3.269688239,2.284214342,0.517455049
b2057,2.955532923,2.131735599,0.471389781
b2058,3.144469128,2.27663692,0.465912244
b2059,2.884992475,2.380069902,0.27756361
b2060,2.528466702,2.297079165,0.138462202
b2061,1.787774024,2.035363933,-0.187122388
b2062,2.044909937,2.036469817,0.005966873
b0215,6.490699101,5.982741207,0.117567218
b2063,5.800736969,5.621438384,0.045296876
b2064,6.272812671,5.710213626,0.13556776
b2065,7.89387613,7.620120004,0.050920163
b2066,5.96142586,5.567994285,0.098499707
b2067,5.173672773,5.036290197,0.038827393
b2068,5.678788124,5.370505965,0.080525072
b2069,5.134982526,4.974360309,0.045848357
b2070,3.03118927,3.240748844,-0.096443279
b2071,3.862574982,3.679693176,0.069977465
b2072,2.450390888,2.210594881,0.14857725
b0216,3.232161427,3.114432782,0.053529818
b2073,3.231769289,3.147768222,0.037994894
b4436,5.73906109,6.365691167,-0.149502435
b4437,5.794151111,6.037964263,-0.059464908
b2074,0.205413189,0.238775501,-0.217126004
b2075,3.797419984,3.310575985,0.197937322
b2076,3.462028862,2.896308567,0.25740244
b2077,3.187783733,2.609888141,0.288565782
b2078,3.90271011,2.944403513,0.406500907
b0217,2.042450494,2.874759094,-0.493139953
b2079,6.760370985,6.153965724,0.13558601
b2080,7.724963083,6.31672517,0.290351234
b2081,5.896996768,5.427258468,0.119756786
b4438,5.225863245,5.246310669,-0.00563387
b2082,5.120506298,4.973496478,0.042026011
b2083,3.733031162,3.543749821,0.075070795
b2085,3.660989876,3.777417002,-0.045166273
b2086,5.778455548,4.907156685,0.235796607
b4498,6.943269156,7.137185644,-0.0397402
b0298,5.057288314,2.314765015,1.127498284
b4586,1.146033886,2.322303135,-1.0189066
b1026,5.268603039,3.023711666,0.80109991
b2091,10.53904603,11.41965981,-0.11577539
b2092,11.37176985,12.1849021,-0.099637854
b2093,11.25441276,11.71747432,-0.058170852
b2094,11.94966609,12.09539008,-0.017486992
b2095,12.45595327,12.52020295,-0.007422511
b2096,13.30761154,13.19061485,0.012739844
b2097,8.240072837,6.884221368,0.259363601
b2098,3.568711159,3.421383183,0.060823449
b2099,4.309514201,4.049836481,0.08966159
b0218,1.307783596,1.937022441,-0.566716836
b2100,4.146144283,3.924606028,0.079222486
b2101,5.551921479,5.001757282,0.150552114
b2102,4.635807146,4.206630661,0.140155394
b2103,7.150524125,5.81547536,0.29815187
b2104,6.826988395,5.346027854,0.352781945
b2105,6.251392955,4.567634383,0.452730517
b2106,4.330305116,3.197209839,0.437655248
b2107,7.761260363,6.439190342,0.269411656
b2108,1.802930725,2.130462307,-0.240822563
b2109,2.118851863,2.299504106,-0.118040047
b4503,2.834402569,2.89284802,-0.029445853
b2110,1.080362379,1.953962617,-0.854887559
b2111,4.120289203,5.230498144,-0.344202749
b2112,7.270463796,5.757099085,0.336705357
b2113,8.119863508,8.025743774,0.016820378
b2114,7.522826993,7.244775707,0.054333887
b4499,3.020580358,2.551800673,0.243310127
b2118,3.450866955,2.919170012,0.241400617
b4541,1.162946238,1.498344269,-0.365584741
b2119,1.763464451,2.285313488,-0.373979587
b2120,2.694867247,2.353042631,0.195686747
b0219,6.773494455,6.691594633,0.017550263
b2121,2.310762436,2.573089421,-0.155132648
b2122,2.797441332,2.646363378,0.0800967
b2123,3.497828483,3.066185886,0.190014386
b2124,6.761741159,6.602252106,0.034436562
b2125,5.915861509,6.013206856,-0.023546309
b2126,5.487824959,6.039632663,-0.13822634
b2127,5.242512188,4.219581047,0.313158546
b4542,4.009300374,3.393665446,0.240506159
b2128,5.533911875,4.517096341,0.292903986
b2129,5.162784769,3.933336145,0.39239597
b0220,11.05319977,9.479692504,0.221551905
b2130,4.728073836,3.545364169,0.415318741
b2131,5.907474161,4.660137442,0.342168909
b2132,6.336817835,5.810644592,0.125060328
b2133,8.452218057,8.348335028,0.017841489
b2134,6.172721672,5.323892406,0.213425327
b2135,7.600731157,6.381903236,0.252151472
b2136,6.08137027,5.539177484,0.134724667
b2137,6.264740403,5.022794656,0.318764433
b2139,1.862236309,2.140635974,-0.201003323
b4679,9.063352154,8.046674266,0.171652109
b0221,6.525450359,4.574747025,0.512385507
b2140,4.942020494,4.167785956,0.245819806
b2141,6.023348509,5.536624719,0.121558998
b2142,5.132140172,5.213454004,-0.022678925
b2143,7.736395928,7.757378099,-0.003907491
b2144,4.785129323,3.769877617,0.344040226
b2145,5.376759576,4.778079911,0.17030598
b2146,3.320734491,3.940999091,-0.24705904
b2147,4.066612095,3.506750499,0.213692594
b2148,3.24543015,3.29772889,-0.023063092
b2149,3.38963374,4.192897586,-0.306818198
b0023,10.9565724,11.27458908,-0.04127831
b0222,8.615998204,8.520543077,0.016072562
b2150,5.410242543,7.423741122,-0.45645313
b2151,5.24570378,7.46373405,-0.508761238
b2152,5.824740422,5.014758255,0.216013603
b2153,9.243030247,8.326922171,0.150582565
b2154,7.205357696,7.996846127,-0.150361076
b2155,8.333591637,8.751825512,-0.070645568
b2156,6.038296874,7.345954136,-0.2828082
b2157,6.119278071,6.630121691,-0.115673891
b2158,4.570961276,4.705956295,-0.041990325
b2159,6.232077639,6.23491586,-0.000656885
b0223,7.155376116,6.560217217,0.125284018
b2160,4.944930403,5.170919147,-0.064470531
b2161,2.535515081,2.610488314,-0.042040845
b2162,1.764237726,2.130873686,-0.272400102
b2163,2.259568156,2.706729127,-0.260503445
b2164,3.735164427,2.965591874,0.332851687
b2165,2.712468435,2.883869555,-0.08839956
b2166,2.061218337,1.990635516,0.050268243
b2167,11.00059427,9.931163539,0.147546803
b2168,10.67264264,9.446549895,0.17605802
b2169,9.920135145,8.593218958,0.207161119
b0224,8.993312246,7.517464385,0.258606432
b2170,3.957725872,3.408881853,0.21537309
b4502,5.283899917,4.819937797,0.132588612
b2171,6.985807586,6.200798475,0.171972903
b2172,4.373702482,4.349834546,0.007894559
b2173,4.435600863,3.641797942,0.284478671
b2174,4.225794751,3.747003755,0.173485273
b2175,9.161030352,7.956755208,0.203329654
b2176,5.431337483,4.233287515,0.359529033
b2177,4.89374535,4.655387312,0.072037832
b2178,0.249409477,1.704200069,-2.772506524
b0225,8.037003977,7.586214405,0.083277649
b2179,4.73436945,4.401426932,0.105200974
b2180,5.263625041,5.383573409,-0.032507375
b2181,6.186843324,7.631729861,-0.302806606
b2182,6.639975355,6.102042243,0.121885719
b2183,7.306645016,6.510353071,0.166473331
b2184,3.957136012,3.872056636,0.031356599
b2185,10.05830672,11.18344856,-0.152977677
b2186,6.56907371,6.454928646,0.025288806
b2187,7.671804547,7.154344098,0.100746457
b2188,6.129382402,6.026599249,0.024397582
b0226,9.806524983,9.430963497,0.056336828
b2189,5.405132811,5.83785721,-0.111108857
b2190,5.446805488,4.7674661,0.192187668
b0259,6.71813446,7.047721346,-0.069096213
b2193,5.733038833,4.744611724,0.273010022
b2194,4.144445848,5.144449139,-0.311837391
b2195,3.96349592,5.302200334,-0.41981769
b2196,3.933872583,4.843717393,-0.300164463
b2197,5.49700987,6.479419695,-0.23721754
b2198,5.371621692,6.375704922,-0.247227157
b2199,5.064725006,5.617796066,-0.149520315
b0227,3.42254201,2.934384257,0.222010446
b2200,4.020161508,4.107598652,-0.031041763
b2201,5.421809683,5.727084342,-0.079026378
b2202,5.938172345,5.979650675,-0.010042241
b2203,5.918893648,5.396657957,0.133261283
b2204,5.580665912,4.444777104,0.328326209
b2205,5.666302262,4.433763678,0.353875687
b2206,5.829090593,4.519945841,0.366965337
b2207,4.49345646,3.577346349,0.32893582
b2208,4.441008487,3.214278936,0.466392196
b2209,7.576018441,6.731487888,0.170514418
b0228,6.000811374,6.478389659,-0.110477664
b2210,4.665986211,4.282309188,0.12379308
b2211,5.784178319,5.156347056,0.16576266
b2212,0.256023914,0.243082649,0.074831653
b2213,4.238813421,4.193058125,0.015657636
b2214,3.557429827,3.528481097,0.011788018
b2215,11.4239519,12.4132806,-0.119822633
b4439,2.863339655,3.002688669,-0.068556082
b2216,7.26223419,7.156332505,0.021193033
b2217,8.509542268,8.789207806,-0.046651607
b2218,6.134300397,5.803552624,0.079962506
b0229,3.0298009,2.751807298,0.138843546
b2219,4.285455335,5.740295629,-0.421676538
b2220,3.766324093,3.928637116,-0.060871764
b2221,1.855980948,2.464550156,-0.409142441
b2222,1.021956527,1.788629691,-0.807520903
b2223,1.55821418,2.094403562,-0.426645907
b2224,2.832471724,2.694398447,0.072098342
b2225,3.09094214,2.869783783,0.107104604
b2226,3.000366975,2.574851973,0.220649473
b4500,2.941981927,2.519366674,0.223727274
b2229,2.311783586,2.197077781,0.073420404
b0230,2.90006585,3.109686479,-0.100683475
b2230,3.035729088,3.209124073,-0.08013652
b2231,7.343358336,8.511779399,-0.213020759
b2232,7.590052507,7.171241182,0.081887027
b2233,5.048488112,4.214574401,0.260464452
b2234,6.787745373,6.902508263,-0.024188263
b2235,6.700683403,7.0829106,-0.080034089
b2236,6.42283607,6.621475589,-0.043942281
b2237,6.619357109,6.173780829,0.100536837
b2238,2.900880523,2.377664495,0.286945722
b2239,6.549643618,6.065216532,0.110857257
b0231,4.015453038,4.385677192,-0.127236859
b2240,3.510876366,5.357013884,-0.609597842
b2241,2.151072704,6.301717207,-1.550688727
b2242,2.081505029,3.784355163,-0.862420448
b2243,2.933760461,3.033551552,-0.048256748
b2244,5.811692236,5.75160023,0.014994902
b4543,7.63188146,7.560568058,0.013544129
b2245,4.497572482,3.930142364,0.194564959
b2246,3.372408158,3.036115441,0.151552507
b2247,2.763875255,2.814624902,-0.026250168
b2248,3.353254903,3.253620134,0.043516332
b0024,5.978025002,5.115868008,0.224689888
b0232,4.771787081,4.478999356,0.091353212
b2249,6.896944766,6.65208991,0.052149745
b2250,5.624232938,5.2608769,0.096353055
b2251,6.194530289,5.632648365,0.137181482
b2252,3.69716782,2.290442552,0.690794153
b2253,5.426735136,3.940075553,0.461861202
b2254,5.072227744,3.84002898,0.401502325
b2255,5.381646527,4.400482173,0.290386024
b2256,0.4697687,0.290964609,0.691106908
b2257,4.053658427,3.587979329,0.17605295
b4544,0.59049953,0.542882046,0.121297139
b0233,3.931280968,3.245754069,0.276445786
b2258,5.361232289,5.07131541,0.080204639
b2259,6.499419412,6.903513779,-0.087020009
b2260,5.040294674,4.995563583,0.012860634
b2261,1.055644198,6.318452181,-2.581447527
b2262,6.520386869,6.543958536,-0.005206042
b2263,5.098445986,4.760380505,0.098980683
b2264,4.997650599,5.112717059,-0.032840147
b2265,5.25542033,4.769061198,0.14010086
b2266,11.90361139,10.80327106,0.13993113
b2267,7.289504303,7.08728739,0.040587161
b0234,2.912275337,2.595045981,0.166386658
b2268,4.835482814,4.624532507,0.064352416
b2269,1.582067479,2.205213369,-0.479107117
b2270,3.241167301,2.992632932,0.115098158
b2271,1.464803486,2.173139107,-0.569073398
b2272,4.408309139,4.458271207,-0.016258983
b2273,1.725737671,2.375925128,-0.461276196
b2274,3.680558048,2.636464607,0.481319895
b2275,4.522899794,3.614912924,0.323287137
b2276,7.690504204,7.306707081,0.073856815
b2277,7.845317029,7.057295494,0.15271633
b0235,1.576381119,1.769313899,-0.166573648
b2278,7.824283979,7.052740746,0.149774725
b2279,7.969169377,7.026706111,0.181580801
b2280,8.724768074,7.944532252,0.1351545
b2281,7.935438478,7.186220901,0.143076659
b2282,7.459928591,6.93963012,0.104303051
b2283,7.456941708,7.101842522,0.070390694
b2284,7.716960893,7.688534576,0.005324146
b2285,8.334563504,8.390781979,-0.009698624
b2286,6.813856896,6.999715644,-0.038824667
b2287,7.645522363,7.93002227,-0.052709844
b0236,3.136191094,2.511624121,0.320392895
b2288,7.834395781,8.137837365,-0.054823436
b2289,6.993319246,8.064196372,-0.205553405
b2290,6.864096352,6.332477335,0.116299796
b2291,6.568581842,5.867935853,0.162728826
b2292,6.032927463,6.801128534,-0.172915921
b2293,9.931029377,8.68576801,0.193289845
b2294,10.49081576,8.803427597,0.252989617
b2295,7.456903855,7.222964765,0.045985608
b2296,8.863506958,8.900983136,-0.006087062
b2297,7.574310333,8.176009708,-0.110282377
b0237,8.928135324,8.929651936,-0.000245048
b2298,3.18039413,3.539530523,-0.154352454
b2299,6.928593192,6.467695501,0.099310693
b2300,7.15744673,7.051723987,0.021469021
b2301,6.449930483,5.492278143,0.231878922
b2302,5.272426684,4.102990172,0.36179143
b2303,7.894447968,7.702288317,0.035551259
b2304,7.367230613,8.588899872,-0.221350949
b2305,4.784048785,4.847639577,-0.019050337
b2306,4.473654512,4.783411393,-0.096586029
b2307,4.421157175,4.642934266,-0.070612832
b0238,7.700133443,6.832177641,0.172537961
b2308,5.093637707,5.737009581,-0.171602578
b2309,7.019491847,7.627015149,-0.11975197
b2310,5.49819051,6.001170636,-0.126287055
b2311,5.5348022,4.409061404,0.32806019
b2312,4.612697004,5.59341266,-0.278118242
b2313,5.872119904,6.517884801,-0.150522427
b2314,7.233611028,7.043715463,0.038379391
b2315,6.431496468,6.874749326,-0.096152649
b2316,8.978668252,8.724564648,0.041418332
b2317,7.309570644,6.6307923,0.140605401
b0239,5.929355314,6.481262251,-0.128399559
b2318,7.20283525,6.805639615,0.081834149
b2319,4.623467961,6.240361979,-0.432654325
b2320,0.563541177,6.59371181,-3.548497898
b2321,5.339985995,4.585354442,0.219802702
b2322,3.962475003,3.372563414,0.232556264
b2323,10.46205052,9.366329292,0.159609977
b2324,5.457278465,4.955078379,0.139273783
b2325,7.701353704,7.246994517,0.087729255
b2326,1.572714799,0.535408832,1.554544229
b2327,7.04514738,6.303387126,0.160502618
b0240,9.737106251,9.335491709,0.060767072
b2328,6.949422014,6.088447055,0.190818698
b2329,8.233932311,7.229567425,0.187672261
b2330,7.604477143,7.651931233,-0.008974852
b2331,7.372529752,7.475810751,-0.020070309
b2332,6.311192068,6.218787803,0.021279139
b2333,3.062045814,2.705953674,0.178358728
b2334,2.503432581,2.120808877,0.239292989
b2335,1.270989848,2.247994162,-0.822685782
b2336,2.062174643,2.225820981,-0.110171046
b4661,3.628202283,3.107634598,0.223438014
b0241,2.00136252,2.185056499,-0.126688068
b2339,1.164170933,1.62639016,-0.48237049
b2340,7.507190851,6.108339629,0.297492881
b2341,5.378082682,2.216085433,1.279078435
b2342,5.373116265,6.242261462,-0.216309731
b2343,9.854788286,10.88081344,-0.142889632
b2344,3.997670554,5.444690907,-0.445690565
b2345,1.689258316,2.324239966,-0.46036907
b2346,7.130110949,6.910078174,0.045222494
b2347,5.807494081,4.822808459,0.268042265
b2348,2.94499327,2.633148764,0.161475306
b0025,8.751023883,7.952860296,0.137977996
b0242,8.685236654,7.360330489,0.238794613
b2349,3.418510802,2.996241267,0.190214185
b2350,6.837546977,6.138171381,0.155669913
b2351,6.583186355,6.584908979,-0.000377461
b2352,4.465301006,5.31017048,-0.250000748
b2353,5.518240724,4.828393409,0.192665164
b2354,4.260676318,3.246447091,0.392220757
b2355,1.778649606,2.300100791,-0.370914754
b2356,1.257710463,2.352661516,-0.903493933
b2357,0.735853255,1.436403679,-0.964971258
b2358,0.517880143,1.368595243,-1.40200569
b0243,8.657853002,7.384584888,0.229492481
b2359,3.313179545,3.259196221,0.023700174
b2360,2.929836227,2.887874268,0.020812091
b2361,1.594486881,1.879147939,-0.236986422
b2362,0.627507709,0.807530497,-0.363883562
b2363,4.752187472,3.427333226,0.471505285
b4545,3.517434342,2.535778426,0.472094804
b4501,5.384792621,5.344119341,0.010938559
b4643,4.71608274,4.504880872,0.066100074
b2364,3.464518554,3.451136365,0.005583402
b2365,3.065524204,2.720314878,0.172360142
b0244,7.019253993,7.100627234,-0.016628762
b2366,4.50171068,4.157874915,0.114626982
b2367,2.145095758,2.184826767,-0.026476843
b2368,2.221785574,2.116658791,0.069930865
b2369,8.477241881,7.174933656,0.24062946
b2370,5.013030403,5.272915369,-0.072917858
b2371,2.609128351,2.422276859,0.107204146
b2372,2.488416662,2.570301024,-0.046709261
b2373,2.439660264,2.05896445,0.244761338
b2374,2.513319115,2.292744947,0.132517988
b2375,2.857640326,2.588139123,0.142909174
b4626,3.681099245,4.050417786,-0.137934078
b2376,4.644296816,4.793602556,-0.045650121
b2377,8.291612489,9.01594087,-0.120825361
b2378,8.809834712,7.534562168,0.225591272
b4680,6.459494019,5.262967184,0.295544762
b2379,10.17158066,5.726667809,0.828776067
b2380,5.335413128,5.255231635,0.02184563
b2381,6.405459235,5.936023865,0.109805115
b2382,5.569842722,5.138393011,0.116319351
b2383,2.834462338,2.594245513,0.127760081
b2384,0.314250543,1.920047115,-2.61115457
b0245,4.365218008,4.345463254,0.006543721
b2385,2.236450835,2.38878237,-0.09506438
b2386,2.066269124,2.190385339,-0.084156523
b2387,2.058088251,2.403863043,-0.224049856
b2388,8.957175772,8.611423804,0.056792126
b2389,5.599331957,4.779652373,0.228349019
b2390,8.761955443,8.979860148,-0.035440098
b2392,9.537400066,10.42252521,-0.128036921
b2393,6.354250431,6.294251409,0.013687145
b2394,6.019733368,5.499409128,0.130422967
b2395,4.638055319,4.681005692,-0.013298492
b0246,4.227562781,4.230497977,-0.001001315
b2396,2.752286119,2.641735906,0.059144208
b2397,3.655502385,3.122667242,0.227290852
b2398,7.301460105,8.447936713,-0.210414032
b2399,7.02959302,7.726956078,-0.136459031
b2400,7.838690082,7.729388006,0.020258397
b2401,4.693961158,4.748782662,-0.016751826
b2403,4.677532666,5.010406744,-0.099179997
b2404,4.072994194,4.412140096,-0.115388843
b2405,5.246267267,4.932129773,0.089080546
b2406,3.493787801,3.275501989,0.093075963
b4504,3.313682414,3.104588949,0.094033073
b2407,2.282612731,2.283986445,-0.000867977
b2408,3.144094948,3.200795858,-0.025785881
b2409,4.080245536,3.681107166,0.148516221
b2410,6.054563246,6.04404049,0.002509568
b4546,6.363360142,6.319499889,0.009978384
b2411,6.372049902,6.09925348,0.063124891
b2412,8.46148441,8.323602041,0.023702789
b2413,6.181195124,6.511766434,-0.075163146
b2414,11.92107025,10.20369122,0.224422617
b2415,11.84648933,11.52895224,0.039198179
b0247,3.625193977,3.216462374,0.172583381
b2416,10.87662536,11.03723204,-0.021147405
b2417,11.8854154,12.24812091,-0.043368103
b2418,7.178609803,6.677349557,0.104428914
b2419,5.241143799,3.819974703,0.456318608
b2420,6.834349231,4.759468947,0.522003361
b2421,9.633096628,6.861702086,0.489433147
b2422,10.25002169,7.155350643,0.518532591
b2423,8.943582543,3.6605598,1.288788556
b2424,7.457334128,4.698702038,0.666397699
b2425,9.241695217,7.320478678,0.336219524
b0248,5.601686335,5.482755453,0.030960076
b2426,7.122858307,8.589766003,-0.270162539
b2427,3.52323768,3.977994805,-0.175139589
b2428,4.481154478,6.198072319,-0.467949127
b2429,4.311883881,4.550690868,-0.077767259
b2430,3.16028614,3.514531731,-0.153277291
b2431,7.563189845,7.584051976,-0.003974019
b2432,6.383560993,5.10802149,0.321596844
b2433,5.502411493,4.727048749,0.219124291
b2434,6.154686451,5.389460782,0.191544423
b2435,5.64596465,5.114350141,0.142669162
b0249,5.31268791,4.990734637,0.090189769
b2436,5.261998714,4.633911744,0.183380329
b2437,4.043470652,3.745537619,0.110421328
b2438,5.152630139,4.940094096,0.060770516
b2439,4.602982049,4.311881675,0.094251228
b2440,5.119192507,5.072964461,0.013087206
b2441,6.837094388,6.087601561,0.167509406
b2442,5.342781858,5.02299864,0.08904223
b2443,4.559133396,5.080000805,-0.156069104
b2444,2.838195645,2.673422061,0.086286424
b2445,2.957660702,2.680783923,0.141801619
b0026,9.330871203,8.461846701,0.141039239
b0250,6.734741696,6.120648785,0.137938028
b2446,3.515362404,3.010618756,0.2236134
b2447,3.006584371,2.97765571,0.013948491
b2448,4.420827313,4.595891726,-0.056028429
b2449,6.210494428,5.778751497,0.103950297
b2450,7.312733194,7.660575238,-0.067042003
b2451,2.169907774,2.477802203,-0.191427299
b2452,2.658780482,2.537704546,0.067240556
b2453,2.19847086,2.355695807,-0.099652845
b2454,1.652743619,2.109997945,-0.352378649
b2455,1.889680994,2.098381653,-0.151134392
b0251,4.525168614,3.970279168,0.188731097
b2456,1.839714642,2.335106274,-0.344006203
b2457,5.242880855,4.369939901,0.262746322
b2458,3.051650102,2.897910538,0.074576496
b2459,2.706718653,2.272690625,0.252143628
b2460,2.820042912,2.685976753,0.070270298
b2461,3.129933605,2.76088847,0.180999444
b2462,2.193764576,2.535894329,-0.209085918
b2463,7.708160175,7.321015909,0.074342691
b2464,7.473234307,7.160297306,0.061713264
b2465,7.458545582,7.039464904,0.083428564
b4627,4.292344138,3.742815659,0.197641754
b2466,6.298659475,5.149762162,0.290539013
b2467,7.122063181,6.974374027,0.030231498
b2468,3.562383629,3.513237552,0.020041757
b2469,4.72020368,3.930966004,0.263965227
b2470,4.345590575,4.049112155,0.101946651
