Blattner,WT_20nM_PN_AVE,WT_5uM_PN_AVE,pdxBJ_20nM_PN_AVE,pdxBJ_5uM_PN_AVE,yggS_20nM_PN_AVE,yggS_5uM_PN_AVE
b1831,7.718419161,7.488041077,8.123612135,8.019994252,7.957036217,7.99111922
b1832,7.879691041,7.647938092,8.883732382,8.573863013,8.2903684,8.33159518
b1833,3.836989943,3.898488673,4.82218356,3.955691051,4.207263995,3.963237471
b1834,4.574504749,4.564540623,5.077679301,4.464168032,4.55113756,4.295661229
b1835,4.154852301,3.896322214,4.014588941,3.716677687,3.731954802,3.904820303
b1836,9.467780716,9.752138822,12.27354457,10.01086627,9.190979114,9.569072076
b0192,5.671134933,5.869199332,6.159345466,5.980051045,5.958930803,5.515291897
b1837,5.103930388,5.571090239,6.597975008,5.526326368,5.870075112,5.316028311
b1838,3.439442017,3.915935226,5.018505844,3.808049491,4.190589763,3.706533057
b4432,7.11138025,7.638531046,7.901262775,7.844885164,7.566682514,7.391727179
b4433,2.10148217,2.295259297,2.346271112,2.33611325,2.244414173,2.210403334
b1839,7.539643628,7.628843664,7.981578626,8.023644629,7.675267786,7.605753815
b1840,5.885335509,6.017051837,6.933497426,6.617048132,6.116326544,6.092842833
b1841,6.64370946,6.706814973,7.919786012,7.406030339,6.944567118,7.034147541
b1842,5.05790385,5.363619947,6.553827659,6.505616395,5.473722698,5.93899681
b1843,4.20349744,4.217011087,5.268230329,4.496968624,4.535243237,4.437478604
b1844,5.285510801,5.223931633,6.439105059,5.81924988,5.550380947,5.464716558
b0193,2.705414694,3.267935632,3.489647793,2.95787062,3.057247126,3.049197252
b1845,4.191564795,4.333443161,4.917000634,4.480520273,4.41914705,4.122256437
b1846,5.340158218,5.278762956,5.3272181,5.280675309,5.453026573,4.930503166
b1847,7.821570964,7.724751627,8.645565792,7.76459688,8.3236845,8.429923347
b1848,7.75184463,7.896741138,7.185992581,7.445224905,7.636741629,7.822403635
b1849,4.957597066,4.835902103,4.228560845,5.111110444,4.605484151,6.853014079
b1850,7.648792942,7.408624376,7.741508385,7.576584456,7.620552451,7.809336158
b1851,5.29082166,5.037879,5.189660607,4.866246128,5.319990464,5.504935086
b1852,7.202065722,7.031640175,7.760803575,7.466508997,7.252854935,7.177762582
b1853,5.79736646,5.821915066,6.354144932,5.234914808,5.790032346,5.553752236
b1854,8.997707685,8.522819882,8.723612064,8.426236211,8.619147185,8.334411175
b0020,4.191657069,4.283815619,5.290425981,4.493978893,4.739882241,4.531028025
b0194,7.420755686,7.084067759,7.054330729,7.227337984,7.241056584,7.494526932
b1855,5.199275503,5.480699179,6.119540983,5.355654819,5.35205002,5.492655006
b1856,6.182194913,8.22768477,7.594866892,7.051378133,5.209235309,5.283894725
b1857,8.032793869,10.54404187,9.584108661,9.133513705,6.340753253,6.347735099
b1858,5.65597246,6.765740505,6.703299963,5.87414963,5.140546476,5.193759518
b1859,5.558731239,6.784124118,6.930372437,5.824999069,4.906369229,5.020034827
b1860,5.409441175,5.303232616,6.512652997,6.11683031,5.634511145,5.413976551
b1861,5.761407609,5.668190534,6.529236591,6.004511514,6.091488148,5.978869157
b4677,0.351727784,2.01281571,1.176716268,1.260757289,1.466739048,0.615160574
b1862,1.536839747,2.260996504,2.560904923,2.043713524,2.038248883,1.701843409
b1863,6.807325386,6.669219785,7.013928562,6.587298102,6.70761282,6.934274265
b0195,4.06518919,3.848549297,4.792445185,4.566160355,4.32598395,4.422001131
b1864,7.794550413,7.611490168,7.705636079,7.684350361,7.895160879,7.951959766
b1865,7.62507395,7.564467021,7.608374154,7.451826888,7.772354165,7.696650016
b1866,8.279127762,8.037832955,7.997804292,7.903973702,8.149652208,8.024931588
b1867,5.291224406,5.142980536,5.91505719,5.924727196,5.471234445,5.226005826
b1868,3.247453951,3.393882529,4.285311377,3.983335113,3.414799851,3.117107307
b1869,6.947556713,6.97878558,7.243401115,6.801703158,7.053331928,6.922389645
b1870,4.806308687,4.687079729,5.242652293,4.572102194,5.010385921,4.773173245
b1871,5.033168037,4.863045404,5.19195114,4.764403416,5.149906406,4.762529292
b1872,1.835894197,2.363320033,2.878948495,2.83974622,2.360001033,1.902446034
b1873,0.826387075,1.457487349,1.720392938,1.625210016,1.210061531,0.85455834
b0196,5.898319454,5.55450253,6.501784323,6.190555115,6.11318854,6.390999472
b1874,5.989097316,5.889519738,6.544377049,5.926189342,6.074186442,5.777245874
b1875,5.83464313,5.75571103,6.095075392,5.741731038,6.076822451,5.901554632
b1876,6.184325232,5.774549689,5.872630788,5.724266335,5.787195367,6.145508561
b1877,1.901150946,2.344580929,3.4012912,2.901777928,2.621960775,2.425217154
b1878,1.823448695,2.295011582,3.230386605,4.396626659,2.234437216,2.261693508
b1879,2.323127313,2.67990337,4.128066026,4.794030301,2.82729975,2.829186798
b1880,0.932221799,1.659325207,1.818515935,4.062421706,1.652468954,1.529520987
b1881,3.194521116,3.490167843,4.154231782,6.737726309,3.233619412,3.104889264
b1882,4.140696898,4.359120199,5.023814458,7.834594525,4.243680331,3.83152728
b1883,1.798369566,2.325794486,2.793657863,5.571875065,2.104272116,1.713231088
b0197,8.090336524,7.894565292,9.081119468,8.996307255,8.006850732,7.987536524
b1884,1.142143605,1.741360984,2.190372152,4.547976986,1.227926524,0.897149726
b1885,1.285711757,1.884193266,2.555313523,5.682043973,1.762882983,1.271021396
b1886,1.749943134,2.30555815,2.957111959,6.465141802,2.244222059,1.809229441
b1887,2.687528619,2.997286051,4.199757368,6.852203321,3.223777952,2.73115488
b1888,1.517669389,1.975621158,2.643174845,5.600557784,1.870536718,1.552320354
b1889,1.287156818,2.021016617,2.713349756,5.35872474,2.007066547,1.429309011
b1890,1.156940626,1.536706171,2.189643334,5.134718865,1.672186222,1.398125711
b1891,4.242991332,4.068383108,4.608802037,5.287241011,4.542572235,4.555111365
b1892,4.268938437,3.918601009,5.073155309,5.343473826,4.598922854,4.605884259
b1895,6.988428295,7.147128367,8.420609405,7.914337811,7.213281787,6.635193783
b0198,5.30238944,5.34435472,6.531932149,6.236574273,5.210934636,5.371187727
b1896,4.864830489,4.88845492,6.621447399,5.268678459,5.126479911,4.386438351
b1897,5.399196211,5.538344927,7.040265674,5.516312969,5.87190225,5.250489203
b4460,2.758800406,3.254446917,4.192699065,3.691098368,3.381946045,2.605364175
b1900,2.558688879,3.053852874,3.895558289,3.340879081,3.068510246,2.462292617
b1901,2.514040508,2.943972919,2.533536071,3.228298295,2.913078167,1.898339781
b1902,8.860479685,9.206482068,8.013369528,8.558496585,9.306743978,8.219605715
b4537,5.904666984,6.022843265,5.951119715,6.389699771,6.20158269,6.447906709
b4663,2.500364539,2.571815772,3.265141583,3.46660654,3.48693415,3.551340274
b1904,1.803631083,2.245403231,2.663319568,4.738851567,2.821314526,2.482780243
b1905,5.424394037,4.596795262,5.344812447,6.594412986,5.590069277,5.14901495
b0199,3.562481768,3.642065855,4.736814344,4.398743323,3.104007308,3.772926578
b1906,6.447405507,6.69730256,6.10635129,6.151650715,6.520542099,5.864338518
b1907,2.210119495,2.694011587,3.085826337,3.290114206,2.345533691,2.896412436
b1908,9.115405273,9.286065684,9.093765031,9.235580401,9.579188648,9.2294774
b1909,5.749663669,5.907388512,8.100475351,6.754948158,6.647073633,7.413793664
b1910,6.048677939,6.084496126,8.094946701,6.891162271,6.843521091,7.358168904
b1911,6.336353406,6.476150252,8.368315672,7.181041233,7.284009409,7.905817744
b1912,6.969724476,7.006867821,7.708106175,7.269838728,7.363889443,7.216336085
b1913,6.303440937,6.137645994,6.545350348,5.967176507,6.327858927,6.011060979
b1914,7.464837645,7.454540063,8.343894833,7.636792306,8.016800856,7.873186066
b1915,5.003038373,4.931233982,5.301192425,5.355206607,5.18427231,5.770977847
b0200,6.420453113,6.545303124,6.597655891,6.587281705,6.68226814,6.572688985
b1916,4.189488938,4.34317041,5.842402802,4.883142005,4.634698964,4.337186495
b1917,5.746920236,5.788894918,7.008083345,6.356597528,5.837852115,5.687162167
b1918,5.347673311,5.414262316,6.478921199,5.77033048,5.369818098,5.086482448
b1919,6.136487108,6.122084074,6.861457457,6.46420979,6.053214447,5.892544542
b1920,8.47057717,8.787010235,10.42444284,10.06845277,8.336928023,9.136074606
b1921,2.1099972,2.621949909,3.831693046,6.026463189,3.053778184,2.946624156
b1922,2.907515846,2.7562682,3.851821641,7.033387185,3.727337199,3.924525537
b1923,4.606097922,4.744385094,6.467689354,9.92341596,5.120559586,4.802483993
b1924,1.657691018,2.130717061,2.907563125,5.634207445,2.245949382,1.934772817
b1925,2.447371427,2.42030695,3.389445193,5.617548812,2.606492348,2.221982036
b0201,10.58898845,9.889389475,9.426348982,12.3587769,9.024354066,9.752593356
b1926,2.039705657,2.275435397,3.126716316,5.071653736,2.452902865,2.043502964
b1927,5.541449598,5.516898832,6.326684507,5.852857207,5.867816683,5.477963718
b1928,7.535918531,7.406973392,7.95140441,8.06643829,7.980242812,7.619827706
b1929,7.413705534,6.96103605,6.377441603,7.17050457,7.20255317,6.942726958
b1930,8.068862625,7.815712891,7.120026444,7.847850641,7.867410062,7.750903247
b1931,2.929001721,2.749205301,3.312681192,2.822047773,3.242299136,2.727274955
b1932,3.062833901,3.154360375,3.516165156,3.948133541,3.12852295,3.818612897
b4495,0.557379894,1.50484009,0.943493903,0.887127256,0.868378627,0.630176687
b1936,1.090974901,2.109298207,2.780107733,3.874846693,2.14689431,2.013495922
b1937,2.130540785,2.762540712,3.998922599,5.496098312,2.717311863,3.06120964
b0202,3.729853949,4.006776051,4.700274494,4.836347997,4.557885323,5.302531642
b1938,1.774028264,1.846316503,2.432368698,5.26007676,2.207870221,2.691430626
b1939,2.059491323,2.208131374,2.954486721,5.877148757,2.732502701,3.06324739
b1940,1.64249465,1.987344959,2.584006322,5.573662663,2.631340073,2.745616311
b1941,1.581558665,1.867726574,2.016456346,4.985577013,2.057346665,2.334664291
b1942,1.830039617,2.054452556,1.887008992,5.106861547,2.058647016,2.318810236
b1943,1.697999104,2.100123612,2.312063345,4.686965518,2.202905574,2.204144652
b1944,2.549254447,2.599152685,3.040469836,5.760831407,3.322666261,3.632908141
b1945,2.004779923,2.272933319,2.67975321,5.012970393,2.609303913,2.803451953
b1946,2.199546753,2.191817502,2.349729867,5.647355907,2.472827246,3.089840254
b1947,1.56244831,2.035131808,1.78758702,4.499898029,2.022080561,2.062599936
b0203,2.592135895,2.787183454,3.615090842,3.326013397,2.935756719,3.798430113
b1948,1.302560459,1.912425001,1.889058248,3.935310046,1.863877974,1.862587724
b1949,1.105302371,1.740824055,1.858298331,3.660770933,1.732372654,2.010373033
b1950,1.854992706,2.332186385,2.053913511,2.805858811,2.436141813,2.454578552
b1951,2.683372168,3.275872353,5.525965358,3.785228208,3.281227407,3.298872169
b1952,6.285020522,6.947732012,6.57720427,6.850577939,6.873608472,6.943986511
b1953,7.083301548,7.303730911,7.676792619,6.856391559,7.391891604,6.632300233
b1954,4.401738996,4.626801176,5.14021933,4.177359603,5.183948947,4.028445428
b1955,4.083890665,4.240326406,5.091159511,4.192767351,4.702017522,3.910166731
b1956,4.004386055,4.197801187,5.117809998,4.339112006,4.503898186,4.140338347
b1957,6.330333656,6.887166783,7.335915429,7.250648804,7.36381216,7.038959425
b0003,9.483844869,9.445330184,11.21826581,10.12812259,10.40027665,9.722768978
b0021,3.691605157,3.990423405,5.039819936,4.085915559,4.178976975,4.035297463
b0204,9.780998966,8.895617291,8.905210028,11.03827093,8.12418748,8.801923361
b1958,6.071960064,6.214332686,6.795728353,6.355308663,6.558967052,6.316592064
b1959,2.042130092,2.51552405,2.611460999,2.842952473,2.361716977,3.452250179
b1960,3.851451155,3.718543932,4.13837333,4.008755033,3.727299384,3.83618931
b1961,5.226015117,4.884937208,5.463708701,5.196310898,4.983318016,5.157713808
b1962,4.563189336,4.72074612,5.506461763,4.991055119,5.041964351,4.742403065
b1963,4.375548223,4.915984241,5.399648977,4.938893365,5.079596441,4.899200746
b4603,0.311468185,1.216832174,0.705716352,0.770590104,0.896782,0.164528508
b4496,2.2261514,2.786984637,3.98507004,3.012559469,2.815299227,2.350768355
b1967,5.33188479,5.489893048,6.407878414,5.904175939,4.817892859,3.981383366
b1968,2.77904726,3.249425251,3.395799862,2.898829595,3.06690353,2.429570844
b0205,1.22559588,2.138170671,2.40790604,1.914080576,1.602104581,0.873106903
b1969,3.482372775,3.960412512,4.740411703,3.886342563,4.268538202,3.913465457
b1970,4.993531385,5.010771631,5.996186086,5.948894584,5.577788608,4.727216058
b1971,3.395177247,3.587419142,4.440781482,3.686910561,3.877695676,3.136962743
b1972,2.85170907,3.248628473,4.328071836,3.602185846,3.261619169,2.781377007
b1973,5.609853357,10.58695022,7.835286721,7.699281247,3.379969064,3.211691374
b1974,2.419473797,4.193751313,3.92443446,3.521741655,2.616665489,2.443179488
b1975,10.61035226,10.99857666,9.819949997,10.29214323,10.86237111,9.957032758
b1976,8.16106033,8.465320648,7.440930774,7.907085024,8.443495512,7.42773595
b1977,5.288361609,5.799455505,4.882005191,5.230665086,5.698010427,4.526062372
b1978,2.424704087,2.907282218,3.471662263,2.906854871,2.829484411,2.460043325
b0206,1.809202217,2.704902191,3.67802276,2.648341697,2.366176469,1.561492956
b4497,0.679056176,1.900637711,1.609006516,1.146614862,1.416823267,0.843335178
b1981,7.720764822,7.666042358,8.346362219,8.039531063,7.636423623,7.220090027
b1982,6.481297756,6.409637717,6.938796725,6.863374854,6.662101744,5.96182046
b1983,7.349982257,7.189907871,6.810268229,7.237844246,6.919681467,7.279052352
b1984,2.362996175,2.73072687,3.223010514,2.727426836,2.497970723,1.963505312
b1985,3.502945177,4.101946959,5.148707995,4.092572518,3.971606545,3.612443846
b1986,3.030855373,3.535010379,4.638554723,4.390693662,3.621342511,3.67035755
b1987,3.391928624,3.724287313,5.565094356,5.626724951,3.17325832,3.845729555
b1988,3.883136685,3.770164176,3.527994899,5.462000958,3.727685046,4.907128944
b1989,3.0323719,3.177856615,3.643160624,3.377150804,3.444458657,2.770050089
b0207,4.132220943,4.192435068,4.678619909,4.354108302,4.471615775,4.313104856
b1990,5.213766005,5.245456261,6.041519624,5.269519622,5.816954452,5.171048164
b1991,4.790003809,5.198106964,6.331106348,5.890218933,5.520122442,5.012209357
b1992,4.695559136,4.976567573,6.205041755,5.921114107,5.459877707,5.329117434
b1993,4.220478302,4.604546668,5.701993493,5.264837196,4.950236201,4.822407854
b4639,1.412588814,2.189109537,2.537252373,1.817898218,2.417811067,1.973971625
b1994,6.701859971,6.682802931,6.614521753,6.717308105,7.029976485,6.938664768
b4640,2.786017222,2.89702738,3.952465934,3.415853754,3.471148813,2.792047585
b4641,2.912156094,2.760314896,4.551421668,4.114160065,3.742763421,3.230517689
b4582,5.982972792,5.943939288,6.052143584,5.277708693,6.14727686,5.306690106
b1996,4.216804842,4.187154826,4.452075367,3.697153578,4.280199434,3.644036336
b0208,4.133692051,4.202159489,4.605610946,4.495254726,4.378207378,3.899356926
b1997,2.205358378,2.490782942,2.791471429,2.564011661,2.265998394,2.016533677
b1999,2.444730248,3.045526423,3.554527667,3.080886138,3.215734524,2.577091055
b4435,2.79032096,2.983444921,2.080240514,2.655114448,4.082340182,4.070550836
b2000,5.086868038,5.182729351,4.344699206,5.006001648,6.565982407,6.547318711
b2001,2.443747352,2.885052971,3.111123494,2.749163568,3.072125456,3.109551947
b2002,2.875255874,3.460696933,3.885570752,3.613621547,3.457646599,3.4174994
b2003,2.48781099,2.979806366,3.764047141,3.248314022,2.895912173,2.170930387
b2004,2.163789391,2.932278163,3.599583041,3.179531974,2.742160182,2.310867156
b2005,1.613337043,2.142928752,2.73995138,2.112989267,1.582218441,1.530382164
b2006,3.020178044,3.382506176,3.854993081,3.377157494,3.28162172,3.054202358
b0209,5.83555843,5.92424246,7.403098169,6.544533738,6.273979194,5.963541196
b4642,2.774596094,2.837204218,3.48837144,2.773938166,3.22868627,2.51530491
b4538,4.412079587,4.463765086,5.044866477,4.648993778,4.517134171,3.917746929
b2007,11.49210935,11.45631615,11.63168617,11.11716804,11.24595042,11.13283379
b2008,3.993634775,3.955919296,4.872869787,4.399782908,4.429471569,3.646580108
b2009,5.931301749,5.873227839,6.540456545,6.39622694,6.463125095,5.568089027
b2010,3.098388373,3.580844512,4.252955682,3.814242335,3.672023143,3.472397221
b2011,5.265690486,5.327277166,5.407359106,5.153409824,5.256570793,5.151875686
b2012,7.130303687,7.839237468,9.370826809,9.056258153,7.464599629,8.444817702
b2013,5.229799668,6.041084968,7.49725617,7.430815263,4.590553294,6.286283434
b2014,6.304481627,5.262328695,5.543705286,6.325122585,5.852650272,6.611541328
b0210,3.441602972,3.604832047,5.369961721,4.236918856,3.917881688,3.255572062
b4678,4.333440976,3.705480021,4.801046586,5.23451193,4.465919701,5.605172111
b2015,4.744720524,5.00061994,5.144358629,4.634570807,5.029116724,4.589651569
b2016,8.111623806,7.969453483,8.288794058,7.99507005,8.151173758,8.034791829
b4539,5.942197042,6.105032905,6.705459465,6.062003294,6.119997645,5.742077834
b2017,6.204732693,6.355809182,6.994324366,6.378739256,6.428818546,6.0702535
b2018,3.579469284,3.959912077,4.170194863,4.639589847,3.732868055,4.018615451
b2019,10.58210237,10.37580722,10.29227201,10.77318654,9.886882264,10.1349081
b2020,10.22241385,10.10287873,9.843856334,10.48313335,9.463220158,9.657623058
b2021,9.830117384,9.625983956,9.711885966,10.23428364,8.909335223,9.188494065
b2022,9.407885058,9.165989852,9.475565449,9.894188043,8.470327753,8.917702726
b0211,6.192819896,6.376706038,7.375844046,6.783065409,6.13603325,7.074433845
b2023,9.386435093,9.195037674,9.485464305,9.936522519,8.388025078,8.98645296
b2024,9.683970949,9.625633438,9.782165828,10.38629384,8.711060336,9.471643135
b2025,9.787166574,9.788648336,9.59883947,10.45756418,8.655578768,9.559854526
b2026,10.01132966,10.11940379,9.40120649,10.65340578,8.681869449,9.681874784
b2027,7.703296358,7.284636042,8.464660795,8.37569473,7.941838225,8.333422583
b2028,3.416089587,3.529160443,4.289151519,3.699761675,3.673926758,3.607910158
b2029,8.97221888,8.717003981,9.350865186,9.187667357,9.081285192,8.840957292
b4571,6.537694298,6.666511851,7.239333012,6.82577978,6.621298316,6.844211647
b2030,5.148940412,5.210999875,5.231730717,5.236342264,5.418976995,5.384068212
b2032,6.355730874,6.392809278,6.872728198,6.629709176,6.36269121,6.709374564
b0212,5.28839924,5.326079589,6.196098434,5.897499318,5.450719131,4.962352238
b2033,6.495636951,6.413560038,6.999296171,6.750575694,6.432064436,6.878322616
b2034,6.324644942,6.203402657,6.579299232,6.514283407,6.182243764,6.616615706
b2035,6.025192739,6.30183797,6.39180515,6.492291311,6.22354473,6.574233761
b2036,7.225652666,7.561610922,7.529924744,7.790101746,7.404040984,7.70655708
b2037,5.807469276,6.07679953,6.169181117,6.24977264,6.044445492,6.225141713
b2038,5.96665507,6.234019273,6.213646574,6.428296358,6.375982506,6.302505913
b2039,7.242357103,7.417460219,7.201373187,7.437824561,7.481917409,7.386569287
b2040,6.810411972,6.794066774,6.981448382,7.07944772,6.993697446,7.01831867
b2041,6.778909824,6.651158801,7.123369541,6.924856004,6.86750247,6.892082696
b2042,8.837265437,8.450671296,9.082146863,8.857278501,8.775850918,8.798138405
b0213,4.921361385,4.996612456,5.624957975,5.330190051,5.356970917,5.246468302
b2043,2.575160076,2.969784937,4.128570394,3.318343072,3.064541268,2.668145846
b2044,2.107856988,2.55952507,3.668463603,2.43006232,2.372055128,2.025471983
b2045,1.716419654,2.274705045,3.162869925,1.867662021,1.951494388,1.812564978
b2046,1.628000632,2.385351903,3.09933522,1.866215457,1.992040836,1.824458187
b2047,0.988393099,1.781716112,2.713537187,1.32395148,1.338209565,1.196636871
b2048,1.335370771,1.944934445,3.042473624,1.289624195,1.577531126,1.502104449
b2049,1.656198174,2.250641548,3.722458127,1.956908267,2.028574738,1.885978266
b2050,1.202048222,1.82565457,3.250527788,1.285447135,1.529406057,1.534563925
b2051,1.844462393,2.426740593,3.814843843,1.580980043,2.086904036,1.806450401
b2052,1.997431667,2.291475891,4.078324019,1.176658936,2.023714077,2.132348854
b0022,3.531563715,3.739892374,4.43462862,3.752382919,3.930570714,3.960842758
b0214,5.908481175,5.909679901,6.601257428,6.323224607,6.261155848,6.271902893
b2053,2.385156769,2.745345227,4.660080284,1.838707713,2.398852828,2.630216998
b2054,1.371411596,2.027584634,3.285695429,0.90698903,1.491605074,1.313904457
b2055,0.867202974,1.459482317,2.585467341,0.9863368,1.04302797,1.021229534
b2056,0.676005308,1.762920593,2.719466025,0.813367337,1.122800606,1.153240135
b2057,0.91098908,1.633303104,2.422395946,1.021432901,1.13502242,1.021548877
b2058,1.235819108,1.747812166,2.611069233,1.293869239,1.282267312,1.489312772
b2059,1.089611335,1.8490705,2.360354352,1.308699111,1.376396777,1.272225984
b2060,0.875085367,1.771568875,2.025095579,1.020054967,1.318092383,1.013139131
b2061,0.502494131,1.544625584,1.376194412,0.815509986,0.881715411,0.862601219
b2062,0.711179482,1.544405892,1.599238625,0.917995307,1.010000112,0.858975513
b0215,5.246356405,5.308361089,5.870409875,5.420068637,5.625038536,5.691150406
b2063,4.958495934,4.945189215,5.186056178,5.117550318,4.916940487,4.541996647
b2064,5.102840412,5.035350847,5.65151463,5.254552991,5.256603287,4.966343849
b2065,7.100287364,6.931004439,7.261542011,7.064280872,7.276526297,7.059586002
b2066,5.255395859,4.895911678,5.340737232,4.966430005,5.231290995,5.3045672
b2067,4.248162104,4.372281949,4.562541228,4.524162385,4.642625198,4.135696981
b2068,4.602591723,4.704658113,5.072195086,4.435872012,4.832418215,4.624419628
b2069,4.706146576,4.323195332,4.539494064,4.296997299,4.351417718,4.404810617
b2070,2.145016667,2.641221906,2.493342162,1.937526642,2.384417209,1.980082559
b2071,2.743279629,3.041655363,3.273307846,2.730837717,3.161085185,2.49521226
b2072,0.7887379,1.711167978,1.971258524,1.33294194,1.163887483,1.014281301
b0216,2.193135629,2.495093967,2.681852649,2.683355724,3.072286033,3.169344175
b2073,1.692923549,2.545165775,2.669559983,2.250840511,1.871211677,1.849843619
b4436,5.212121461,5.62946244,5.068323915,5.547933942,5.630264612,5.653701347
b4667,0,0.02710978,0.001760747,0,0.011916475,2.32817E-05
b4437,5.060284831,5.34551365,5.166699203,5.286850201,5.557236823,5.39001072
b4668,0,0.022537311,0,0,0.001651615,0
b2074,3.169081808,3.109132816,3.732512365,3.599542407,3.513933262,3.385276443
b2075,2.396390314,2.707777828,3.223796357,2.883535949,2.731294551,2.49994428
b2076,1.803721941,2.323250683,2.907443011,2.414941279,2.213246513,1.976161901
b2077,1.335171578,2.066657883,2.639071419,1.691068507,1.618675104,1.480297328
b2078,1.977659214,2.376653007,3.334651987,2.553384924,2.205520388,2.222010853
b0217,1.381478627,2.286918336,1.59654774,1.741160415,2.026757594,1.790962534
b2079,5.541668784,5.477519098,6.13786514,5.746548905,5.61945028,5.604720025
b2080,5.556332216,5.632135289,7.093529532,6.088229467,6.153064929,5.024560092
b2081,5.453491999,4.759850211,5.282599505,5.109562252,5.256591425,5.238316468
b4438,4.80474285,4.539179833,4.603972531,4.63331706,4.78246489,4.567807084
b2082,4.201714986,4.312219284,4.511368162,4.660105754,4.490443541,4.423936251
b2083,2.301763895,2.922363729,3.172902953,2.611584983,2.624330518,2.436276563
b2085,2.871023599,3.152004679,3.096004771,3.570048451,3.13234467,3.625938609
b2086,4.165669737,4.234073073,5.156717976,4.914580887,4.732300004,4.222735979
b4498,6.35182137,6.630075895,6.538142682,6.162920224,5.156344846,5.907176551
b2088,3.754161044,3.833025895,4.441790731,3.730201764,4.047837264,3.811542146
b4586,0.734649209,1.801954199,0.833991551,1.211310776,1.112234829,0.757148617
b2089,4.019013687,4.329909759,4.805711568,4.214442319,3.715455371,3.953318131
b2091,10.74627496,10.72996373,9.908683909,10.44542274,9.46504214,9.91937626
b2092,11.66493095,11.49663759,10.74333964,11.39969597,10.63052375,10.95958551
b2093,11.17571855,11.03261356,10.62834852,11.01305586,10.26950782,10.53726753
b2094,11.48786245,11.40579104,11.31971518,11.33572275,10.5269343,10.92572289
b2095,11.93398471,11.82926445,11.82538272,11.67095286,11.1605244,11.38606141
b2096,12.61456611,12.50479534,12.68051746,12.17522213,12.24606411,12.2675847
b2097,6.330461287,6.205167579,7.614091283,6.669049934,6.042225538,5.697705676
b2098,2.457640345,2.808503728,2.999790534,2.903309258,2.638485374,2.271051025
b2099,3.224086106,3.413646191,3.726049472,3.750545287,3.288460773,3.040198851
b0218,0.756260306,1.523036266,1.033402101,1.481177805,0.850822309,0.498264576
b2100,3.20257894,3.340338647,3.617401401,3.506996644,3.157334886,2.878828779
b2101,4.441478042,4.372845439,4.969347159,4.57891956,4.706423686,4.851358529
b2102,3.237493145,3.561309996,4.031941068,3.278701177,3.490962303,3.417288717
b2103,5.279740538,5.143142994,6.529793511,6.01061683,4.758305118,4.801141976
b2104,4.818636848,4.679301996,6.201782138,5.808229178,4.40970682,4.491202753
b2105,3.639468419,3.916393209,5.609791233,4.971891751,4.15585349,3.853454382
b2106,2.740694316,2.597811342,3.747699778,2.76273816,2.745088446,2.739064356
b2107,5.851686218,5.760872475,7.134590727,6.798144294,6.252250136,6.174387244
b2108,0.661912011,1.624883991,1.396629536,1.227751537,1.063013035,0.671158152
b2109,0.898826461,1.776825629,1.655675143,1.37947913,1.337503278,0.631592095
b4503,1.873088698,2.496070205,2.457338338,1.913986902,2.240108838,1.547907701
b2110,0.593690962,1.477258492,0.790281218,0.875018205,1.241474038,0.386261295
b2111,4.777197455,4.564701585,3.527412016,4.78059657,4.875287474,3.617261435
b2112,4.842133972,5.089227676,6.650280283,5.053453828,5.578552097,4.621497026
b2113,7.596996782,7.347371406,7.501885373,7.639329936,7.772759341,7.830824441
b2114,6.8716876,6.565911239,6.900673159,6.619716198,6.542112758,6.758629905
b2115,1.287640429,2.005465283,2.481039826,1.917959052,1.669298371,1.404854223
b2118,1.696817466,2.3346625,2.883733815,2.647964761,2.01525635,1.839780458
b4541,0.337793646,1.082898376,0.81635161,1.013441045,0.620186675,0.540021635
b2119,0.934457726,1.75340856,1.345697146,0.888422068,1.27211869,1.025662592
b2120,1.029181804,1.835202373,2.184088682,1.477511808,1.556790228,1.047485178
b0219,5.968329374,6.015024911,6.154267194,5.934022517,6.349400281,5.968783474
b2121,1.095180354,2.008206377,1.81700236,1.538003304,1.507641214,0.885995017
b2122,1.279164868,2.082476696,2.275122759,1.764401477,1.731770114,1.480911509
b2123,2.109836821,2.525891397,2.965279337,2.71580259,2.589121056,2.296864663
b2124,5.939453314,5.929310233,6.145395514,5.832120373,6.330206709,6.22482933
b2125,5.271679109,5.328891271,5.297114051,5.199987991,5.348414954,5.263147342
b2126,5.353759407,5.357854497,4.868304529,5.240181822,5.52144481,5.114258537
b2127,3.274756297,3.577925625,4.63760861,3.781859294,4.417081182,3.666730906
b4542,3.963479862,4.296990687,4.767529142,4.171282933,4.611116121,4.386066635
b2128,3.548002215,3.888695684,4.935251189,3.720672949,3.995982065,3.683971822
b2129,3.124087764,3.289316811,4.556862072,3.599894912,3.570131198,3.153434654
b0220,8.586107712,8.786637532,10.4210711,9.757217176,8.880587442,8.815639791
b2130,2.714632732,2.930224518,4.130734441,3.149312342,3.239983672,2.502659735
b2131,4.119272408,4.003593032,5.290527142,4.356242414,4.908153939,4.136356092
b2132,5.321547011,5.13849983,5.718015755,5.70331369,5.353550191,5.227939323
b2133,7.764717629,7.664769025,7.82769729,7.841339746,7.860774301,7.654835642
b2134,4.795654347,4.737488053,5.602465889,5.217213949,5.132733274,5.036605211
b2135,5.431935529,5.703583592,6.974909395,5.918428032,5.935044251,5.374886729
b2136,4.627608024,4.861612245,5.459724103,4.749069027,5.122820591,5.123345609
