Blattner,Log2FC(yggS/WT 5µM)
b0180,0.431784889
b2938,0.547870394
b1385,-0.300988722
b2332,0.072895926
b2321,0.662089355
b3342,0.71431252
b3974,0.302073899
b2784,0.317515488
b3176,0.053676178
b4677,-2.03797347
b2299,0.428784272
b0283,-1.002217462
b1495,-0.965862155
b4193,-0.827279813
b3322,-0.156765206
b0271,-0.445546053
b0408,0.63812828
b0920,0.104686397
b1568,-0.599901222
b2769,-0.351654159
b2411,0.141257467
b4394,0.61312272
b0417,0.057948611
b2518,2.427428444
b3573,-0.287119731
b1148,-1.215750242
b0354,0.817001827
b2133,0.151095017
b4162,0.40160283
b0766,0.447968301
b1701,-0.753993874
b0615,-1.43343246
b2874,-0.402976058
b3269,-0.623656001
b1774,-1.127879562
b0741,0.391533347
b1759,0.601202723
b2479,0.494811409
b1323,-0.010533182
b2883,-0.524041462
b0068,0.493395637
b2205,0.326698125
b2721,-0.732848472
b3574,0.474679854
b1817,-0.197435293
b0629,-0.667042989
b1670,-0.521513176
b2937,0.814775564
b1318,-1.209697431
b4253,-0.239607729
b1900,-0.543341765
b4043,0.212013682
b2202,0.195758857
b1454,-0.567776527
b1467,-0.771253571
b2343,-0.063808663
b3667,0.075677562
b4653,-1.081008574
b0234,-0.724401954
b4173,0.23732871
b4713,-1.416151974
b2412,0.340684679
b1838,-0.067195233
b2641,-0.004434162
b3472,0.233410587
b4678,2.168540661
b0933,0.042607652
b4623,-0.28939032
b3747,-0.052848839
b1538,0.28517186
b4634,-0.619650372
b0717,-0.659227655
b3438,0.57910226
b4608,-2.288723666
b1883,-0.667931359
b0823,-0.727087279
b0696,-0.43291271
b2726,-0.276062523
b4415,-0.523419473
b1008,-0.831069701
b4307,-0.289397177
b3400,0.177191105
b2620,0.634454138
b1695,-0.600134466
b0926,0.882958217
b3531,-0.397185902
b4502,0.44566754
b4684,-1.626005352
b3984,0.854134762
b1227,-0.064379379
b3529,0.234895426
b4177,-0.26619912
b1274,0.274435721
b1742,-0.453481688
b0414,0.124162299
b0727,1.570699659
b1570,-0.040507326
b1985,-0.367718924
b2209,0.029203182
b2611,0.870688543
b0175,0.717590597
G0-10738,-0.575851047
b3771,0.034913327
b0834,0.208080163
b2231,0.39701551
b3523,-0.062417625
b2972,-0.454599475
b0619,-0.055693437
b1156,-1.343547824
b1226,-0.044085967
b3379,-0.515073928
b2435,0.379576686
b3971,-1.074259845
b0438,-0.181552799
b0237,-0.1425824
b3157,-0.062552243
b1561,-0.07440377
b4295,0.171133873
b0571,1.260732447
b0781,0.821810436
b2522,0.281090839
b1006,-0.473835953
b0719,-0.79092344
b3541,-0.660223096
b0839,0.110161285
b2920,-0.322500461
b3786,0.417413952
b0788,-0.472082691
b1857,-4.112407454
b4296,-0.348855222
b4014,0.993278907
b1754,-0.064730628
b0383,0.064297177
b0642,0.324578298
b3077,-0.967370956
b4265,-0.136863691
b3726,-0.258698111
b1041,-1.12047741
b0660,0.097626606
b4332,-0.194263583
b3395,-0.489617659
b4329,0.444026444
b1043,-0.113616918
b1771,-0.380939664
b1624,0.084106792
b1377,-0.500804402
b0345,0.288114965
b4701,-1.298345143
b2711,-0.740428404
b0941,-0.451090789
b1222,0.041120325
b0513,-0.600999988
b2892,0.203213887
b0410,0.813241492
b3273,-1.443440515
b3309,0.828800285
b0862,0.513655496
b2365,-0.583055267
b4481,0.24766892
b3463,0.252736936
b2092,-0.360448732
b1336,-0.441443574
b1487,-0.508542397
b3159,-0.055546305
b2512,0.436230311
b3582,-1.320675233
b4601,-1.32657478
b0568,-0.519592847
b3417,0.806284835
b3916,-0.226991206
b0246,-0.478161736
b2940,0.766125381
b1125,0.694631484
b3575,-1.097239655
b3934,0.593131973
b4199,-0.338731569
b4580,-0.049234687
b1093,0.410187549
b2780,0.458555189
b3279,0.293142873
b0553,-0.369510313
b1753,0.18745264
b2761,-1.284776103
b2293,-0.280099128
b2131,0.30732494
b2157,0.132844542
b1376,0.110159982
b2632,-0.598886887
b1346,-1.718249935
b1617,-0.871209805
b2897,0.371023023
b3346,0.55546152
b2906,-0.18588039
b2796,0.249078071
b0008,0.151235971
b0178,0.251476122
b0545,-0.520874231
b4122,-0.940150805
b2981,-0.935294895
b3540,-0.774116896
b0524,0.308624514
b2960,0.393459434
b1870,0.234541672
b1466,-0.945770125
b3850,0.086830991
b1344,0.890953781
b1593,0.30709913
b1807,0.538495761
b2186,0.438193213
b1951,0.206019043
b2375,0.283415872
b1823,0.312308993
b2445,-0.620418252
b0792,-0.606624155
b3211,0.288410544
b4570,-0.527810433
b1014,0.337191763
b3958,1.679626311
b2283,0.050837647
b4079,-0.369875694
b2001,0.404350529
b4475,-0.280688871
b1828,-0.272137768
b3048,-0.747063415
b3140,-0.954402545
b2908,-0.082366035
b3023,-0.434472675
b1193,0.681330749
b4492,-0.285870191
b1930,0.11748622
b2297,-0.45650542
b3199,0.221279365
b4375,0.877690925
b1789,0.418620737
b2490,-0.546264963
b2951,-0.304483579
b4086,-0.555490897
b4294,-0.243911191
b3340,0.635076049
b4459,0.025401222
b3972,0.564688842
b3173,-0.233868674
b0205,-1.836284481
b1794,0.49849369
b3803,0.148751644
b4204,-0.175997818
b3262,-0.597295689
b1224,-0.295598734
b4503,-1.088301129
b4146,0.583464001
b3359,1.783294844
b3647,-0.734500531
b2410,0.255242243
b4477,-1.224918011
b2623,-0.495226573
b1645,-0.534472228
b2033,0.628349919
b4356,-0.34143645
b1747,-1.038892295
b4576,-0.457801764
b2459,-0.933027536
b3732,0.492201722
b4423,0.21827765
b4392,-0.049154725
b3241,-0.099089029
b3028,0.59843809
b3734,0.640971705
b4484,0.688979491
b4019,-0.142836398
b3825,0.302830112
b1105,-0.220295462
b3559,0.003572176
b1846,-0.198586944
b1871,0.043778692
b2759,-0.739052525
b4461,-0.05524952
b3658,-0.49503444
b3724,-0.090676664
b2603,0.116116309
b3020,0.353212161
b0224,0.471489327
b3019,0.539289398
b4648,-0.885617487
b3338,-0.308400533
b2965,0.853838429
b3989,0.003895537
b2988,-0.081775904
b3451,-0.824753649
b0365,-0.510613808
b3310,0.867609964
b1949,0.52659303
b4075,-0.344772649
b0530,-1.362484748
b1886,-0.582273465
b2959,0.217535564
b3499,0.274243968
b1058,-1.026230615
b0118,0.590235693
b3092,-0.549915967
b3098,-0.218656575
b0621,-0.896080315
b0128,-0.085843154
b1255,0.308154251
b0651,-0.015763782
b2044,-0.52977897
b2257,-0.598055854
b3099,-0.238151499
b2966,-0.052002592
b3983,0.883868622
b4033,0.759423769
b3410,-0.636658622
b2625,-9.570130325
b4224,-0.680993632
b3339,0.392841572
b3447,-0.049611995
b0963,-0.313608029
b2791,0.272518364
b3170,0.778504654
b3018,0.58365725
b2689,0.464744035
b1317,-1.669261584
b2949,0.225174346
b2279,0.497802048
b0189,0.01764628
b1097,0.388231612
b3127,-1.824587293
b1267,0.18148788
b2487,-0.665050857
b3785,0.014560594
b2515,0.061744459
b0353,-0.309638201
b3605,-0.337171789
b3446,-0.382159998
b0367,-0.57528872
b1826,0.488914269
b0101,0.063712072
b1622,0.25060519
b3905,-0.826442329
b0091,0.177069262
b0797,0.411811959
b0574,-0.576672898
b1107,0.244133008
b3026,-0.266095136
b2577,-0.238809828
b2663,-0.981196463
b2828,0.347721065
b3636,1.120564207
b0889,0.008424034
b4037,1.046094952
b2156,1.400748077
b0436,0.526748477
b2291,0.376689154
b3752,0.036073597
b4674,-3.704377858
b1296,-0.09976599
b3349,0.422338068
b1892,0.902281155
b2652,-2.650070423
b1175,-0.202128408
b2709,-0.532489557
b4136,-0.069850433
b0481,0.451741165
b4567,-0.271660655
b3549,-0.000281724
b2360,-1.075375287
b2362,-0.94812021
b3330,-0.355187766
b4144,-0.05504525
b1535,0.240855334
b3274,-1.26094056
b3736,0.905998358
b3097,0.031451892
b3386,0.125617313
b1150,-2.043588922
b1672,-0.320622266
b3169,0.516385953
b4636,-1.285303712
b0811,1.434523566
b1484,-0.893934677
b1015,0.575584356
b3193,0.223415496
b3650,0.091447749
b4077,-0.502345115
b1818,-0.343401531
b0760,-0.303131439
b0923,0.218452813
b0517,-1.118941355
b2324,0.138607369
b3733,0.531347072
b1122,-0.131384915
b4460,-0.583339154
b3656,-0.673161364
b1236,0.177800309
b0998,-0.641355784
b1634,-0.641266831
b1277,0.221495354
b0990,0.340321509
b2083,-0.401053776
b4409,0.315237046
b2509,0.480506383
b3404,-0.106700599
b0833,0.476866684
b2629,-0.276580649
b0983,-0.364255031
b1485,-0.454801683
b1613,0.027205377
b3653,-0.035341494
b0424,-0.181871928
b4352,0.180105106
b4486,-0.324557161
b0188,0.224053908
b2733,0.289795442
b0493,-0.169320053
b4692,-1.220357853
b1263,-0.142427893
b1567,-1.153471878
b1698,-0.66816274
b2807,0.418809455
b3723,-1.180663106
b4059,0.139951467
b0170,0.556503081
b3282,0.095244151
b2093,-0.322592541
b3514,-0.177147973
b2422,1.126896639
b4331,-0.153593316
b1844,0.406980641
b0342,-0.626556679
b4368,-0.558899888
b1587,-0.6584232
b0357,0.06813384
b3051,-0.453340493
b3298,0.787105324
b2446,-0.264318495
b0759,-0.375131194
b3219,11.43354125
b2008,-0.165504174
b2159,-0.021645808
b3801,-0.33537167
b0433,0.42690606
b2818,1.8425009
b4314,-0.253882207
b4169,0.219998572
b1581,-0.629850624
b0942,-0.308036346
b1343,0.230704007
b3089,-1.331824359
b3532,-0.238203712
b1703,0.003463897
b2097,-0.354976098
b1076,1.461785262
b2437,-0.555993541
b2506,-0.063701972
b1641,-0.246672764
b3132,-0.764473474
b0039,-0.224381038
b3779,0.059804532
b2893,0.417495035
b3912,0.145442025
b2200,0.153162462
b0120,0.807098028
b0515,-0.428518675
b0734,-0.141084725
b0726,1.426820885
b2493,0.614132469
b4312,-0.399993298
b1009,-1.497983939
b1176,0.202827386
b2485,-0.791459471
b1242,-0.200701022
b3050,-0.599783918
b3256,0.314752632
b2263,0.73160523
b3564,0.151486328
b1256,0.507604567
b4361,0.193673118
b4603,-2.875241198
b2240,-1.952367319
b3124,-0.431707792
b2637,-0.411861546
b0403,0.259586316
b0400,-0.352267073
b0765,0.103172956
b2284,0.129916283
b2463,0.227662229
b0728,1.852768152
b0838,0.105740647
b2237,0.824177598
b2533,3.143540747
b4340,-0.007724779
b0169,0.546648777
b2395,-0.268649784
b2646,-0.1840839
b2069,0.247076847
b0206,-1.299931097
b3933,0.630755646
b1714,0.58317235
b1117,-0.048857326
b0776,0.088098561
b2610,0.290597102
b4633,-0.213787635
b4297,-0.456346181
b4476,-0.637212946
b0636,1.073364534
b3795,0.425738422
b4154,-0.234590052
b1233,0.398148748
b3232,0.426127337
b3812,0.306821291
b3481,0.82681225
b0026,0.108068085
b2058,-0.20523236
b4565,-1.051823638
b1308,-0.052228361
b0472,0.453336195
b2808,0.445182833
b3449,0.222126572
b4631,-0.444996891
b1654,0.512354009
b0860,1.344030476
b2588,-2.929366104
b1038,-0.652839041
b0592,0.65363652
b4646,-0.288482205
b4427,-2.828144114
b2594,0.428206113
b0236,-0.76874272
b3057,0.269882637
b3308,0.784582561
b1825,0.516104476
b2280,0.341278501
b4550,0.27393864
b4022,0.288733119
b3637,0.913582041
b3502,-0.512359414
b2532,0.422630977
b0909,-0.083653319
b2511,0.248795164
b2188,0.228842784
b0529,0.578608486
b3123,-0.326905239
b3807,0.833974478
b0907,0.438928087
b2095,-0.275026168
b2645,-1.253960704
b3375,0.569676866
b3134,-0.854112413
b4266,-0.618213735
b0611,0.431935813
b2976,0.194339479
b3802,-0.238034569
b3731,0.483945761
b2720,-0.632751929
b0729,1.743168405
b1746,-0.519447563
b3452,-1.098403307
b3480,-0.431443768
b4449,1.14635386
b0396,-0.137359718
b3524,-0.47238452
b0119,-0.595847529
b1658,0.824914756
b2377,-0.388105188
b3259,0.613364383
b0306,-0.166520596
b3385,0.208595787
b1960,0.28396624
b0305,-1.049310553
b1907,0.41516872
b3407,0.141837915
b1671,-0.131197319
b1268,0.247326453
b2916,0.660117998
b1063,0.119339547
b2051,-0.639742503
b3297,0.903999512
b3508,0.278774917
b3595,-0.194611485
b1748,0.285899029
b3337,0.236022154
b1067,-0.192140854
b4588,-1.023479287
b1578,-0.52406936
b2751,0.656874125
b3264,-0.240812018
b2886,-0.388711105
b1936,0.011106571
b0683,0.490507204
b2153,1.842066383
b2747,0.36194343
b0095,0.114303794
b1171,0.424912651
b2904,4.53206878
b3764,0.414564593
b2738,-0.843468797
b1660,0.068034233
b0031,1.403746357
b3735,0.770893468
b4420,0.235678616
b4441,0.978918
b2587,0.368437181
b0411,-0.019601801
b1186,0.273530849
b2134,0.463656353
b2323,1.037633031
b2992,-0.140043362
b1981,-0.290585727
b2750,0.868407909
b2546,-0.575017999
b0826,-0.065011449
b1500,1.117393178
b3390,0.595857201
b0610,0.539820859
b4117,-0.619965345
b2249,0.111127933
b0048,0.776060888
b2702,-1.716682133
b3049,0.124148058
b1764,-0.079868374
b1968,-0.778149025
b4624,-0.056234504
b3604,-0.059666238
b3996,0.317699793
b1441,-0.604904032
b3067,0.256482003
b0073,-0.439677913
b4685,0.738387799
b0803,0.397984804
b4138,-0.31887919
b2149,0.023580933
b0870,-0.056241115
b3307,0.855081995
b1650,0.009373127
b0633,0.575821918
b1633,-0.082324374
b4337,-0.044553636
b2544,-0.600764338
b3746,-0.290660172
b2387,-0.832236289
b0808,-0.255146704
b1249,0.217143922
b3231,0.99330109
b2390,0.747597114
b2801,-0.927705241
b1778,0.512696614
b1259,-1.434795206
b4705,-0.408373098
b0911,0.753811917
b1597,-1.215289975
b0960,0.264208639
b2005,-0.693440172
b3813,-0.115148293
b1033,0.078929921
b4414,0.683788849
b0552,0.258244053
b1700,-0.70274137
b0077,0.15551072
b1276,0.19767034
b2003,-0.822313765
b4438,0.188335926
b3345,0.414987086
b0455,0.970714333
b0372,-0.138109607
b3469,0.983235109
b0722,1.572865707
b2374,-0.298702804
b4123,-0.591867929
b1708,0.505032917
b3751,0.033147278
b3929,0.071170712
b4360,0.53196992
b2774,-1.959752141
b3986,0.792296814
b3708,-0.350517845
b4389,0.228891938
b2550,-0.349997409
b2349,-0.015898499
b1806,0.243349445
b3101,-0.585062132
b0366,-0.787178943
b4065,0.243955778
b2755,-0.342817056
b3856,0.028901134
b1599,-0.162719661
b1927,0.116844106
b4466,-0.789181692
b0912,-0.151437698
b1473,-0.074677209
b1331,0.383898647
b0426,0.286651131
b2055,-0.591014488
b0356,-0.017288328
b1307,0.384832492
b1674,0.352427672
b0591,0.516368558
b4533,-1.065575589
b4088,-0.338943891
b1737,-0.550130231
b4639,-0.23694045
b1430,0.013724235
b4683,-2.758681232
b0606,-0.331660227
b0750,0.867683683
b0905,0.734858117
b2955,-0.190339248
b4558,0.399434999
b3809,0.525299342
b1514,-1.280985969
b2292,-0.181625053
b2847,-0.339863799
b4406,0.014392167
b0398,0.058915487
b2762,1.267255967
b2106,0.319365614
b1515,-0.801665807
b4219,-0.29580218
b3874,-0.574596148
b0994,-1.02565388
b2580,0.031225266
b0810,0.922787414
b1003,-0.672271813
b4062,0.367568876
b0825,0.287918181
b1891,0.685158977
b2982,0.378025818
b1548,-0.727279649
b2285,0.11927612
b1221,-0.323480063
b4400,-0.212400782
b3070,0.399737215
b4520,-0.796406839
b0379,0.659600552
b1501,0.147436886
b2333,-0.955987459
b1086,0.802838894
b1722,1.295661461
b3162,0.133995709
b0865,-0.116915224
b0981,-0.248841261
b3054,0.225627317
b2697,0.31890692
b3895,0.189460593
b0898,2.166507814
b2328,0.088411521
b3551,-0.117829822
b1788,0.354340514
b0300,-0.457978004
b1004,-0.60413242
b2043,-0.204054813
b0969,0.246985176
b3500,-0.144317614
b0854,1.257896008
b1373,-0.496716625
b1282,1.369889575
b2264,0.159471133
b3923,-0.518437853
b3957,0.917381485
b4258,0.244878536
b3819,0.176191763
b1982,-0.281073202
b0259,0.274059738
b4488,0.679206595
b4076,-0.665165919
b2812,0.787944091
b3287,0.286266397
b0413,0.285030042
b0071,-0.675214943
b3617,-0.543556616
b4373,0.812163681
b2746,0.26915471
b2261,0.116110297
b2827,0.121751981
b1223,-0.320515546
b2514,0.301763635
b3938,0.465121735
b0363,-0.79899494
b0720,0.937657305
b4299,-1.376351717
b4637,0.563176588
b2382,-0.330031587
b0656,0.486042475
b2388,0.155241583
b0557,0.301159617
b0004,0.499548755
b3272,-1.152232682
b3031,0.084128819
b1819,-0.344507757
b1779,-0.042446789
b2041,0.393609366
b0465,0.077415933
b1969,0.131167918
b4669,0.982072829
b1847,0.867145387
b0650,-0.496211848
b2749,0.561014063
b0111,-0.138028738
b2817,0.866217968
b2911,-0.109349325
b0882,-0.376983831
b3772,0.067161689
b4372,0.888614333
b0599,-0.391359494
b0035,-0.441864978
b0892,-0.013551097
b1275,0.018827866
b3645,-0.239134419
b4235,0.200904409
b2565,0.500916592
b3011,-2.72266969
b1555,-0.767609356
b1234,0.102755694
b0130,-0.007419622
b4096,-0.142002818
b1301,-0.880503374
b3434,0.147619518
b3191,0.193768462
b0752,0.223646487
b1521,-0.831280176
b2555,0.171318308
b0420,0.398697734
b1315,-0.422039575
b1859,-1.655614843
b0115,1.004103209
b1164,-0.2337406
b4112,-0.227364221
b4261,0.496786133
b4069,0.609022268
b0252,-0.054917098
b2548,-0.91851491
b4355,-0.37712303
b3022,0.154529099
b1325,-0.174419006
b0908,0.156336125
b4032,0.638085674
b3922,-0.434252077
b0894,-0.546279834
b2924,-0.067714693
b3945,-0.832160424
b2166,-1.160653731
b4362,0.421185496
b0971,-0.359826312
b3056,0.091112586
b1496,-0.925534647
b1719,0.017465649
b3220,12.56912234
b3988,0.347633099
b3883,-0.419365652
b1027,-0.63417265
b1172,0.255936061
b3546,0.069258091
b3791,-0.004761669
b3800,-0.62826884
b1878,0.077788623
b0989,0.187866378
b0569,-0.620543723
b2599,-0.398999739
b4262,0.067901008
b0053,0.457081925
b0431,1.224352365
b1463,0.581181535
b2124,0.460459707
b1619,-0.61412378
b2821,0.265331499
b0844,-0.139994538
b4085,-0.779442832
b4001,-0.045943171
b0872,-0.043251871
b0382,0.485541966
b3029,-0.081919365
b1890,-0.095493998
b3585,-0.501623837
b0269,-0.373941226
b1777,0.647387053
b2217,0.21402621
b1865,0.294730391
b3352,0.037292268
b2251,0.334001878
b2363,-0.243655044
b3940,0.171959586
b0639,0.216619412
b2009,-0.155309779
b4510,0.205947971
b3889,-1.353366588
b4680,1.92095741
b0072,-0.540158155
b4702,0.9686243
b3040,0.370156155
b2022,-0.091798243
b3209,-0.138731026
b4383,-0.118684973
b3963,0.369028434
b4412,0.030041016
b1402,-0.48405697
b2310,1.112611069
b4015,1.506288618
b1924,-0.133995671
b0706,-0.871092722
b4402,0.146390504
b1163,0.507729015
b1394,-1.01128421
b2392,-0.427614545
b3197,0.213271815
b4303,-0.139462303
b0214,0.528526635
b1596,-0.510967526
b4225,-0.67081961
b0129,-0.930194066
b2867,-0.430672121
b3597,-0.098032031
b1208,0.563298554
b0160,0.1541982
b0506,0.348972
b3567,-0.248893024
b2829,0.167985535
b1304,1.082072971
b2787,-0.508524826
b0757,-0.184287451
b0076,-0.019325237
b1664,0.034461434
b0735,-0.052009471
b0627,0.536990666
b3655,0.073885661
b4203,1.088934229
b0327,-0.993719804
b2568,0.58580733
b4063,-0.32506504
b2308,0.852397811
b4242,0.656618539
b2642,-0.168058197
b1190,0.022733336
b1333,-0.520131173
b1972,-0.385580905
b2079,0.295128522
b3687,-0.340559327
b2763,0.565424528
b3600,-0.058366536
b2523,0.242723691
b1218,0.017023235
b4134,-0.775018069
b3094,0.442962026
b3565,-0.411580131
b3824,1.128135946
b2098,-0.489367968
b4479,-0.18908522
b0164,-0.173469948
b1361,-0.830958121
b4050,1.054290497
b1829,0.462489666
b4244,1.509834838
b0331,0.3332993
b2513,0.24004662
b3102,-0.310133873
b0653,0.225959193
b0658,0.148132143
b1183,0.267486285
b4055,-0.100086682
b0635,0.51208117
b0955,0.038366691
b2530,0.304917464
b0113,0.728666917
b1569,-0.75973791
b0578,0.229536834
b1120,0.06866649
b1356,0.51789751
b1522,0.013627074
b2624,-0.737368606
b2543,-0.219697064
b1740,-0.198350225
b3055,0.662729209
b1077,1.200948005
b4109,-0.208690814
b1137,0.121214493
b4115,-0.617731723
b0183,0.423596422
b1138,0.365970043
b2507,1.074048914
b2571,0.476233257
b4315,-0.014573637
b3739,1.327165584
b2631,0.079956299
b1046,-0.465733993
b2423,0.57046679
b3909,-0.467687978
b2353,-0.154949109
b2172,-0.123710786
b1811,0.18565794
b2975,-0.071927738
b2756,-0.504108092
b0800,-0.227895984
b1450,-0.329472331
b1635,0.163864069
b0799,-0.025524877
b0351,-0.180435246
b4632,-0.365779832
b3700,0.780817198
b3614,0.400646984
b1098,0.361710556
b2170,0.134087776
b3255,0.455990459
b0541,-0.108907676
b2609,0.71464773
b3660,0.220489853
b1280,0.201307181
b4129,-0.306298302
b2101,0.662931845
b2825,-0.38182059
b1556,-0.778689285
b1302,-0.500385482
b1520,0.033561492
b0850,0.677972749
b0692,-0.493159986
b1349,-0.566346207
b3717,-0.025580625
b1197,-0.495618047
b4230,-0.680411482
b4585,0.135661969
b1359,-0.55468011
b2962,0.157224055
b2685,0.802224069
b1329,-0.166551968
b2538,0.366372859
b1007,-1.123410191
b1959,1.248783774
b0710,-0.079846606
b2176,0.213207678
b0471,0.271249759
b2926,0.453152601
b2146,-0.839911426
b3074,-0.586245615
b4011,0.158304597
b0682,-0.266124116
b4598,0.444394403
b1480,-0.331361462
b2678,-0.868437752
b4251,-0.098475711
b0689,-0.110065182
b1448,0.012781408
b1512,-0.992925609
b3250,0.554024514
b0286,-0.591580809
b0921,0.443147834
b4485,-1.091681504
b0631,0.20171756
b1261,-0.152855902
b3740,0.569024946
b2348,-0.933303672
b0428,1.149657596
b0308,-0.199591735
b2298,-0.644057883
b2570,0.457350637
b1595,-0.436892541
b1334,0.443657131
b1773,-0.664512917
b3252,0.155234928
b1991,-0.029692879
b1821,0.167631583
b4366,0.297624104
b0761,0.145773408
b3131,0.469094402
b2461,-1.307392663
b0953,-0.370616306
b0152,0.269374194
b0457,-0.257175432
b1237,0.104034325
b4397,0.386768882
b0742,0.837846134
b0285,-1.172702151
b3060,-0.207568495
b1858,-1.487283784
b2505,-0.475087661
b0084,0.269958156
b3175,1.382808996
b4704,0.499252117
b0777,-0.206154336
b4654,-0.388724005
b0036,-0.262875772
b0514,-0.183713667
b1262,0.086130396
b1780,0.326256979
b1092,0.56344572
b3409,-0.498734284
b0132,0.2935892
b0841,0.536401872
b0556,0.004497982
b4004,0.039512682
b4245,2.071589261
b0253,-0.413956446
b2805,0.139942636
b4205,-0.237167122
b0027,0.149167135
b3025,0.135302162
b1669,-0.705239125
b3492,0.227299428
b4590,-1.833241855
b4445,-0.432059276
b2921,-0.571709971
b4044,-0.051802099
b2837,0.137205434
b0190,0.224050432
b2094,-0.311319071
b3594,-0.057422814
b2909,0.264379656
b3663,0.174731185
b1983,0.2489793
b3632,0.180771489
b4172,0.176899169
b1786,-0.405195601
b0762,0.292211322
b2562,0.879161236
b2989,-0.363599167
b1993,0.387817374
b1447,-0.149060001
b4346,-0.473650639
b4432,-0.082859841
b2196,-0.246103816
b0204,0.494080697
b2089,-0.233636552
b4398,0.306245687
b1580,-0.26116396
b0361,-0.514495034
b0676,-0.114762401
b3212,0.417360272
b1124,0.750850561
b2195,-0.232375774
b2023,-0.050517697
b0273,1.439665449
b2141,0.398011858
b4421,-0.503324449
b3440,-0.113655744
b2832,0.307559538
b1863,0.424100433
b1869,0.103577263
b0387,0.147738365
b2012,0.771826674
b4009,0.790751506
b3005,0.338870156
b1332,0.982148021
b1709,0.064262043
b2619,0.575421887
b3758,0.941435803
b1943,0.284365808
b3161,0.167533561
b1271,0.15612307
b1727,0.6212281
b3085,-0.038702898
b2993,-0.134182148
b3335,-0.214992865
b1414,0.231778187
b4410,0.838526532
b3521,-0.395026132
b4643,-0.464004962
b3260,0.863490785
b3485,0.307320599
b3970,1.06796367
b3854,0.765844526
b1134,0.444192763
b4149,0.198411312
b4218,0.245211587
b0376,0.430011126
b4324,0.217212032
b0973,-0.768587457
b1644,-0.37599107
b3956,0.337162497
b2757,-0.309604578
b1542,-0.472318455
b0110,0.131689485
b1083,0.560949326
b0915,0.431101035
b2572,0.417900259
b4658,-0.017818289
b2281,0.256974864
b3527,0.303166274
b0730,0.299321094
b2719,-0.394860261
b3592,0.694131495
b0775,0.640377906
b3275,0.564899534
b4024,0.749927997
b1607,0.916225614
b4553,0.455548919
b3188,-0.124103865
b1062,1.960204092
b2589,0.599777966
b3638,0.327302838
b0264,-0.05703932
b2608,0.633348436
b3915,0.176884767
b0975,-0.504957886
b1950,0.390054007
b1238,0.655888106
b3619,-0.05609202
b2415,0.428922255
b4264,-0.151208911
b4212,0.452205979
b0425,-0.059064222
b1339,0.30196187
b1032,-0.299889576
b0490,0.197972373
b0082,-0.020409035
b2429,-0.504845021
b0577,0.177717284
b0780,0.173340199
b2715,-0.148100398
b0184,0.586964425
b2896,0.228439518
b0212,-0.215034087
b1498,-1.009622131
b1772,-0.392155693
b1994,0.41849408
b3239,-0.20273082
b3906,-0.882054221
b1689,-1.317026103
b3820,0.548093169
b3399,0.189682887
b4521,0.039503359
b0311,-0.542562806
b1648,-0.088838873
b0244,0.235277125
b2840,0.427856783
b1711,0.416331283
b4166,0.464189592
b2364,-0.482901728
b1745,-0.561318505
b1879,0.335939733
b2140,0.682664275
b2302,0.475822762
b4302,-0.472458622
b3458,-0.883079648
b2615,0.366898997
b3093,-0.623547137
b1292,-0.078917467
b4464,-0.474167747
b1094,0.34352717
b1000,-0.273264817
b1513,-1.583730425
b1963,0.157046784
b4321,-0.568870861
b2462,-1.238605704
b1589,-0.753989651
b0976,-1.015488728
b3676,-0.067929061
b2111,-0.731779904
b2614,0.065201562
b4655,-0.31635293
b2502,-0.292284086
b2901,-0.184608006
b3494,-0.499703521
b4513,-0.112993925
b0843,-0.175391622
b1475,-0.513562404
b4676,0.371261683
b2380,-0.135345398
b3344,0.263717268
b1546,-0.646865209
b2843,-0.066248609
b0723,1.767419157
b3071,-0.345497007
b4282,-0.357840138
b3213,0.201617997
b1199,-0.182940767
b1731,0.609617219
b1159,0.023204186
b0051,0.352325399
b3354,0.330943844
b1300,-0.49873365
b1688,-0.050544987
b1630,0.893377269
b3715,0.312042063
b3306,0.856056211
b4156,-0.617739365
b0349,0.154335168
b1191,-0.123282369
b1494,-0.371796328
b0665,0.926618895
b3412,0.522889822
b4599,-0.277880111
b1379,0.931243027
b2638,0.082058517
b3184,0.61693213
b1877,0.262153732
b1602,0.183214492
b1508,-0.267691388
b1921,0.512783054
b0239,-0.043000718
b4606,-0.608719232
b4119,-0.867263798
b4176,0.191357243
b1141,-0.33444824
b1803,-0.333045106
b4544,-0.195219851
b1914,0.583131742
b4263,-0.119123783
b0906,-0.219455607
b4554,-0.300850489
b2282,0.15387682
b1947,0.181817377
b2164,-0.407519828
b4061,-0.320440737
b4179,-0.22701929
b0146,-0.217243891
b0177,0.218863317
b1912,0.371569095
b1155,-0.633325287
b3977,1.703660762
b2598,-0.023685063
b3755,-0.189183311
b4133,-0.548254471
b2826,-0.431331945
b0593,1.143437676
b1717,0.509347722
b4002,-0.34113051
b4114,-0.541251455
b1598,-0.549785733
b2471,-0.245566573
b3930,0.798393746
b0537,0.110755512
b0019,0.30516596
b0944,0.2177506
b3289,-0.173058314
b1140,-0.292646497
b2123,-0.131505837
b3868,0.806466986
b1915,1.017553644
b2681,0.163140179
b2510,0.027049593
b2021,-0.281141852
b3152,0.229406543
b3177,0.174272005
b3670,-0.041083113
b2497,3.189496711
b0813,-0.028295521
b0098,0.07297881
