Blattner,Log2FC(pdxBJ/WT_20nM PN)
b4394,-0.06838001
b0417,-1.111446056
b2518,-0.553464142
b3573,-1.521585939
b1148,1.106589682
b0354,-0.271053457
b2133,-0.496415922
b4162,-0.69471892
b0766,0.3018498
b1701,0.906376937
b0615,-0.080799477
b2874,0.054463126
b3269,0.701645753
b1774,-0.416690295
b0741,-0.975271023
b1759,0.547503289
b2479,0.481629825
b1323,-0.413040806
b2883,0.304370818
b0068,-0.094704228
b2205,-0.04137372
b2721,-0.649039252
b3574,0.330721187
b1817,-0.828661925
b0629,0.294963072
b1670,1.158300504
b2937,-1.01660397
b1318,-0.063722828
b4253,-0.090903527
b1900,0.947691239
b4043,-0.497159559
b2202,-1.044322126
b1454,0.962376737
b1467,1.382440274
b2343,-1.795830717
b3667,0.690191818
b4653,0.197459067
b0234,0.83033354
b4173,0.134505648
b4713,-0.154611429
b2412,-0.388877323
b1838,1.118219209
b2641,1.284180523
b3472,-1.258537496
b4678,-0.070464393
b0933,-0.174672082
b4623,0.959662799
b3747,-0.712691658
b1538,0.065635208
b4634,1.121765838
b0717,1.304265843
b3438,-0.123666662
b4608,2.570408848
b1883,0.705957041
b0823,-0.137302613
b0696,0.671041649
b2726,-1.823412113
b4415,1.092626443
b1008,0.546106369
b4307,-1.271330942
b3400,-0.842556762
b2620,-0.727016873
b1695,1.601551781
b0926,1.072133153
b3531,0.405614486
b4502,-0.179096003
b4684,0.923437571
b3984,-1.966030663
b1227,0.625780202
b3529,-0.129038344
b4177,-0.843093709
b1274,-0.140329228
b1742,0.67227576
b0414,-0.877079971
b0727,0.288499612
b1570,0.264892316
b1985,1.15444135
b2209,0.080893253
b2611,0.01456069
b0175,0.049370021
G0-10738,1.175891769
b3771,1.497577768
b0834,0.877755083
b2231,-1.880732859
b3523,0.212847379
b2972,1.647706822
b0619,0.657595661
b1156,1.1663529
b1226,1.250328757
b3379,0.868859136
b2435,-0.088373106
b3971,-1.002058423
b0438,-0.455027369
b0237,-0.692710002
b3157,-2.040551381
b1561,0.504496959
b4295,-0.703846394
b0571,0.486561771
b0781,0.164721996
b2522,-0.272960766
b1006,0.355751481
b0719,0.347980353
b3541,-0.20653283
b0839,0.091210425
b2920,0.379710265
b3786,-0.484992109
b0788,1.551327953
b1857,1.108262836
b4296,1.139266467
b4014,1.136439144
b1754,-0.250602576
b0383,-0.004332312
b0642,-0.555999871
b3077,-0.415210926
b4265,0.917329402
b3726,0.197737962
b1041,1.528666222
b0660,-0.332222112
b4332,0.611387102
b3395,-0.180390979
b4329,-0.770131528
b1043,1.104669508
b1771,0.447326869
b1624,0.069379697
b1377,1.150414781
b0345,0.231143082
b4701,2.461489383
b2711,0.541159295
b0941,0.876766149
b1222,0.249287694
b0513,0.620852865
b2892,0.127360307
b0410,0.021129678
b3273,-1.703284605
b3309,-1.289293333
b0862,-1.007029883
b2365,0.534453532
b4481,-0.112041689
b3463,-0.629396393
b2092,-1.473767055
b1336,0.427254283
b1487,0.287442063
b3159,-0.697195199
b2512,-0.358107647
b3582,-0.044891209
b4601,-3.121972492
b0568,0.308640384
b3417,0.246445539
b3916,-0.880546058
b0246,0.098957171
b2940,-0.768111336
b1125,-1.201785084
b3575,-0.285590584
b3934,-0.066166249
b4199,0.785473409
b4580,1.389750326
b1093,-0.527425024
b2780,-0.059262736
b3279,0.085364829
b0553,-0.896064281
b1753,-0.130920194
b2761,-0.121071057
b2293,0.602097001
b2131,0.663992475
b2157,-1.274312015
b1376,-0.87309138
b2632,0.576556597
b1346,0.087453925
b1617,-0.050841263
b2897,-0.789327031
b3346,0.357711787
b2906,-1.043250663
b2796,-0.364596348
b0008,-0.706678495
b0178,-0.247164417
b0545,0.294006041
b4122,-2.082383249
b2981,-0.410022862
b3540,-0.631368695
b0524,-0.256091912
b2960,-0.563331462
b1870,-0.103353981
b1466,0.974000006
b3850,-0.440632356
b1344,-0.422601888
b1593,-0.750629295
b1807,-1.037846266
b2186,-0.472657585
b1951,2.493659949
b2375,0.960391387
b1823,-0.208169167
b2445,0.711249688
b0792,0.313940328
b3211,-0.844789336
b4570,0.872974235
b1014,-0.252814011
b3958,-2.469643706
b2283,-0.360847356
b4079,-1.121948634
b2001,0.229374914
b4475,0.235437142
b1828,-0.374927268
b3048,0.471643267
b3140,0.33955909
b2908,-1.162798128
b3023,0.642228235
b1193,0.314384701
b4492,0.845634725
b1930,-1.505522842
b2297,-1.450523341
b3199,0.130847983
b4375,-0.713206363
b1789,-0.050317611
b2490,0.583230481
b2951,-0.061798881
b4086,-0.236785126
b4294,0.182880218
b3340,-1.232166635
b4459,0.056227097
b3972,-0.17924931
b3173,-0.301481516
b0205,1.09408505
b1794,0.176107016
b3803,-0.308648614
b4204,-0.164994981
b3262,-0.01262394
b1224,1.856219934
b4503,0.19908998
b4146,0.250154813
b3359,-2.190374199
b3647,-0.180099051
b2410,-0.556861277
b4477,0.20122147
b2623,-0.428637127
b1645,0.513768144
b2033,-0.048626049
b4356,0.04088466
b1747,0.131747096
b4576,0.10723967
b2459,0.846918065
b3732,-1.099283986
b4423,-0.127841526
b4392,-0.367691784
b3241,0.742997574
b3028,-0.102014929
b3734,-1.176597741
b4484,-0.086262469
b4019,-0.620108105
b3825,-0.031984252
b1105,0.207757368
b3559,-0.964134849
b1846,-0.566129315
b1871,-0.392098524
b2759,0.500724275
b4461,-0.33214742
b3658,0.220222304
b3724,0.160740608
b2603,0.426291048
b3020,-1.267659092
b0224,0.753046204
b3019,-0.858819527
b4648,0.426412456
b3338,0.434761852
b2965,-1.213476653
b3989,0.308042448
b2988,-0.826980783
b3451,0.157010863
b0365,1.676758132
b3310,-1.338688056
b1949,0.637554457
b4075,0.439391026
b0530,0.240249243
b1886,0.95723709
b2959,-0.519864799
b3499,-0.704100314
b1058,1.60667046
b0118,-1.006689874
b3092,0.07712984
b3098,0.305881256
b0621,-2.551568434
b0128,-0.144589777
b1255,-0.051545457
b0651,-0.879250281
b2044,1.266534553
b2257,0.479228225
b3099,0.207867171
b2966,-1.43660619
b3983,-1.905882556
b4033,-0.331511629
b3410,-1.217414978
b2625,1.847330282
b4224,-0.578254694
b3339,-1.333705773
b3447,0.264421209
b0963,-1.066436943
b2791,-0.119081983
b3170,-0.449668647
b3018,0.163720928
b2689,-0.155683949
b1317,0.644389144
b2949,0.488616116
b2279,0.194551687
b0189,-0.806164787
b1097,0.722684942
b3127,-1.397068997
b1267,-0.907387808
b2487,0.295214331
b3785,-0.615949671
b2515,-0.457262306
b0353,1.489477622
b3605,0.644968042
b3446,-0.299405546
b0367,1.424479923
b1826,0.412296105
b0101,-0.467960635
b1622,-0.570422781
b3905,0.115900976
b0091,0.071878632
b0797,-0.655784357
b0574,1.068738701
b1107,-0.524854238
b3026,0.587165918
b2577,-0.030968586
b2663,2.055747252
b2828,-0.149532852
b3636,-1.690771398
b0889,-0.293147439
b4037,-0.711977864
b2156,-2.147988187
b0436,-1.677139322
b2291,0.147265396
b3752,-1.119282135
b4674,0
b1296,0.540070391
b3349,-1.019018582
b1892,0.286970107
b2652,1.60413761
b1175,-0.841713983
b2709,0.19157083
b4136,-0.456968798
b0481,0.151237271
b4567,-1.308561592
b3549,0.115155679
b2360,0.298916852
b2362,1.371347205
b3330,0.664819267
b4144,-0.359004448
b1535,0.293918756
b3274,-1.368743213
b3736,-0.966719112
b3097,-0.309235558
b3386,-0.567183223
b1150,1.053825118
b1672,1.057286875
b3169,-0.812652633
b4636,1.71359049
b0811,-1.894967963
b1484,0.711854078
b1015,-0.22609428
b3193,-0.036616301
b3650,-0.605224467
b4077,-0.080455197
b1818,-0.981679875
b0760,1.213491981
b0923,-0.103346457
b0517,0.271814994
b2324,-0.03968279
b3733,-1.156857978
b1122,0.100616918
b4460,1.01114128
b3656,0.252835872
b1236,0.028235894
b0998,0.732318275
b1634,-1.425298091
b1277,-0.85955376
b0990,0.735537153
b2083,0.460596945
b4409,0.413321544
b2509,0.653091837
b3404,-0.348687325
b0833,1.670656945
b2629,0.846635681
b0983,0.836196259
b1485,0.463057089
b1613,-0.6706534
b3653,-0.549318929
b0424,-0.305969634
b4352,-0.563468561
b4486,1.413957041
b0188,0.202385503
b2733,-0.757425299
b0493,0.285907169
b4692,1.696781655
b1263,0.064000688
b1567,1.027030115
b1698,0.654375798
b2807,0.413224248
b3723,-0.609119266
b4059,-0.605447851
b0170,-1.670511083
b3282,0.527196447
b2093,-1.09782984
b3514,0.021076784
b2422,3.776657328
b4331,0.189921944
b1844,0.620815915
b0342,1.187974866
b4368,-1.004363023
b1587,-1.02351946
b0357,-0.342722841
b3051,-0.27016284
b3298,-0.906341846
b2446,0.7292308
b0759,-1.222147269
b3219,8.65072795
b2008,0.370314917
b2159,-0.645198341
b3801,0.448018206
b0433,-0.021205664
b2818,-2.121033747
b4314,1.017423654
b4169,0.122190485
b1581,0.670310534
b0942,1.179468599
b1343,-0.433564981
b3089,-0.80472439
b3532,0.013043343
b1703,-0.117682481
b2097,0.74111975
b1076,-0.278725529
b2437,0.311237722
b2506,0.437682894
b1641,-0.461908694
b3132,0.100469912
b0039,0.226975844
b3779,0.027914941
b2893,0.213688011
b3912,-0.13506148
b2200,-1.005359445
b0120,-1.028580307
b0515,1.137563944
b0734,-0.7772888
b0726,0.396132808
b2493,-0.068849812
b4312,0.595692378
b1009,-0.098898526
b1176,-0.268407042
b2485,0.123440219
b1242,0.613987446
b3050,-0.69495661
b3256,-0.888868103
b2263,-0.365149868
b3564,0.245260841
b1256,-1.241898447
b4361,0.257302573
b4603,0.919607646
b2240,-1.264041741
b3124,0.199415799
b2637,0.773068842
b0403,0.711574822
b0400,0.874687997
b0765,0.138210219
b2284,-0.63146687
b2463,-0.193268301
b0728,0.520653051
b0838,0.436214322
b2237,-0.107221735
b2533,-0.134863181
b4340,1.363217541
b0169,-1.577196319
b2395,-0.709953328
b2646,1.052826428
b2069,-0.737441475
b0206,1.606238642
b3933,0.011588255
b1714,-0.590185079
b1117,-0.893091137
b0776,3.029622396
b2610,-0.95380155
b4633,0.467871145
b4297,0.541883432
b4476,0.144331147
b0636,0.525246355
b3795,-0.389414191
b4154,-2.90630717
b1233,-0.092151416
b3232,-0.113620606
b3812,0.16330845
b3481,0.80554961
b0026,0.278034169
b2058,1.368127354
b4565,0.120456061
b1308,-1.299472417
b0472,-0.587139558
b2808,0.287990195
b3449,-0.363143979
b4631,0.906096234
b1654,-0.553567252
b0860,-2.97150947
b2588,-0.197085747
b1038,0.022423974
b0592,-0.121822304
b4646,0.387755949
b4427,1.961802793
b2594,0.001177716
b0236,0.96077343
b3057,0.504703891
b3308,-1.352990572
b1825,0.064219527
b2280,0.123419312
b4550,0.270786557
b4022,0.421400596
b3637,-1.630830108
b3502,0.171723816
b2532,-1.210411781
b0909,0.573644405
b2511,-0.563552522
b2188,-0.431665011
b0529,-0.805083707
b3123,-0.896281517
b3807,-0.040707647
b0907,-0.254090906
b2095,-0.659194109
b2645,0.754969139
b3375,-0.587654031
b3134,-0.024175132
b4266,0.68888245
b0611,-0.283316019
b2976,0.227236016
b3802,-0.728034063
b3731,-1.035984339
b2720,0.347146886
b0729,0.302641954
b1746,0.614416437
b3452,0.105842312
b3480,0.124430068
b4449,-0.526394873
b0396,0.508004074
b3524,0.889291355
b0119,-2.464433118
b1658,-0.692458753
b2377,-0.652010301
b3259,-0.201980904
b0306,-0.272338265
b3385,-0.442778026
b1960,-0.252821463
b0305,-0.079041026
b1907,0.495227562
b3407,-0.53259596
b1671,0.748154263
b1268,0.376942391
b2916,0.478419935
b1063,-0.336857731
b2051,1.777586164
b3297,-0.884562276
b3508,1.224835551
b3595,0.262844075
b1748,-0.498234362
b3337,0.77714129
b1067,-0.206094798
b4588,0.901632022
b1578,0.47187046
b2751,3.544837886
b3264,0.220545404
b2886,0.366776678
b1936,1.501611526
b0683,-0.453405105
b2153,0.235335361
b2747,-0.506367564
b0095,0.000142009
b1171,1.577187034
b2904,-0.122460593
b3764,-0.656705609
b2738,0.755046692
b1660,-0.250621
b0031,-1.040715993
b3735,-1.081739662
b4420,-0.02108313
b4441,0.728437796
b2587,-1.019263292
b0411,-0.912819205
b1186,-0.583048263
b2134,0.277382368
b2323,0.442818319
b2992,-0.088556336
b1981,0.076967754
b2750,4.299957654
b2546,0.815022407
b0826,-1.082441433
b1500,1.033697982
b3390,-0.136078205
b0610,0.026878755
b4117,0.288555377
b2249,-0.265713859
b0048,-0.24313614
b2702,-2.202277058
b3049,-0.142146548
b1764,-1.132546464
b1968,0.14358513
b4624,0.5033764
b3604,0.376050889
b3996,-0.08682027
b1441,0.459019695
b3067,-0.277107225
b0073,1.399781817
b4685,0.536243849
b0803,0.063124491
b4138,-0.735582955
b2149,-1.946331944
b0870,-0.38598594
b3307,-1.331142343
b1650,-0.159537358
b0633,0.194973484
b1633,-0.410796094
b4337,0.648904619
b2544,0.618773018
b3746,-1.249888073
b2387,0.143055975
b0808,0.837170425
b1249,0.248321
b3231,-1.294071088
b2390,-0.315326503
b2801,-1.666551099
b1778,-1.331306401
b1259,0.95869513
b4705,-0.674779481
b0911,-1.133623712
b1597,-5.583228129
b0960,-0.106749313
b2005,0.926728776
b3813,-0.307512072
b1033,0.059221698
b4414,-1.480224746
b0552,-0.744654173
b1700,1.033403568
b0077,-0.746925394
b1276,-0.107211989
b2003,0.88826401
b4438,-0.767296604
b3345,0.57192134
b0455,-0.667702671
b0372,0.607907287
b3469,-0.790545642
b0722,-0.880998241
b2374,0.580603815
b4123,-2.944689468
b1708,0.059366812
b3751,-1.393556625
b3929,-0.98733628
b4360,0.447765081
b2774,0.12705253
b3986,-1.166292599
b3708,-1.634452208
b4389,-0.366652899
b2550,0.288325394
b2349,0.506661768
b1806,0.270286026
b3101,0.269502091
b0366,1.129277046
b4065,0.068985522
b2755,0.858038548
b3856,0.76687159
b1599,0.263670606
b1927,0.245526096
b4466,0.544041453
b0912,0.207043329
b1473,-0.207765234
b1331,-0.736456202
b0426,-0.807884504
b2055,1.928380167
b0356,-0.131254959
b1307,1.815973157
b1674,-0.930653289
b0591,-0.224574237
b4533,0.325724569
b4088,-0.687665964
b1737,0.780855702
b4639,0.962637288
b1430,-0.182682171
b4683,1.494434602
b0606,-0.334209146
b0750,-0.574268093
b0905,-1.013670179
b2955,-0.075219936
b4558,-0.208225699
b3809,-0.034790089
b1514,0.64336597
b2292,-1.487887005
b2847,0.721824333
b4406,-0.807963529
b0398,-0.351141363
b2762,4.334018474
b2106,0.562440477
b1515,0.939104195
b4219,-0.048444655
b3874,0.454043081
b0994,-0.6494345
b2580,-0.679501954
b0810,-1.251022338
b1003,0.017512874
b4062,-1.924417829
b0825,0.152792526
b1891,-0.168128614
b2982,-0.726281335
b1548,0.99128118
b2285,-0.719761974
b1221,0.130026986
b4400,1.054878255
b3070,-0.957404236
b4520,-0.072785668
b0379,-0.632992047
b1501,0.883641815
b2333,0.709026801
b1086,0.246110325
b1722,0.571654655
b3162,-0.538742811
b0865,0.091914026
b0981,0.544951086
b3054,0.296395559
b2697,-0.986978706
b3895,-0.288608848
b0898,1.256038215
b2328,0.29440555
b3551,-0.575017135
b1788,0.174374451
b0300,0.797895197
b1004,-0.083320714
b2043,1.177457797
b0969,0.083754461
b3500,-0.9452496
b0854,-0.356331831
b1373,0.566355107
b1282,-0.711409268
b2264,-0.761706349
b3923,-0.459367013
b3957,-0.824590057
b4258,-0.416163046
b3819,-0.347156049
b1982,-0.092609327
b0259,-0.778153422
b4488,1.024351324
b4076,0.350217818
b2812,0.122831655
b3287,-0.577931537
b0413,-1.002077976
b0071,0.832806261
b3617,-0.746518611
b4373,0.303306951
b2746,-0.715392493
b2261,-0.902331387
b2827,-0.440729596
b1223,1.704269781
b2514,-0.295039585
b3938,-0.769917389
b0363,1.137972353
b0720,0.734094298
b4299,0.096008669
b4637,-0.337847556
b2382,0.336332528
b0656,-0.846721967
b2388,-0.240463585
b0557,-0.466918068
b0004,0.772097088
b3272,-1.680815853
b3031,-0.509525991
b1819,-1.069939187
b1779,-1.300922257
b2041,-0.204709273
b0465,-0.550764914
b1969,0.774656699
b4669,0.98455016
b1847,0.282491224
b0650,0.230770199
b2749,3.088784184
b0111,-0.60632921
b2817,0.23826991
b2911,-0.493057961
b0882,-0.328752899
b3772,1.335555256
b4372,-0.110940442
b0599,-0.001418716
b0035,0.396209865
b0892,-0.104026697
b1275,-0.421742629
b3645,-0.621981296
b4235,-0.524598254
b2565,-1.020210741
b3011,-4.452628625
b1555,1.123205999
b1234,0.303664303
b0130,0.653524312
b4096,-0.464379853
b1301,1.473726305
b3434,-1.032918952
b3191,-0.242577757
b0752,0.029424505
b1521,-0.238313164
b2555,0.252433474
b0420,-0.204554096
b1315,1.031335672
b1859,0.897518654
b0115,-0.341629386
b1164,1.852025328
b4112,-0.102932484
b4261,-0.094589072
b4069,-0.729062853
b0252,0.111561161
b2548,0.945787108
b4355,0.302381493
b3022,-0.182605282
b1325,0.044997551
b0908,-0.469286685
b4032,-0.18085512
b3922,-0.542000206
b0894,-1.759343112
b2924,1.571441853
b3945,-1.871293123
b2166,0.528147315
b4362,0.385467629
b0971,-0.558795134
b3056,-0.362983949
b1496,-1.005519841
b1719,-0.792678141
b3220,10.05985571
b3988,-0.705333042
b3883,-0.10572191
b1027,0.67307371
b1172,1.55796704
b3546,0.075463217
b3791,-0.986196734
b3800,-0.475523011
b1878,1.162946996
b0989,0.87249752
b0569,0.656078478
b2599,-0.123105573
b4262,-0.2801329
b0053,-0.331462716
b0431,-1.176193632
b1463,1.661605851
b2124,-0.347613444
b1619,1.668202675
b2821,0.287159353
b0844,0.338264135
b4085,0.125627875
b4001,0.068451528
b0872,-1.100277957
b0382,0.04696028
b3029,-0.417077109
b1890,0.971217176
b3585,-0.627375511
b0269,-0.545324494
b1777,-1.199798639
b2217,-0.846105174
b1865,-0.570541118
b3352,0.03434588
b2251,0.000738091
b2363,1.472018852
b3940,-0.371962573
b0639,0.36562158
b2009,0.066826479
b4510,-0.771252143
b3889,-0.042844768
b4680,0.462042584
b0072,1.121870403
b4702,0.126874124
b3040,0.290358968
b2022,-0.490459496
b3209,-1.004487042
b4383,-0.816943533
b3963,-0.349465371
b4412,-1.707918673
b1402,0.324356502
b2310,-1.402785291
b4015,0.589397494
b1924,0.992277507
b0706,-0.446229543
b4402,-0.945667927
b1163,0.149074344
b1394,0.641992296
b2392,-0.668399545
b3197,0.023651785
b4303,0.599925738
b0214,0.149160674
b1596,-0.343382462
b4225,-0.190632694
b0129,-1.366204681
b2867,0.645764727
b3597,0.327399873
b1208,-0.842958622
b0160,0.141466078
b0506,0.158640757
b3567,0.633342115
b2829,-0.182648409
b1304,1.261581206
b2787,0.366814048
b0757,-0.625174775
b0076,-0.121943937
b1664,-0.236485779
b0735,-0.603195124
b0627,-0.23818927
b3655,1.202358307
b4203,-1.41512765
b0327,-0.285361709
b2568,-0.011747946
b4063,-0.202453451
b2308,-1.231891382
b4242,-0.852843758
b2642,-0.289295637
b1190,0.038547642
b1333,-1.181307397
b1972,1.063858979
b2079,0.048744709
b3687,0.646909463
b2763,3.529042809
b3600,-0.596402331
b2523,-0.059144318
b1218,1.212943559
b4134,-0.072245808
b3094,-0.637418366
b3565,-0.199813562
b3824,0.027655368
b2098,0.090649154
b4479,-0.416562265
b0164,0.486424036
b1361,0.673563391
b4050,0.267824989
b1829,0.033313359
b4244,0.17946885
b0331,-0.302684637
b2513,-0.249170846
b3102,0.118325714
b0653,-0.831451294
b0658,0.131582013
b1183,0.943024915
b4055,-0.801525753
b0635,0.015732125
b0955,-0.812583519
b2530,-0.764995102
b0113,-0.061368597
b1569,0.702498069
b0578,-0.440391714
b1120,-0.632624295
b1356,0.839687805
b1522,0.62291375
b2624,0.765219564
b2543,0.270118625
b1740,0.268585129
b3055,0.817822536
b1077,-0.575020117
b4109,0.358588696
b1137,0.208459933
b4115,-0.377743508
b0183,0.674943628
b1138,0.291621767
b2507,-1.122018118
b2571,1.086660638
b4315,1.808280065
b3739,-0.057172435
b2631,0.341464974
b1046,0.366227916
b2423,3.531331548
b3909,-0.272291
b2353,0.637176991
b2172,-0.561707709
b1811,-0.193878574
b2975,0.889025923
b2756,0.700644011
b0800,-0.472611728
b1450,1.254058561
b1635,-0.082729814
b0799,-0.495409727
b0351,1.300359047
b4632,0.80857071
b3700,0.269091784
b3614,-0.11104928
b1098,0.439898387
b2170,0.056234788
b3255,-0.211128969
b0541,0.544098544
b2609,-1.441545998
b3660,0.299369868
b1280,0.117083742
b4129,-0.541512684
b2101,-0.001561132
b2825,-0.126378113
b1556,1.11889927
b1302,1.660929311
b1520,0.704706914
b0850,0.207231678
b0692,0.930685031
b1349,0.797812267
b3717,-0.0994678
b1197,0.358460119
b4230,0.534610169
b4585,0.760898672
b1359,0.804145534
b2962,-0.884133117
b2685,0.262031065
b1329,-0.270393024
b2538,1.347816428
b1007,0.171258577
b1959,0.161087556
b0710,0.171210569
b2176,0.747899516
b0471,-0.802744818
b2926,-0.442703566
b2146,-1.544781138
b3074,-0.758471689
b4011,0.503134524
b0682,0.017411501
b4598,1.307426637
b1480,0.442128982
b2678,-0.268822601
b4251,-0.332799345
b0689,0.37352146
b1448,1.131567757
b1512,-0.202087188
b3250,-0.343899667
b0286,1.031710643
b0921,-0.167273501
b4485,-0.018848663
b0631,0.478486787
b1261,-0.268282054
b3740,-0.060117429
b2348,0.703082962
b0428,-0.031704691
b0308,0.35508876
b2298,-1.033523614
b2570,1.20652885
b1595,0.738220449
b1334,-0.483098228
b1773,-0.113327686
b3252,0.041589262
b1991,1.001747281
b1821,-0.194666874
b4366,0.280268681
b0761,0.112460488
b3131,0.465027178
b2461,0.534735516
b0953,1.616345936
b0152,-0.392309506
b0457,0.318860179
b1237,-0.294028341
b4397,0.234186035
b0742,-0.389985706
b0285,0.860081643
b3060,-1.569812885
b1858,0.6218992
b2505,0.044300416
b0084,0.519611544
b3175,-0.319031375
b4704,0.842965582
b0777,2.363837402
b4654,0.627504418
b0036,0.952621422
b0514,0.689325028
b1262,0.253656373
b1780,-1.749185459
b1092,-0.776658489
b3409,-1.429930512
b0132,0.090965797
b0841,0.119810202
b0556,0.251448892
b4004,-0.349289136
b4245,0.171930794
b0253,0.277583682
b2805,-0.899196997
b4205,-0.374767952
b0027,0.433816119
b3025,0.500094547
b1669,0.864925016
b3492,-0.836960169
b4590,-0.984096951
b4445,0.722776347
b2921,-0.319581129
b4044,-0.672078584
b2837,-0.284497243
b0190,-0.437337975
b2094,-0.718854926
b3594,0.639364512
b2909,-1.014477467
b3663,-0.390031431
b1983,-1.099551219
b3632,-0.044816196
b4172,-0.659565685
b1786,0.174253811
b0762,0.570955361
b2562,0.347597759
b2989,-0.551385535
b1993,0.964947974
b1447,1.070859907
b4346,-0.862179605
b4432,0.314345688
b2196,-1.699978612
b0204,-1.118856459
b2089,0.276845715
b4398,0.360830775
b1580,0.567235996
b0361,0.367011204
b0676,-0.309031144
b3212,-0.326050415
b1124,-0.971312958
b2195,-2.183910664
b2023,-0.453122944
b0273,-2.68584926
b2141,-0.65934389
b4421,0.619876442
b3440,-0.508737968
b2832,-0.168659869
b1863,-0.344686747
b1869,-0.253578951
b0387,-0.319112795
b2012,1.690546388
b4009,-0.983803965
b3005,-0.927516162
b1332,-0.226351857
b1709,0.344949767
b2619,-0.261799588
b3758,-0.93419443
b1943,0.263132421
b3161,-0.369251857
b1271,0.078469794
b1727,-0.077574043
b3085,-0.088623119
b2993,0.018164891
b3335,0.14825197
b1414,-0.204364506
b4410,-0.101509944
b3521,0.277745004
b4643,0.742222627
b3260,-0.906901972
b3485,1.079554014
b3970,-0.861712392
b3854,-0.977528799
b1134,-0.111789849
b4149,0.246293731
b4218,0.340826629
b0376,0.588611794
b4324,-0.43651737
b0973,-0.373764726
b1644,0.584306393
b3956,-0.326217634
b2757,1.186624505
b1542,0.576012098
b0110,-0.449919617
b1083,0.454359003
b0915,-0.574017223
b2572,1.178983888
b4658,2.320100077
b2281,0.168503864
b3527,0.371610064
b0730,-0.825300484
b2719,0.073905084
b3592,0.66873629
b0775,3.429779434
b3275,-1.069794599
b4024,-1.522867347
b1607,0.676550472
b4553,1.404752535
b3188,-0.471834764
b1062,-0.234577119
b2589,-1.057899812
b3638,-0.633505654
b0264,0.397149981
b2608,-1.531903972
b3915,0.078518826
b0975,-0.16860677
b1950,-0.262676942
b1238,0.17103524
b3619,-1.280187152
b2415,-0.264455737
b4264,0.834022879
b4212,0.566398692
b0425,-0.749452921
b1339,-0.422568151
b1032,0.852441287
b0490,-0.342717657
b0082,-0.192772657
b2429,-0.359913327
b0577,0.211437977
b0780,0.452749058
b2715,0.95198383
b0184,-0.030525046
b2896,-0.596727493
b0212,0.372637502
b1498,-1.006657686
b1772,-0.536826917
b1994,-0.641339999
b3239,0.400590463
b3906,-0.701090842
b1689,-1.537978178
b3820,-0.736422415
b3399,-0.557577579
b4521,1.033349788
b0311,1.6154413
b1648,0.46372336
b0244,-0.126315185
b2840,0.762022314
b1711,-0.169690821
b4166,-0.550104349
b2364,-0.017804528
b1745,1.112941923
b1879,1.486406087
b2140,0.266979106
b2302,0.609322949
b4302,0.36490059
b3458,-2.063184915
b2615,0.271463178
b3093,0.351528452
b1292,0.2698811
b4464,0.37261337
b1094,-0.433239167
b1000,-0.500461832
b1513,-1.706818006
b1963,0.480374097
b4321,0.186473215
b2462,-0.103255671
b1589,-1.527012966
b0976,-0.099676869
b3676,-0.00587845
b2111,-1.875530188
b2614,-0.809017805
b4655,1.519170121
b2502,-0.544457934
b2901,-0.750207697
b3494,-0.366869131
b4513,1.287516073
b0843,0.320209062
b1475,-0.077549708
b4676,-0.329514271
b2380,-0.407037549
b3344,0.612609637
b1546,0.392250468
b2843,0.202286315
b0723,-0.938279705
b3071,-1.00221551
b4282,0.992632626
b3213,-0.647891288
b1199,-0.369213803
b1731,0.324138226
b1159,1.605399684
b0051,-0.102608299
b3354,0.359405504
b1300,1.482890507
b1688,0.236466844
b1630,0.046906976
b3715,0.269039518
b3306,-1.337024041
b4156,0.592996683
b0349,1.445261449
b1191,0.089793612
b1494,-0.749640903
b0665,-1.74547539
b3412,-0.369342818
b4599,0.345561239
b1379,-0.006581111
b2638,1.020162145
b3184,-0.549437595
b1877,1.257947426
b1602,-0.07225666
b1508,0.245036236
b1921,1.365287006
b0239,-1.048281655
b4606,-2.277788376
b4119,0.278510528
b4176,0.609224757
b1141,1.807608538
b1803,0.614104012
b4544,0.22903628
b1914,0.327803465
b4263,0.058003102
b0906,0.419988949
b4554,-0.271668738
b2282,-0.055792084
b1947,-0.19706021
b2164,0.864801974
b4061,-0.133169442
b4179,-0.86895381
b0146,-0.797966148
b0177,-0.293634366
b1912,0.189544627
b1155,0.260932035
b3977,-0.334795359
b2598,0.220695317
b3755,-1.035542448
b4133,-0.669759469
b2826,-0.428807329
b0593,-0.967737686
b1717,-0.759967627
b4002,-0.307051301
b4114,0.292700339
b1598,-0.138491343
b2471,-0.417003938
b3930,-0.154687448
b0537,0.299890109
b0019,0.294199891
b0944,0.902955569
b3289,-0.710259082
b1140,0.923014798
b2123,0.475307086
b3868,-1.494066262
b1915,-0.247479089
b2681,0.530936947
b2510,-0.043566886
b2021,-0.680712767
b3152,-0.266694099
b3177,-0.734383509
b3670,-0.316623359
b2497,0.04911622
b0813,-0.246077743
b0098,-0.911985057
b3397,0.470776469
b0085,0.327549775
b4384,-0.914781775
b3242,0.487224327
b3396,-0.271534576
b4170,-0.094123151
b2944,0.181540453
b1922,0.412331959
b0473,-1.349380112
b3775,-1.059636305
b3848,-0.72713902
b1676,-1.329086682
b2350,0.18190086
b2561,-0.27527814
b2575,0.002375046
b2991,0.003546696
b0542,1.40371787
b4369,-0.964218112
b0685,0.110690561
