Blattner,Log2FC(WT 5uM/20nM)
b0408,-0.315779534
b0920,-0.443726919
b1568,1.298054179
b2769,0.742025266
b2411,-0.325150747
b4394,-0.249583644
b0417,-0.379255976
b2518,-0.735578025
b3573,-0.553995487
b1148,1.275481488
b0354,-0.33670997
b2133,-0.276467335
b4162,-0.282894638
b0766,-0.336368649
b1701,0.578540214
b0615,0.922494878
b2874,0.339358977
b3269,0.669181169
b1774,0.765945711
b0741,-0.319707619
b1759,-0.335734764
b2479,-0.288909386
b1323,-0.308772944
b2883,0.306299912
b0068,-0.376130752
b2205,-1.017171818
b2721,0.521921295
b3574,-0.289400895
b1817,-0.284671034
b0629,0.529464918
b1670,0.547030425
b2937,-0.394356556
b1318,0.910011767
b4253,-0.316941311
b1900,0.411674439
b4043,-0.215081022
b2202,-0.676412398
b1454,0.415996568
b1467,0.492337111
b2343,-0.451806014
b3667,0.58497985
b4653,1.515113546
b0234,0.803662045
b4173,-0.210125601
b4713,1.501875307
b2412,-0.204146049
b1838,0.341621815
b2641,0.517717353
b3472,-0.27484156
b4678,-0.826997254
b0933,0.36070274
b4623,0.49678406
b3747,-0.248659046
b1538,-0.214988119
b4634,0.884737078
b0717,0.968059392
b3438,-0.238567305
b4608,2.190389428
b1883,0.545895781
b0823,0.36649753
b0696,0.523736511
b2726,-0.543526912
b4415,0.94926635
b1008,0.858218634
b4307,-0.365710522
b3400,-0.314470745
b2620,-0.195618186
b1695,0.635409249
b0926,-0.310567754
b3531,0.517075392
b4502,-0.335589063
b4684,1.798287989
b3984,-0.387210558
b1227,-0.749743732
b3529,-0.222393432
b4177,-0.466541094
b1274,-0.372193616
b1742,0.687105076
b0414,-0.271693447
b0727,-0.652343175
b1570,0.209692494
b1985,0.440630732
b2209,-0.441160495
b2611,-0.29992804
b0175,-0.311507612
G0-10738,0.456926911
b3771,-0.531466347
b0834,0.43957149
b2231,-0.382571878
b3523,-0.228485825
b2972,0.739397904
b0619,0.285184952
b1156,0.73001231
b1226,-0.795470215
b3379,0.520140949
b2435,-0.310914704
b3971,1.096965595
b0438,-0.221414704
b0237,-0.367792793
b3157,-0.395897988
b1561,0.482987186
b4295,-0.215538837
b0571,-0.515806066
b0781,-0.349162412
b2522,-0.344383367
b1006,0.365601525
b0719,1.117641695
b3541,-0.373829155
b0839,-0.261510372
b2920,0.551531722
b3786,-0.336263833
b0788,0.440424083
b1857,1.971297968
b4296,0.54781066
b4014,-0.241843055
b1754,-0.42594584
b0383,-0.320327788
b0642,-0.29421698
b3077,0.754593773
b4265,0.275245983
b3726,-0.259355379
b1041,0.599043057
b0660,-0.26609773
b4332,0.363928286
b3395,0.404448313
b4329,-0.38859292
b1043,0.881425066
b1771,0.356473687
b1624,-0.233926642
b1377,0.490041449
b0345,-0.302274612
b4701,1.846471734
b2711,0.59036683
b0941,0.471517198
b1222,-0.234139446
b0513,0.49505702
b2892,-0.253711689
b0410,-0.456387105
b3273,2.334393533
b3309,-0.315679207
b0862,-0.550363224
b2365,0.484452096
b4481,-0.203557819
b3463,-0.249432045
b2092,-0.334644212
b1336,0.454008779
b1487,0.838608344
b3159,-0.579971869
b2512,-0.335177336
b3582,0.724921723
b4601,1.350751805
b0568,0.308616356
b3417,-0.35406671
b3916,-0.642065924
b0246,0.42043456
b2940,-0.495911392
b1125,-0.605348358
b3575,0.845396174
b3934,-0.436857889
b4199,0.42202389
b4580,0.520808469
b1093,-0.202928879
b2780,-0.250199663
b3279,-0.255894989
b0553,-0.367509301
b1753,-0.415418594
b2761,0.442579979
b2293,-0.324991059
b2131,-0.296880722
b2157,-0.43385173
b1376,-0.364676217
b2632,0.607343669
b1346,0.946526264
b1617,0.361857003
b2897,-0.181683732
b3346,-0.236893562
b2906,-0.228626339
b2796,-0.528997149
b0008,-0.292181828
b0178,-0.194736582
b0545,0.273484287
b4122,-0.650586404
b2981,0.666741852
b3540,-0.310794159
b0524,-0.369471177
b2960,-0.264507675
b1870,-0.282447702
b1466,0.478104949
b3850,-0.237859866
b1344,-0.349517983
b1593,-0.640245927
b1807,-0.360932668
b2186,-0.267081515
b1951,0.499206412
b2375,0.944716093
b1823,-0.223272553
b2445,0.728042059
b0792,0.333541097
b3211,-0.503528136
b4570,0.771100492
b1014,-0.529493145
b3958,-0.714581182
b2283,-0.409352514
b4079,-0.54982719
b2001,0.367506353
b4475,0.277298152
b1828,0.591595454
b3048,0.644251976
b3140,0.785989576
b2908,-0.27626866
b3023,0.406925502
b1193,-0.266997627
b4492,0.216765554
b1930,-0.42384024
b2297,-0.527636146
b3199,-0.177152038
b4375,-0.575231933
b1789,-0.271105838
b2490,0.720897474
b2951,-0.296631286
b4086,0.516833605
b4294,0.313575583
b3340,-0.311646227
b4459,0.816501646
b3972,-0.280961049
b3173,0.347175447
b0205,1.17783823
b1794,-0.268735748
b3803,-0.273271159
b4204,0.63935299
b3262,0.735419965
b1224,-0.682335819
b4503,0.627248453
b4146,-0.283574956
b3359,-0.635435095
b3647,0.661135118
b2410,-0.251992419
b4477,0.758010761
b2623,0.27058359
b1645,0.253695188
b2033,-0.259096852
b4356,0.376291699
b1747,0.822831691
b4576,0.384245101
b2459,0.711312273
b3732,-0.279779244
b4423,-0.329735332
b4392,-0.225563397
b3241,0.350463314
b3028,-0.307395352
b3734,-0.303852075
b4484,-0.482376529
b4019,-0.298372851
b3825,-0.183434264
b1105,-0.28033204
b3559,-0.313391106
b1846,-0.232944614
b1871,-0.338686146
b2759,0.468916675
b4461,-0.254471003
b3658,1.239493189
b3724,-0.252379957
b2603,0.240821436
b3020,-0.228451377
b0224,-0.40484826
b3019,-0.369477147
b4648,1.213085647
b3338,0.330621006
b2965,-0.512621323
b3989,0.395800957
b2988,-0.218914031
b3451,0.486778228
b0365,1.442812985
b3310,-0.309663947
b1949,0.883026635
b4075,0.881194687
b0530,0.978659116
b1886,0.63996886
b2959,-0.278666067
b3499,-0.272288706
b1058,1.180804919
b0118,-0.387405736
b3092,-0.258116164
b3098,-0.257942511
b0621,-0.620101869
b0128,-0.227586304
b1255,-0.16429227
b0651,-0.332637776
b2044,0.405408097
b2257,0.306383309
b3099,-0.234445734
b2966,-0.466608691
b3983,-0.381491872
b4033,-0.557233331
b3410,-0.364843033
b2625,3.564157506
b4224,0.310521972
b3339,-0.275406323
b3447,-0.294741881
b0963,-0.212068831
b2791,-0.346469512
b3170,-0.313107881
b3018,-0.26996459
b2689,-0.195131689
b1317,1.090966584
b2949,-0.185364549
b2279,-0.434383467
b0189,-0.307910899
b1097,-0.20113135
b3127,0.895983277
b1267,-0.284347079
b2487,0.424161071
b3785,-0.269244562
b2515,-0.27711853
b0353,0.359347811
b3605,0.410750463
b3446,0.410590901
b0367,0.963207225
b1826,0.248685189
b0101,-0.295027809
b1622,-0.232113741
b3905,0.780040213
b0091,-0.224208416
b0797,-0.507047606
b0574,0.806908373
b1107,-0.207053252
b3026,0.31911377
b2577,0.293937878
b2663,0.407971719
b2828,-0.221897883
b3636,-0.422372593
b0889,-0.245092505
b4037,-0.400438626
b2156,-0.505324607
b0436,-0.368038066
b2291,-0.233436083
b3752,-0.276066181
b4674,5.751423875
b1296,0.357270581
b3349,-0.248333988
b1892,-0.541757217
b2652,2.315914923
b1175,-0.280118165
b2709,0.370982953
b4136,-0.183134204
b0481,-0.254832439
b4567,0.597844699
b3549,-0.211508259
b2360,0.57862583
b2362,0.663813526
b3330,0.909723376
b4144,-0.228406255
b1535,-0.258169552
b3274,1.201201543
b3736,-0.311864982
b3097,-0.259687992
b3386,-0.302322915
b1150,1.434392381
b1672,0.469333066
b3169,-0.341135312
b4636,1.23849191
b0811,-0.64116358
b1484,0.4992359
b1015,-0.290546575
b3193,-0.231711296
b3650,-0.25761971
b4077,-0.336945961
b1818,-0.297901575
b0760,-0.287505023
b0923,-0.239974473
b0517,0.887294739
b2324,-0.236070816
b3733,-0.284204285
b1122,0.760267588
b4460,0.377406553
b3656,0.360595098
b1236,-0.327967852
b0998,0.357263347
b1634,-0.43710206
b1277,-0.235139413
b0990,-0.365706569
b2083,0.559623976
b4409,-0.267633834
b2509,-0.362149736
b3404,-0.2227554
b0833,0.482617568
b2629,0.441791985
b0983,0.480653619
b1485,0.586517144
b1613,-0.343841849
b3653,-0.249529896
b0424,-0.272146056
b4352,-0.261630402
b4486,0.336735673
b0188,-0.214825123
b2733,-0.318977217
b0493,-0.243952383
b4692,0.874721356
b1263,-0.270954128
b1567,1.073323462
b1698,0.414658058
b2807,-0.224868351
b3723,1.309444795
b4059,-0.180169524
b0170,-0.260679958
b3282,-0.217951907
b2093,-0.306388255
b3514,0.346829686
b2422,0.998412542
b4331,0.270094593
b1844,-0.236702928
b0342,0.716268192
b4368,0.587370769
b1587,-0.521324806
b0357,-0.207126727
b3051,0.373521713
b3298,-0.237783069
b2446,0.481087576
b0759,-0.221939065
b3219,-3.061616383
b2008,-0.211268797
b2159,-0.314709789
b3801,0.374651085
b0433,-0.202172557
b2818,-0.921792699
b4314,-0.384553896
b4169,-0.180224687
b1581,0.523033351
b0942,0.41379012
b1343,-0.446012847
b3089,-0.231453335
b3532,0.47504149
b1703,-0.24469651
b2097,-0.297670524
b1076,-0.461415474
b2437,0.277810966
b2506,0.557037761
b1641,-0.211618235
b3132,0.712747606
b0039,0.30753271
b3779,-0.238138712
b2893,-0.273399112
b3912,-0.254902537
b2200,-0.578408443
b0120,-0.263793481
b0515,-0.303645732
b0734,-0.322259313
b0726,-0.44275178
b2493,-0.30111109
b4312,-0.401814368
b1009,1.184619646
b1176,-0.133548315
b2485,0.764804461
b1242,0.306043492
b3050,0.567848559
b3256,-0.3766864
b2263,-0.406821599
b3564,0.399698117
b1256,-0.507791269
b4361,-0.287642122
b4603,2.236153681
b2240,1.004915825
b3124,0.296040096
b2637,0.435764243
b0403,-0.159512567
b0400,0.386859167
b0765,-0.260749043
b2284,-0.3568504
b2463,-0.260796632
b0728,-0.662881095
b0838,-0.215638098
b2237,-0.23183169
b2533,-0.660623495
b4340,0.479367138
b0169,-0.253778076
b2395,-0.346610392
b2646,1.14989096
b2069,-0.581098338
b0206,0.934056032
b3933,-0.258280386
b1714,-0.416784279
b1117,-0.32685662
b0776,0.944216522
b2610,-0.225594577
b4633,0.415998648
b4297,0.21414955
b4476,0.337831828
b0636,-0.310409476
b3795,-0.254102133
b4154,-0.54807658
b1233,-0.203830765
b3232,-0.210016422
b3812,-0.24540045
b3481,-0.268824094
b0026,-0.268277634
b2058,0.634852778
b4565,0.494095569
b1308,-0.224508961
b0472,-0.265342
b2808,-0.19049832
b3449,-0.170122128
b4631,0.778730055
b1654,-0.257848683
b0860,-0.555599529
b2588,1.445530668
b1038,-0.305374182
b0592,-0.472539915
b4646,0.528294322
b4427,4.316184593
b2594,-0.31432008
b0236,0.52082183
b3057,-0.176433493
b3308,-0.314146055
b1825,0.24314518
b2280,-0.345332941
b4550,0.233169355
b4022,-0.216554049
b3637,-0.362884763
b3502,0.527868493
b2532,-0.218220681
b0909,0.449171594
b2511,-0.360572238
b2188,-0.212922153
b0529,-0.252141507
b3123,-0.400601279
b3807,-0.233646969
b0907,-0.321637451
b2095,-0.270002918
b2645,0.708849423
b3375,-0.22807432
b3134,0.611635403
b4266,0.339453742
b0611,-0.191866248
b2976,-0.355924201
b3802,-0.259728342
b3731,-0.244585853
b2720,0.608669615
b0729,-0.703570804
b1746,0.515247184
b3452,0.667592026
b3480,0.459159574
b4449,-0.390486446
b0396,0.244452009
b3524,0.235062427
b0119,0.28715518
b1658,-0.438055073
b2377,0.403011953
b3259,-0.299715467
b0306,-0.346372544
b3385,-0.22385231
b1960,-0.320315448
b0305,0.798784549
b1907,0.422417142
b3407,-0.354720846
b1671,0.387565071
b1268,0.248550664
b2916,-0.223800255
b1063,-0.189493834
b2051,0.588950153
b3297,-0.236442776
b3508,0.452180764
b3595,0.497104814
b1748,0.524107965
b3337,0.407778251
b1067,-0.21814548
b4588,1.052709
b1578,0.217067978
b2751,1.082026885
b3264,1.118279232
b2886,0.469932202
b1936,1.129191399
b0683,-0.237263637
b2153,-0.357308512
b2747,-0.232431074
b0095,-0.146563908
b1171,-0.390572708
b2904,-0.459880659
b3764,-0.366916678
b2738,0.474811782
b1660,-0.990736577
b0031,-0.385229665
b3735,-0.246002916
b4420,-0.353648088
b4441,1.06998107
b2587,-0.225650779
b0411,-0.319318869
b1186,-0.319728245
b2134,-0.228048649
b2323,-0.337102374
b2992,-0.348927775
b1981,-0.222305549
b2750,1.226917577
b2546,0.587106173
b0826,-0.259434017
b1500,1.60816839
b3390,-0.237052895
b0610,-0.37244656
b4117,0.42452942
b2249,-0.18938213
b0048,-0.4093061
b2702,0.617501068
b3049,-0.286783168
b1764,-0.172958653
b1968,0.367114763
b4624,0.391763326
b3604,0.423657526
b3996,-0.245227186
b1441,-0.458439696
b3067,-0.242377044
b0073,-0.383877587
b4685,-0.267504675
b0803,0.360774606
b4138,-0.247475471
b2149,-0.748773879
b0870,-0.251316966
b3307,-0.301642814
b1650,-0.282560286
b0633,-0.159617565
b1633,0.310885205
b4337,-0.383419666
b2544,0.305204466
b3746,-0.493272271
b2387,1.011416685
b0808,0.273771091
b1249,-0.23399985
b3231,-0.341734245
b2390,0.233309999
b2801,0.557413227
b1778,-0.29176422
b1259,0.38647314
b4705,0.463487264
b0911,-0.286604296
b1597,1.298122467
b0960,-0.31268787
b2005,0.554174321
b3813,-0.246696049
b1033,-0.227585581
b4414,-0.24996819
b0552,-0.360614271
b1700,0.780537479
b0077,-0.228271345
b1276,-0.279762928
b2003,0.408615869
b4438,-0.453523157
b3345,-0.257787449
b0455,0.893609574
b0372,0.22871077
b3469,-1.009381519
b0722,-0.421383114
b2374,0.631858406
b4123,-0.618798121
b1708,-0.19271114
b3751,-0.254527552
b3929,-0.266816621
b4360,-0.228988011
b2774,0.847997439
b3986,-0.220760806
b3708,-0.576697454
b4389,-0.310821115
b2550,0.261025733
b2349,0.354950004
b1806,-0.26214609
b3101,0.366907857
b0366,1.009275509
b4065,-0.228121996
b2755,0.171403352
b3856,0.298088462
b1599,0.333017032
b1927,-0.192926921
b4466,0.289515849
b0912,-0.150970014
b1473,-0.304722076
b1331,-0.248583984
b0426,-0.251317034
b2055,0.803223431
b0356,-0.246195226
b1307,0.374929579
b1674,-0.595010512
b0591,-0.479108063
b4533,0.561475364
b4088,-0.275331628
b1737,0.238395461
b4639,1.092522964
b1430,-0.208922157
b4683,1.376246362
b0606,-0.342418519
b0750,-0.210213678
b0905,-0.485242743
b2955,-0.24285549
b4558,-0.137546281
b3809,-0.174261192
b1514,0.550098638
b2292,-0.386652311
b2847,0.597601851
b4406,-0.248423868
b0398,-0.231848328
b2762,1.046032556
b2106,-0.343151733
b1515,0.565278499
b4219,-0.230982024
b3874,0.380928408
b0994,0.372674314
b2580,-0.266005832
b0810,-0.519404999
b1003,-0.316967222
b4062,-0.621739294
b0825,-0.258706897
b1891,-0.355439522
b2982,-0.242533826
b1548,0.611567028
b2285,-0.34418093
b1221,-0.281502547
b4400,0.342987765
b3070,-0.293660318
b4520,0.683104723
b0379,0.364561732
b1501,0.275565121
b2333,0.670104475
b1086,-0.34086142
b1722,-0.425015741
b3162,-0.304846758
b0865,-0.294670198
b0981,0.181675321
b3054,-0.160114483
b2697,-0.266333338
b3895,-0.187401579
b0898,-0.971955264
b2328,-0.252944401
b3551,-0.187931492
b1788,-0.381559423
b0300,0.392905173
b1004,-0.398980406
b2043,0.297838396
b0969,-0.225186203
b3500,-0.230839131
b0854,-0.419568998
b1373,0.385486303
b1282,-0.407750378
b2264,-0.321546176
b3923,-0.236188925
b3957,-0.29104855
b4258,-0.296540363
b3819,-0.268796439
b1982,-0.242260235
b0259,-0.246651758
b4488,-0.362079978
b4076,0.601211925
b2812,-0.264975812
b3287,-0.138160718
b0413,-0.170173
b0071,-0.272325066
b3617,-0.217453457
b4373,-0.346091687
b2746,-0.261321455
b2261,-0.373090639
b2827,-0.25417841
b1223,-0.595796434
b2514,-0.224915983
b3938,-0.337590544
b0363,0.623082593
b0720,-0.243680292
b4299,0.590542256
b4637,-0.251820733
b2382,0.218922863
b0656,-0.292781706
b2388,-0.270612753
b0557,-0.514431419
b0004,-0.358488476
b3272,1.23201701
b3031,-0.264619403
b1819,-0.233041274
b1779,-0.402505636
b2041,-0.29235202
b0465,-0.302688543
b1969,0.333275717
b4669,-0.383917692
b1847,-0.265111342
b0650,0.54517146
b2749,0.500134795
b0111,-0.173784438
b2817,-0.254161795
b2911,0.269063497
b0882,-0.213450221
b3772,-0.381764792
b4372,-0.285309494
b0599,0.188248703
b0035,0.434494646
b0892,-0.166355257
b1275,-0.24467677
b3645,0.328110188
b4235,-0.229639043
b2565,-0.347685748
b3011,-0.489872663
b1555,0.660323382
b1234,-0.12159223
b0130,0.293509704
b4096,0.344069059
b1301,0.487148064
b3434,-0.185540839
b3191,-0.16646566
b0752,-0.233476879
b1521,-0.251493215
b2555,-0.183421583
b0420,-0.32555203
b1315,0.491675163
b1859,0.979188236
b0115,-0.280654742
b1164,0.743843285
b4112,-0.209087731
b4261,-0.171404525
b4069,-0.472560189
b0252,0.377894582
b2548,0.503368797
b4355,0.362858867
b3022,0.185191153
b1325,-0.153071317
b0908,-0.313033178
b4032,-0.35102905
b3922,-0.252254917
b0894,-0.513284068
b2924,-0.289135304
b3945,-0.466775829
b2166,0.871759148
b4362,-0.213666367
b0971,0.604341523
b3056,-0.177249949
b1496,0.574692106
b1719,-0.188772774
b3220,-2.642674051
b3988,-0.192688282
b3883,0.250196985
b1027,0.524734042
b1172,-0.263844258
b3546,-0.340725311
b3791,-0.264029213
b3800,0.52295379
b1878,0.502662721
b0989,0.666115744
b0569,0.445830878
b2599,-0.309927893
b4262,-0.191211908
b0053,-0.261591617
b0431,-0.350281229
b1463,0.351617085
b2124,-0.187125736
b1619,-0.168302039
b2821,-0.206823055
b0844,-0.229923293
b4085,0.388898464
b4001,-0.149845281
b0872,-0.380869737
b0382,-0.334458188
b3029,-0.207752264
b1890,0.503482569
b3585,0.210362332
b0269,0.392262744
b1777,-0.325367983
b2217,-0.240210024
b1865,-0.231797981
b3352,-0.231653034
b2251,-0.251900245
b2363,0.393884637
b3940,-0.21907266
b0639,-0.179718329
b2009,-0.227715902
b4510,-0.824949261
b3889,1.214978772
b4680,-0.445356875
b0072,-0.327928594
b4702,0.616691205
b3040,-0.219588235
b2022,-0.413362573
b3209,-0.166945369
b4383,-0.207252529
b3963,-0.208039532
b4412,-0.503814005
b1402,0.138851238
b2310,-0.568512497
b4015,-0.268569809
b1924,0.469771918
b0706,0.407926046
b4402,-0.207057584
b1163,-0.221619829
b1394,0.628414868
b2392,0.515153019
b3197,-0.168354139
b4303,0.22113648
b0214,-0.170539635
b1596,0.248497005
b4225,0.280162038
b0129,0.448223302
b2867,0.363376795
b3597,0.576148917
b1208,-0.266530324
b0160,-0.219738325
b0506,-0.171454858
b3567,0.581235374
b2829,-0.202469779
b1304,-0.5743635
b2787,0.24232442
b0757,-0.16922205
b0076,-0.237512548
b1664,-0.207505536
b0735,-0.194654938
b0627,-0.234186901
b3655,-0.192746556
b4203,-0.266082207
b0327,0.443213538
b2568,-0.307284934
b4063,0.293478535
b2308,-0.254602253
b4242,-0.274030336
b2642,0.295149061
b1190,-0.401438513
b1333,-0.22900767
b1972,0.295089801
b2079,-0.243303257
b3687,0.40233754
b2763,1.025850332
b3600,-0.268477894
b2523,-0.229744151
b1218,0.166979219
b4134,0.708056162
b3094,-0.245698768
b3565,0.267600382
b3824,-0.449291
b2098,0.256686756
b4479,-0.259077941
b0164,0.223848015
b1361,0.366931866
b4050,-0.431509381
b1829,-0.202289392
b4244,-0.492514395
b0331,0.650712052
b2513,-0.220857145
b3102,-0.248238031
b0653,-0.222256799
b0658,-0.181067048
b1183,0.345720745
b4055,-0.315149858
b0635,-0.339124699
b0955,-0.239111895
b2530,-0.245334105
b0113,-0.267115663
b1569,1.144078315
b0578,-0.237007068
b1120,-0.192967928
b1356,0.164011212
b1522,0.222784175
b2624,0.590304401
b2543,-0.234855545
b1740,-0.211054049
b3055,-0.227188562
b1077,-0.421178083
b4109,-0.306109942
b1137,0.319130006
b4115,0.370851914
b0183,-0.239013236
b1138,0.39521778
b2507,-0.231835242
b2571,-0.183610694
b4315,-0.291027803
b3739,-0.286539236
b2631,0.221881586
b1046,0.187974911
b2423,0.911407516
b3909,0.508549027
b2353,0.213435447
b2172,-0.273373109
b1811,0.194547328
b2975,0.391539079
b2756,0.173592877
b0800,-0.188885309
b1450,0.401133116
b1635,-0.183101376
b0799,-0.159202305
b0351,-0.223748816
b4632,0.503783513
b3700,-0.231225623
b3614,-0.25699073
b1098,-0.232895197
b2170,-0.243357383
b3255,-0.174850116
b0541,0.182042868
b2609,-0.214119164
b3660,-0.216248027
b1280,-0.152941158
b4129,-0.265375439
b2101,-0.245225955
b2825,0.340117774
b1556,0.657078716
b1302,0.394871486
b1520,0.219926312
b0850,-0.176797395
b0692,0.318701721
b1349,0.318691625
b3717,0.193964032
b1197,-0.23248313
b4230,0.399223595
b4585,0.473925268
b1359,0.359839785
b2962,-0.190048188
b2685,-0.239491308
b1329,-0.306233688
b2538,0.221594813
b1007,0.626381247
b1959,0.43349025
b0710,-0.184040776
b2176,-0.181034473
b0471,-0.271876199
b2926,-0.292136209
b2146,-0.531165378
b3074,0.457707502
b4011,0.57472253
b0682,0.309527118
b4598,0.415016742
b1480,0.230643808
b2678,0.319921804
b4251,-0.210996891
b0689,0.257188847
b1448,-0.194657819
b1512,0.430369308
b3250,-0.302642574
b0286,0.400413399
b0921,-0.200180809
b4485,0.373274813
b0631,-0.222990539
b1261,-0.197528949
b3740,-0.178592661
b2348,0.739775607
b0428,-0.284676081
b0308,0.25197608
b2298,-0.301829508
b2570,-0.199646471
b1595,0.249857026
b1334,-0.168436594
b1773,0.394349502
b3252,-0.163402329
b1991,0.227778497
b1821,-0.362569737
b4366,0.347637815
b0761,-0.123567337
b3131,-0.162009228
b2461,0.459300558
b0953,0.249950967
b0152,-0.203190923
b0457,0.173630787
b1237,-0.197316353
b4397,-0.179387723
b0742,-0.177508885
b0285,0.458343444
b3060,-0.534181188
b1858,0.89929155
b2505,0.53753691
b0084,-0.157275037
b3175,-0.288003709
b4704,0.453802922
b0777,0.639290073
b4654,1.02956856
b0036,0.554100458
b0514,0.291829111
b1262,-0.151738228
b1780,-0.219820105
b1092,-0.193684176
b3409,-0.377551824
b0132,0.289695583
b0841,-0.200140807
b0556,-0.287925034
b4004,0.1635411
b4245,-0.412693552
b0253,0.280933492
b2805,-0.37365714
b4205,0.33163709
b0027,-0.148419147
b3025,0.214647004
b1669,0.362496099
b3492,-0.27819066
b4590,1.272178452
b4445,0.56139797
b2921,0.271420438
b4044,-0.180039448
b2837,-0.111495346
b0190,-0.18160331
b2094,-0.242643295
b3594,0.271661511
b2909,-0.216508491
b3663,0.168857978
b1983,-0.329896112
b3632,-0.165544193
b4172,-0.171184385
b1786,-0.244492638
b0762,0.261098095
b2562,-0.367600745
b2989,-0.157899312
b1993,0.213997344
b1447,-0.165881147
b4346,0.28979554
b4432,0.368800348
b2196,-0.419624811
b0204,-1.095311752
b2089,0.157983828
b4398,-0.160072204
b1580,0.278636348
b0361,0.150742668
b0676,-0.265838257
b3212,-0.183365235
b1124,-0.304408661
b2195,-0.4579802
b2023,-0.361961772
b0273,-0.486929288
b2141,-0.789566318
b4421,0.422407892
b3440,-0.318562087
b2832,-0.221097349
b1863,-0.307760252
b1869,-0.139331971
b0387,-0.162941776
b2012,0.534311199
b4009,-1.073912926
b3005,-0.336505218
b1332,-0.281922419
b1709,-0.189148926
b2619,-0.183490657
b3758,-1.074654862
b1943,0.382286199
b3161,0.238062559
b1271,-0.178554534
b1727,-0.226969763
b3085,0.280964486
b2993,-0.308715778
b3335,0.262072586
b1414,-0.165390283
b4410,-0.295485398
b3521,0.37615145
b4643,0.845846298
b3260,-0.338742807
b3485,0.23044194
b3970,-1.06180381
b3854,-1.089896368
b1134,-0.267358489
b4149,-0.163429495
b4218,-0.236851753
b0376,-0.296717851
b4324,-0.124771034
b0973,0.396406175
b1644,0.236001359
b3956,-0.263918294
b2757,0.17344607
b1542,0.210456087
b0110,-0.137970181
b1083,-0.231931072
b0915,-0.28622118
b2572,-0.127146106
b4658,0.32228367
b2281,-0.273606958
b3527,-0.155396283
b0730,-0.152757944
b2719,0.268735398
b3592,-0.31990483
b0775,0.875825744
b3275,-1.073043996
b4024,-0.400396844
b1607,-0.259891966
b4553,0.368479004
b3188,-0.240897563
b1062,-0.275047553
b2589,-1.070166509
b3638,-0.14146187
b0264,0.225772366
b2608,-0.197740124
b3915,-0.120045743
b0975,0.339168868
b1950,0.452389666
b1238,-0.202127556
b3619,-0.225321595
b2415,-0.260874395
b4264,0.202604676
b4212,0.334611135
b0425,-0.196705774
b1339,-0.293629355
b1032,0.799171822
b0490,-0.155033814
b0082,-0.133388669
b2429,0.212681026
b0577,-0.193670659
b0780,-0.154344058
b2715,0.291870436
b0184,-0.190850125
b2896,-0.146760938
b0212,-0.131200617
b1498,0.211025023
b1772,0.386635412
b1994,-0.191495346
b3239,0.210380343
b3906,0.478910651
b1689,0.464848354
b3820,0.310761754
b3399,-0.180102058
b4521,0.282944942
b0311,0.250529198
b1648,0.237089293
b0244,0.248906089
b2840,-0.142174289
b1711,-0.139259698
b4166,-0.183643486
b2364,0.327557371
b1745,0.325792402
b1879,0.267636043
b2140,-0.224449947
b2302,-0.290303871
b4302,0.260757252
b3458,-0.185323851
b2615,-0.17824476
b3093,0.254095032
b1292,0.241396517
b4464,0.237255022
b1094,-0.13513357
b1000,-0.29795618
b1513,0.468732935
b1963,0.366277733
b4321,0.397985886
b2462,0.623018891
b1589,-0.299909598
b0976,0.391857954
b3676,0.183535747
b2111,-0.393934119
b2614,-0.110524018
b4655,0.51585874
b2502,-0.208665257
b2901,-0.191282141
b3494,0.20961912
b4513,0.903347863
b0843,-0.150614771
b1475,0.39795029
b4676,-0.204688305
b2380,-0.166261465
b3344,-0.192167606
b1546,0.349243478
b2843,0.217263961
b0723,-0.398251777
b3071,-0.195872426
b4282,0.395452831
b3213,-0.197802353
b1199,-0.204435211
b1731,0.280566194
b1159,0.283955367
b0051,-0.190411673
b3354,-0.179689993
b1300,0.370073877
b1688,-0.185237155
b1630,0.426409641
b3715,0.143056407
b3306,-0.227125488
b4156,0.317602773
b0349,-0.159338178
b1191,-0.120377424
b1494,0.165367715
b0665,-0.248321888
b3412,-0.143816686
b4599,0.315457309
b1379,-0.179294589
b2638,0.348799301
b3184,-0.270229768
b1877,0.438953729
b1602,-0.178292281
b1508,0.291705788
b1921,0.419423233
b0239,-0.166047797
b4606,0.302873929
b4119,0.213395999
b4176,0.251607558
b1141,0.413320709
b1803,0.24126678
b4544,0.23269205
b1914,-0.186534618
b4263,-0.109825538
b0906,0.230403952
b4554,0.169897386
b2282,-0.268890746
b1947,0.464507295
b2164,0.351853906
b4061,0.184959308
b4179,-0.179620537
b0146,0.200150536
b0177,-0.149276653
b1912,-0.134117766
b1155,0.423939711
b3977,-0.300791704
b2598,-0.146519986
b3755,-0.293619871
b4133,0.184089303
b2826,0.548050518
b0593,-0.372266548
b1717,-0.174605658
b4002,0.4142091
b4114,0.475986799
b1598,0.337815285
b2471,-0.184484051
b3930,-0.235372503
b0537,0.105757546
b0019,-0.112935677
b0944,0.163379008
b3289,-0.259215653
b1140,0.232675114
b2123,0.342769768
b3868,-0.228298188
b1915,-0.254011715
b2681,0.299158766
b2510,-0.166627871
b2021,-0.379648855
b3152,0.135656749
b3177,-0.114248558
b3670,-0.220193801
b2497,-0.275832059
b0813,-0.183411364
b0098,-0.215622099
b3397,-0.233801452
b0085,-0.152582774
b4384,-0.161846401
