feature_ids	Fucose_1_RPKM	Fucose_2_RPKM	Fucose_3_RPKM	Glucose_1_RPKM	Glucose_2_RPKM	Glucose_3_RPKM
b0555	20.0	21.0	18.0	6.0	19.0	18.0
b0556	6.0	9.0	6.0	2.0	8.0	9.0
b0557	32.0	80.0	39.0	5.0	59.0	91.0
b0558	18.0	3.0	2.0	1.0	5.0	7.0
b0559	94.0	37.0	38.0	13.0	52.0	71.0
b0560	2.0	1.0	1.0	1.0	1.0	2.0
b0561	6.0	3.0	2.0	4.0	2.0	6.0
b0562	13.0	5.0	5.0	5.0	5.0	6.0
b0563	12.0	9.0	6.0	6.0	5.0	8.0
b0564	48.0	42.0	30.0	57.0	38.0	82.0
b0565	947.0	3071.0	2993.0	519.0	2152.0	4327.0
b0566	9.0	6.0	7.0	7.0	6.0	5.0
b0567	4.0	6.0	5.0	4.0	4.0	4.0
b0568	4.0	8.0	8.0	4.0	5.0	4.0
b0569	4.0	6.0	6.0	5.0	5.0	4.0
b0570	7.0	14.0	11.0	6.0	11.0	8.0
b0571	12.0	13.0	12.0	12.0	15.0	9.0
b0572	3.0	2.0	1.0	3.0	2.0	1.0
b0573	9.0	7.0	7.0	6.0	15.0	3.0
b0574	2.0	3.0	2.0	2.0	6.0	1.0
b0575	2.0	2.0	2.0	3.0	3.0	1.0
b0576	23.0	46.0	27.0	17.0	32.0	20.0
b0577	61.0	56.0	51.0	58.0	66.0	60.0
b0578	104.0	211.0	191.0	84.0	219.0	191.0
b0579	37.0	50.0	47.0	31.0	51.0	45.0
b0580	22.0	40.0	35.0	42.0	30.0	22.0
b0581	43.0	85.0	93.0	128.0	49.0	29.0
b0583	72.0	94.0	73.0	54.0	140.0	161.0
b0584	175.0	386.0	282.0	133.0	368.0	422.0
b0585	50.0	140.0	132.0	84.0	141.0	108.0
b0586	99.0	159.0	168.0	155.0	235.0	220.0
b0587	5.0	5.0	4.0	1.0	4.0	3.0
b0588	20.0	52.0	47.0	20.0	54.0	43.0
b0589	11.0	29.0	26.0	11.0	27.0	16.0
b0590	23.0	46.0	41.0	27.0	47.0	34.0
b0591	16.0	46.0	32.0	15.0	37.0	23.0
b0592	75.0	145.0	128.0	70.0	117.0	101.0
b0593	37.0	193.0	134.0	49.0	162.0	140.0
b0594	39.0	128.0	96.0	58.0	132.0	141.0
b0595	62.0	97.0	83.0	66.0	150.0	159.0
b0596	49.0	71.0	74.0	47.0	114.0	95.0
b0597	86.0	93.0	103.0	74.0	154.0	154.0
b0598	117.0	233.0	196.0	38.0	35.0	33.0
b0600	20.0	8.0	11.0	54.0	27.0	27.0
b0601	9.0	11.0	10.0	7.0	7.0	9.0
b0602	3.0	4.0	3.0	3.0	2.0	2.0
b0603	2.0	2.0	2.0	1.0	1.0	1.0
b0604	43.0	72.0	63.0	48.0	53.0	38.0
b0605	2531.0	5503.0	4753.0	3041.0	4986.0	4241.0
b0606	226.0	400.0	308.0	141.0	312.0	224.0
b0607	1218.0	644.0	571.0	225.0	364.0	302.0
b0608	26.0	18.0	21.0	72.0	20.0	27.0
b0610	103.0	225.0	204.0	49.0	84.0	79.0
b0611	112.0	122.0	119.0	114.0	134.0	144.0
b0612	4.0	3.0	2.0	4.0	4.0	4.0
b0613	1.0	1.0	1.0	1.0	1.0	1.0
b0614	1.0	1.0	2.0	0.0	2.0	1.0
b0615	1.0	1.0	0.0	1.0	1.0	1.0
b0616	1.0	1.0	1.0	1.0	2.0	1.0
b0617	1.0	0.0	0.0	0.0	0.0	1.0
b0618	5.0	2.0	2.0	4.0	2.0	4.0
b0621	116.0	31.0	18.0	5.0	27.0	77.0
b0622	61.0	30.0	37.0	86.0	106.0	138.0
b0623	45018.0	31694.0	31902.0	19297.0	20933.0	24648.0
b0627	639.0	428.0	418.0	609.0	593.0	549.0
b0628	410.0	450.0	388.0	198.0	346.0	204.0
b0629	16.0	12.0	11.0	9.0	9.0	8.0
b0630	60.0	48.0	39.0	36.0	81.0	73.0
b0631	893.0	713.0	809.0	1460.0	682.0	567.0
b0632	102.0	180.0	136.0	60.0	195.0	165.0
b0633	54.0	79.0	77.0	61.0	99.0	82.0
b0634	14.0	24.0	23.0	23.0	43.0	35.0
b0635	17.0	44.0	32.0	14.0	42.0	30.0
b0636	24.0	51.0	37.0	21.0	45.0	28.0
b0637	81.0	141.0	107.0	72.0	126.0	93.0
b0638	10.0	15.0	13.0	12.0	22.0	14.0
b0639	31.0	58.0	50.0	35.0	62.0	57.0
b0640	26.0	68.0	56.0	35.0	63.0	47.0
b0641	123.0	197.0	196.0	136.0	227.0	222.0
b0642	129.0	273.0	247.0	159.0	284.0	278.0
b0643	193.0	500.0	523.0	135.0	115.0	69.0
b0644	14.0	24.0	26.0	12.0	10.0	6.0
b0645	1.0	0.0	0.0	1.0	1.0	0.0
b0646	5.0	3.0	2.0	2.0	1.0	2.0
b0647	2.0	1.0	1.0	1.0	0.0	0.0
b0648	3.0	2.0	2.0	1.0	2.0	1.0
b0649	11.0	11.0	13.0	11.0	8.0	7.0
b0650	6.0	8.0	5.0	3.0	3.0	3.0
b0651	55.0	155.0	151.0	8.0	19.0	18.0
b0652	33.0	43.0	33.0	23.0	27.0	22.0
b0653	16.0	30.0	24.0	19.0	19.0	14.0
b0654	20.0	36.0	31.0	18.0	23.0	16.0
b0655	194.0	378.0	351.0	238.0	201.0	193.0
b0657	32.0	72.0	62.0	37.0	63.0	43.0
b0658	265.0	526.0	501.0	397.0	357.0	310.0
b0659	93.0	162.0	189.0	186.0	138.0	94.0
b0660	117.0	199.0	216.0	227.0	186.0	132.0
b0661	51.0	100.0	68.0	46.0	79.0	60.0
b0662	27.0	45.0	51.0	37.0	52.0	38.0
b0664	3.0	8.0	5.0	2.0	8.0	8.0
b0665	8.0	12.0	8.0	4.0	20.0	16.0
b0666	5.0	3.0	5.0	0.0	10.0	8.0
b0668	2.0	3.0	2.0	2.0	4.0	5.0
b0670	3.0	19.0	20.0	2.0	30.0	13.0
b0672	2.0	14.0	9.0	3.0	12.0	12.0
b0673	38.0	29.0	43.0	31.0	30.0	17.0
b0674	210.0	132.0	109.0	112.0	111.0	139.0
b0675	53.0	132.0	117.0	30.0	107.0	72.0
b0676	46.0	91.0	79.0	45.0	73.0	52.0
b0677	46.0	82.0	84.0	42.0	55.0	44.0
b0678	102.0	174.0	183.0	73.0	81.0	99.0
b0679	71.0	173.0	161.0	24.0	29.0	23.0
b0680	133.0	246.0	210.0	105.0	308.0	243.0
b0681	4.0	7.0	9.0	1.0	2.0	1.0
b0682	45.0	24.0	26.0	28.0	19.0	29.0
b0683	909.0	992.0	929.0	671.0	673.0	665.0
b0684	248.0	529.0	501.0	168.0	444.0	377.0
b0685	43.0	54.0	45.0	16.0	46.0	39.0
b0686	40.0	70.0	62.0	25.0	52.0	45.0
b0687	211.0	368.0	364.0	153.0	285.0	265.0
b0688	156.0	307.0	257.0	112.0	201.0	153.0
b0689	17.0	11.0	10.0	5.0	7.0	8.0
b0691	8.0	2.0	2.0	1.0	1.0	2.0
b0692	7.0	7.0	9.0	7.0	6.0	4.0
b0693	4.0	3.0	3.0	3.0	2.0	2.0
b0694	3.0	6.0	6.0	2.0	4.0	2.0
b0695	5.0	11.0	14.0	9.0	9.0	6.0
b0696	1.0	2.0	4.0	2.0	4.0	3.0
b0697	1.0	2.0	2.0	2.0	2.0	1.0
b0698	1.0	1.0	1.0	1.0	1.0	0.0
b0699	1854.0	1489.0	1270.0	2552.0	1848.0	1819.0
b0700	10.0	4.0	4.0	4.0	7.0	6.0
b0702	8.0	2.0	2.0	3.0	4.0	3.0
b0704	10.0	3.0	4.0	4.0	4.0	4.0
b0705	4.0	2.0	1.0	2.0	2.0	3.0
b0706	5.0	1.0	2.0	2.0	2.0	3.0
b0707	36.0	72.0	78.0	122.0	71.0	30.0
b0708	19.0	41.0	40.0	63.0	39.0	20.0
b0709	13.0	18.0	12.0	9.0	31.0	33.0
b0710	65.0	123.0	147.0	98.0	145.0	91.0
b0714	11.0	20.0	20.0	14.0	25.0	14.0
b0715	16.0	11.0	11.0	8.0	17.0	23.0
b0716	11.0	10.0	9.0	8.0	9.0	9.0
b0717	5.0	3.0	4.0	4.0	4.0	4.0
b0718	2.0	2.0	1.0	2.0	1.0	1.0
b0719	3.0	1.0	1.0	2.0	1.0	1.0
b0720	292.0	701.0	641.0	351.0	347.0	133.0
b0721	58.0	281.0	172.0	35.0	77.0	37.0
b0722	9.0	63.0	37.0	4.0	18.0	11.0
b0723	8.0	60.0	41.0	4.0	23.0	11.0
b0724	17.0	66.0	41.0	8.0	27.0	16.0
b0726	28.0	63.0	53.0	24.0	42.0	30.0
b0727	66.0	122.0	114.0	51.0	69.0	61.0
b0728	43.0	118.0	118.0	39.0	61.0	46.0
b0729	74.0	133.0	136.0	67.0	57.0	57.0
b0730	62.0	49.0	42.0	30.0	41.0	45.0
b0731	1.0	1.0	1.0	1.0	1.0	0.0
b0732	14.0	14.0	16.0	10.0	11.0	11.0
b0733	2652.0	2641.0	2395.0	1012.0	1372.0	1124.0
b0734	1717.0	1693.0	1508.0	1134.0	811.0	697.0
b0735	643.0	409.0	398.0	434.0	234.0	326.0
b0736	156.0	135.0	107.0	66.0	125.0	143.0
b0737	89.0	106.0	71.0	45.0	83.0	71.0
b0738	59.0	72.0	53.0	41.0	62.0	56.0
b0739	105.0	73.0	64.0	81.0	85.0	93.0
b0740	196.0	317.0	283.0	207.0	328.0	261.0
b0741	730.0	1109.0	1000.0	593.0	906.0	867.0
b0743	1097.0	1686.0	1598.0	467.0	3352.0	3457.0
b0744	155.0	315.0	278.0	76.0	718.0	458.0
b0745	238.0	447.0	509.0	102.0	629.0	458.0
b0746	106.0	291.0	291.0	68.0	409.0	300.0
b0747	71.0	111.0	92.0	29.0	213.0	139.0
b0748	236.0	387.0	316.0	93.0	621.0	511.0
b0749	18.0	37.0	29.0	5.0	48.0	27.0
b0750	156.0	73.0	77.0	106.0	80.0	167.0
b0751	205.0	92.0	104.0	144.0	99.0	140.0
b0752	46.0	44.0	43.0	32.0	38.0	37.0
b0753	88.0	68.0	112.0	812.0	56.0	82.0
b0754	1728.0	1167.0	1032.0	1677.0	2067.0	1718.0
b0755	2668.0	5821.0	6054.0	4836.0	6221.0	6793.0
b0756	48.0	150.0	147.0	49.0	98.0	73.0
b0757	25.0	79.0	66.0	19.0	30.0	29.0
b0758	20.0	45.0	34.0	18.0	27.0	29.0
b0759	52.0	105.0	84.0	41.0	56.0	60.0
b0760	19.0	46.0	43.0	19.0	35.0	18.0
b0761	51.0	66.0	67.0	60.0	75.0	58.0
b0762	359.0	275.0	287.0	531.0	252.0	408.0
b0763	912.0	30.0	26.0	551.0	25.0	30.0
b0764	169.0	20.0	17.0	117.0	16.0	13.0
b0765	163.0	26.0	23.0	120.0	17.0	16.0
b0766	19.0	38.0	30.0	12.0	32.0	29.0
b0767	49.0	138.0	154.0	73.0	127.0	115.0
b0768	4.0	4.0	4.0	3.0	3.0	2.0
b0769	1.0	0.0	0.0	0.0	0.0	0.0
b0770	2.0	1.0	1.0	1.0	1.0	1.0
b0771	5.0	5.0	4.0	4.0	4.0	4.0
b0772	45.0	122.0	90.0	37.0	98.0	79.0
b0773	29.0	108.0	128.0	151.0	117.0	111.0
b0774	2.0	32.0	71.0	123.0	79.0	97.0
b0775	2.0	35.0	90.0	177.0	88.0	111.0
b0776	1.0	18.0	46.0	99.0	41.0	46.0
b0777	1.0	10.0	21.0	38.0	25.0	29.0
b0778	2.0	9.0	18.0	33.0	27.0	33.0
b0779	96.0	96.0	101.0	115.0	96.0	86.0
b0780	24.0	48.0	43.0	19.0	35.0	27.0
b0781	31.0	104.0	98.0	20.0	99.0	114.0
b0782	23.0	47.0	36.0	19.0	36.0	91.0
b0783	18.0	37.0	29.0	14.0	32.0	74.0
b0784	6.0	8.0	8.0	7.0	9.0	22.0
b0785	17.0	33.0	24.0	16.0	29.0	80.0
b0786	429.0	448.0	467.0	512.0	422.0	331.0
b0787	22.0	11.0	8.0	7.0	7.0	5.0
b0788	10.0	13.0	13.0	15.0	9.0	4.0
b0789	11.0	23.0	26.0	43.0	17.0	7.0
b0790	18.0	31.0	37.0	56.0	23.0	10.0
b0791	42.0	94.0	107.0	17.0	18.0	19.0
b0792	10.0	16.0	18.0	14.0	17.0	13.0
b0793	8.0	13.0	13.0	13.0	16.0	9.0
b0794	12.0	17.0	17.0	18.0	17.0	9.0
b0795	19.0	17.0	18.0	37.0	24.0	16.0
b0797	31.0	47.0	40.0	32.0	102.0	66.0
b0798	35.0	61.0	68.0	18.0	16.0	18.0
b0799	30.0	29.0	24.0	29.0	32.0	25.0
b0800	55.0	70.0	65.0	53.0	64.0	58.0
b0802	109.0	40.0	58.0	384.0	94.0	62.0
b0803	32.0	37.0	44.0	46.0	40.0	22.0
b0804	11.0	33.0	31.0	18.0	25.0	14.0
b0805	10.0	54.0	32.0	14.0	27.0	13.0
b0806	30.0	68.0	104.0	152.0	72.0	80.0
b0807	16.0	29.0	19.0	7.0	28.0	17.0
b0808	8.0	17.0	18.0	16.0	12.0	6.0
b0809	35.0	97.0	98.0	48.0	172.0	174.0
b0810	34.0	93.0	80.0	44.0	131.0	119.0
b0811	191.0	354.0	298.0	206.0	369.0	639.0
b0812	2664.0	5084.0	6819.0	7612.0	5846.0	4275.0
b0813	9.0	10.0	8.0	9.0	8.0	6.0
b0814	1571.0	1470.0	1587.0	6013.0	3407.0	4494.0
b0815	35.0	31.0	22.0	15.0	23.0	16.0
b0817	105.0	97.0	87.0	98.0	82.0	73.0
b0818	23.0	21.0	18.0	18.0	16.0	11.0
b0819	312.0	285.0	239.0	302.0	255.0	257.0
b0820	81.0	146.0	116.0	74.0	148.0	132.0
b0821	11.0	7.0	7.0	13.0	13.0	11.0
b0822	47.0	69.0	58.0	38.0	69.0	55.0
b0823	5.0	7.0	8.0	5.0	5.0	5.0
b0824	1.0	2.0	1.0	2.0	1.0	1.0
b0825	7.0	9.0	9.0	7.0	13.0	12.0
b0826	20.0	39.0	40.0	20.0	38.0	33.0
b0827	23.0	37.0	38.0	28.0	48.0	34.0
b0828	113.0	153.0	164.0	85.0	144.0	77.0
b0829	81.0	67.0	91.0	51.0	78.0	42.0
b0830	155.0	74.0	81.0	82.0	95.0	54.0
b0831	59.0	29.0	29.0	26.0	31.0	18.0
b0832	51.0	27.0	24.0	19.0	36.0	20.0
b0835	27.0	85.0	47.0	15.0	61.0	56.0
b0836	10074.0	1683.0	2389.0	1073.0	2444.0	2810.0
b0837	53.0	21.0	25.0	16.0	22.0	23.0
b0838	66.0	125.0	119.0	86.0	124.0	117.0
b0839	144.0	156.0	163.0	124.0	110.0	76.0
b0840	65.0	68.0	69.0	73.0	67.0	71.0
b0841	70.0	48.0	42.0	48.0	60.0	64.0
b0842	12.0	23.0	19.0	13.0	15.0	10.0
b0843	16.0	19.0	19.0	14.0	19.0	18.0
b0844	31.0	40.0	33.0	29.0	39.0	38.0
b0845	8.0	15.0	12.0	6.0	13.0	9.0
b0846	13.0	23.0	19.0	10.0	9.0	10.0
b0847	155.0	111.0	86.0	76.0	106.0	101.0
b0848	106.0	40.0	62.0	70.0	129.0	384.0
b0849	73.0	80.0	60.0	89.0	90.0	147.0
b0850	24.0	18.0	19.0	19.0	11.0	15.0
b0851	21.0	31.0	33.0	17.0	27.0	23.0
b0852	18.0	29.0	29.0	18.0	24.0	21.0
b0853	176.0	136.0	117.0	101.0	142.0	189.0
b0854	19.0	69.0	70.0	38.0	37.0	22.0
b0855	2.0	15.0	21.0	5.0	9.0	5.0
b0856	3.0	8.0	11.0	5.0	7.0	4.0
b0857	5.0	11.0	12.0	8.0	8.0	7.0
b0858	12.0	16.0	15.0	11.0	14.0	15.0
b0859	8.0	18.0	13.0	6.0	22.0	15.0
b0860	92.0	195.0	149.0	78.0	428.0	532.0
b0861	35.0	116.0	112.0	69.0	90.0	66.0
b0862	16.0	75.0	68.0	26.0	56.0	26.0
b0863	58.0	260.0	208.0	124.0	187.0	143.0
b0864	26.0	141.0	88.0	61.0	128.0	72.0
b0865	65.0	237.0	261.0	97.0	159.0	108.0
b0866	92.0	145.0	160.0	109.0	105.0	94.0
b0867	28.0	63.0	64.0	41.0	47.0	29.0
b0868	21.0	33.0	30.0	27.0	30.0	22.0
b0869	17.0	27.0	26.0	25.0	30.0	24.0
b0870	42.0	65.0	67.0	52.0	65.0	56.0
b0871	29.0	88.0	111.0	111.0	89.0	53.0
b0872	21.0	3.0	4.0	4.0	5.0	10.0
b0873	85.0	2.0	2.0	14.0	3.0	9.0
b0875	75.0	34.0	35.0	79.0	24.0	40.0
b0876	19.0	28.0	30.0	22.0	18.0	19.0
b0877	85.0	139.0	127.0	64.0	199.0	135.0
b0878	43.0	64.0	62.0	56.0	51.0	43.0
b0879	25.0	35.0	41.0	44.0	30.0	21.0
b0880	11396.0	10680.0	12462.0	2798.0	2117.0	1885.0
b0881	355.0	335.0	449.0	411.0	405.0	425.0
b0882	582.0	563.0	633.0	771.0	517.0	423.0
b0883	94.0	51.0	49.0	17.0	36.0	48.0
b0884	2787.0	2402.0	1833.0	1259.0	2333.0	3115.0
b0885	15.0	27.0	23.0	19.0	28.0	22.0
b0886	22.0	52.0	49.0	49.0	55.0	50.0
b0887	25.0	49.0	40.0	29.0	41.0	34.0
b0888	60.0	161.0	127.0	57.0	144.0	84.0
b0889	497.0	1078.0	1056.0	592.0	805.0	527.0
b0890	76.0	127.0	115.0	98.0	124.0	90.0
b0891	184.0	155.0	154.0	257.0	192.0	197.0
b0892	46.0	55.0	47.0	48.0	55.0	40.0
b0893	795.0	913.0	849.0	591.0	1037.0	967.0
b0894	20.0	18.0	18.0	4.0	27.0	67.0
b0895	11.0	16.0	13.0	2.0	16.0	39.0
b0896	16.0	26.0	19.0	9.0	26.0	42.0
b0897	72.0	271.0	270.0	492.0	257.0	264.0
b0898	86.0	49.0	37.0	25.0	37.0	41.0
b0899	12.0	8.0	7.0	3.0	3.0	3.0
b0900	23.0	17.0	16.0	10.0	14.0	13.0
b0901	16.0	9.0	7.0	5.0	9.0	18.0
b0902	497.0	200.0	187.0	155.0	204.0	270.0
b0903	17306.0	9473.0	10491.0	4100.0	13699.0	22942.0
b0904	1693.0	938.0	1115.0	252.0	1147.0	2082.0
b0905	36.0	91.0	54.0	30.0	79.0	67.0
b0906	34.0	53.0	63.0	49.0	32.0	20.0
b0907	475.0	883.0	841.0	709.0	1431.0	1177.0
b0908	129.0	238.0	225.0	135.0	456.0	353.0
b0909	7.0	8.0	8.0	6.0	11.0	10.0
b0910	195.0	329.0	261.0	125.0	333.0	378.0
b0911	2581.0	3082.0	2306.0	1913.0	4117.0	4073.0
b0912	1335.0	2095.0	2107.0	965.0	1805.0	2315.0
b0913	10.0	9.0	10.0	10.0	8.0	9.0
b0914	74.0	154.0	115.0	55.0	152.0	112.0
b0915	14.0	27.0	23.0	18.0	31.0	21.0
b0916	10.0	13.0	12.0	13.0	17.0	11.0
b0917	77.0	96.0	100.0	91.0	118.0	120.0
b0918	107.0	152.0	139.0	94.0	154.0	153.0
b0919	193.0	95.0	93.0	20.0	121.0	117.0
b0920	27.0	20.0	18.0	10.0	17.0	14.0
b0922	51.0	78.0	67.0	38.0	63.0	58.0
b0923	40.0	77.0	71.0	43.0	67.0	52.0
b0924	56.0	79.0	70.0	60.0	80.0	66.0
b0925	54.0	96.0	107.0	114.0	86.0	64.0
b0928	435.0	595.0	518.0	355.0	635.0	683.0
b0929	6756.0	14871.0	9185.0	667.0	1495.0	1960.0
b0930	362.0	652.0	547.0	332.0	555.0	441.0
b0931	266.0	307.0	274.0	204.0	361.0	343.0
b0932	129.0	161.0	167.0	148.0	179.0	164.0
b0933	7.0	6.0	9.0	12.0	9.0	9.0
b0934	1.0	1.0	1.0	1.0	1.0	1.0
b0935	1.0	1.0	1.0	1.0	1.0	1.0
b0936	1.0	1.0	1.0	2.0	1.0	1.0
b0937	2.0	3.0	3.0	3.0	2.0	3.0
b0938	14.0	11.0	11.0	7.0	9.0	9.0
b0939	3.0	3.0	3.0	2.0	1.0	2.0
b0940	5.0	4.0	4.0	3.0	4.0	3.0
b0941	7.0	8.0	9.0	6.0	8.0	6.0
b0942	4.0	5.0	4.0	3.0	5.0	3.0
b0943	4.0	3.0	5.0	7.0	4.0	3.0
b0944	16.0	18.0	19.0	17.0	18.0	16.0
b0945	36.0	52.0	31.0	10.0	91.0	113.0
b0946	306.0	173.0	166.0	123.0	178.0	135.0
b0947	71.0	123.0	105.0	53.0	113.0	98.0
b0948	22.0	47.0	35.0	21.0	48.0	32.0
b0949	45.0	54.0	52.0	58.0	70.0	65.0
b0950	20.0	23.0	24.0	24.0	29.0	19.0
b0951	23.0	37.0	34.0	35.0	37.0	29.0
b0952	35.0	44.0	41.0	45.0	35.0	40.0
b0953	24936.0	41852.0	61744.0	97345.0	39397.0	51583.0
b0954	312.0	801.0	587.0	295.0	460.0	352.0
b0955	120.0	185.0	161.0	148.0	157.0	127.0
b0956	141.0	112.0	126.0	104.0	108.0	125.0
b0957	8272.0	10655.0	9604.0	10219.0	7492.0	10440.0
b0958	239.0	153.0	146.0	131.0	112.0	136.0
b0959	59.0	50.0	55.0	64.0	38.0	41.0
b0960	20.0	34.0	28.0	19.0	38.0	31.0
b0961	24.0	50.0	35.0	13.0	68.0	40.0
b0962	43.0	60.0	65.0	63.0	56.0	53.0
b0963	342.0	563.0	515.0	187.0	321.0	364.0
b0964	23.0	37.0	42.0	35.0	25.0	13.0
b0965	122.0	212.0	226.0	327.0	216.0	161.0
b0966	430.0	297.0	394.0	866.0	429.0	353.0
b0967	23.0	49.0	34.0	23.0	50.0	39.0
b0968	66.0	73.0	86.0	105.0	58.0	74.0
b0969	61.0	76.0	64.0	71.0	75.0	62.0
b0970	318.0	931.0	772.0	483.0	923.0	608.0
b0971	25.0	23.0	36.0	19.0	14.0	9.0
b0972	6.0	9.0	8.0	3.0	21.0	4.0
b0973	3.0	5.0	5.0	2.0	11.0	2.0
b0974	4.0	6.0	5.0	2.0	8.0	2.0
b0975	5.0	6.0	7.0	2.0	9.0	3.0
b0976	3.0	7.0	6.0	3.0	7.0	1.0
b0977	4.0	8.0	8.0	4.0	13.0	3.0
b0980	7.0	15.0	19.0	10.0	28.0	14.0
b0981	16.0	20.0	25.0	32.0	22.0	15.0
b0982	3.0	4.0	4.0	2.0	4.0	2.0
b0983	3.0	3.0	3.0	3.0	4.0	3.0
b0984	3.0	4.0	4.0	2.0	4.0	3.0
b0985	3.0	3.0	2.0	1.0	2.0	1.0
b0986	5.0	3.0	3.0	2.0	3.0	2.0
b0987	29.0	23.0	19.0	14.0	25.0	23.0
b0989	42.0	12.0	12.0	5.0	18.0	11.0
b0990	3005.0	3424.0	3782.0	327.0	1630.0	2337.0
b0991	101.0	55.0	69.0	18.0	34.0	44.0
b0992	28.0	4.0	4.0	3.0	8.0	8.0
b0993	10.0	12.0	9.0	5.0	13.0	6.0
b0994	8.0	10.0	9.0	4.0	8.0	3.0
b0995	7.0	10.0	12.0	7.0	11.0	8.0
b0996	2.0	2.0	2.0	1.0	1.0	1.0
b0997	2.0	3.0	3.0	3.0	3.0	2.0
b0998	15.0	21.0	24.0	13.0	26.0	15.0
b0999	65.0	183.0	265.0	129.0	248.0	94.0
b1000	122.0	324.0	464.0	206.0	553.0	283.0
b1001	3.0	2.0	1.0	2.0	1.0	1.0
b1002	327.0	559.0	508.0	61.0	78.0	71.0
b1003	704.0	746.0	739.0	566.0	690.0	737.0
b1004	413.0	599.0	580.0	362.0	761.0	589.0
b1006	5.0	6.0	8.0	11.0	5.0	5.0
b1007	1.0	2.0	2.0	1.0	0.0	1.0
b1008	1.0	1.0	1.0	2.0	1.0	1.0
b1009	0.0	1.0	1.0	1.0	1.0	0.0
b1010	1.0	1.0	1.0	1.0	1.0	0.0
b1011	1.0	0.0	1.0	1.0	1.0	0.0
b1012	1.0	1.0	0.0	1.0	0.0	0.0
b1013	15.0	19.0	14.0	21.0	13.0	12.0
b1014	4.0	15.0	15.0	7.0	5.0	2.0
b1015	21.0	27.0	25.0	33.0	32.0	25.0
b1018	24.0	108.0	66.0	40.0	78.0	50.0
b1019	12.0	32.0	21.0	17.0	33.0	20.0
b1020	30.0	9.0	6.0	31.0	15.0	10.0
b1021	39.0	11.0	11.0	8.0	11.0	11.0
b1022	13.0	6.0	4.0	4.0	5.0	7.0
b1023	11.0	9.0	6.0	3.0	9.0	8.0
b1024	28.0	31.0	24.0	8.0	23.0	22.0
b1028	1.0	0.0	0.0	0.0	0.0	0.0
b1029	10.0	3.0	2.0	4.0	2.0	2.0
b1032	8.0	2.0	3.0	6.0	3.0	3.0
b1033	64.0	110.0	114.0	65.0	86.0	79.0
b1034	78.0	128.0	114.0	64.0	115.0	101.0
b1035	69.0	117.0	111.0	63.0	101.0	87.0
b1036	71.0	59.0	51.0	34.0	48.0	56.0
b1037	39.0	82.0	73.0	63.0	44.0	33.0
b1038	15.0	62.0	51.0	21.0	27.0	15.0
b1039	21.0	69.0	75.0	29.0	25.0	17.0
b1040	79.0	185.0	178.0	103.0	92.0	59.0
b1041	4.0	4.0	4.0	3.0	1.0	2.0
b1042	21.0	40.0	41.0	26.0	25.0	27.0
b1043	7.0	5.0	3.0	5.0	3.0	2.0
b1044	17.0	9.0	8.0	14.0	9.0	9.0
b1045	44.0	70.0	76.0	108.0	68.0	59.0
b1046	25.0	36.0	33.0	51.0	34.0	25.0
b1047	36.0	20.0	11.0	13.0	17.0	20.0
b1048	120.0	208.0	185.0	77.0	176.0	171.0
b1049	44.0	93.0	82.0	54.0	103.0	85.0
b1050	51.0	226.0	273.0	94.0	134.0	176.0
b1051	126.0	505.0	583.0	228.0	280.0	479.0
b1053	28.0	19.0	15.0	9.0	18.0	11.0
b1054	41.0	44.0	37.0	29.0	42.0	43.0
b1056	16.0	40.0	45.0	55.0	16.0	21.0
b1057	8.0	8.0	8.0	12.0	6.0	6.0
b1058	3.0	4.0	1.0	2.0	4.0	3.0
b1059	40.0	70.0	63.0	28.0	58.0	46.0
b1060	5397.0	781.0	968.0	2565.0	794.0	973.0
b1061	199.0	99.0	103.0	119.0	108.0	149.0
b1062	37.0	69.0	56.0	34.0	134.0	144.0
b1063	251.0	155.0	133.0	327.0	178.0	217.0
b1064	201.0	400.0	393.0	618.0	719.0	759.0
b1065	25.0	23.0	24.0	14.0	22.0	19.0
b1066	66.0	94.0	98.0	80.0	94.0	86.0
b1067	56.0	79.0	78.0	59.0	58.0	61.0
b1068	34.0	61.0	56.0	42.0	49.0	42.0
b1069	15.0	35.0	25.0	13.0	32.0	22.0
b1070	14.0	30.0	24.0	11.0	20.0	25.0
b1071	26.0	35.0	37.0	15.0	35.0	31.0
b1072	4.0	8.0	8.0	4.0	6.0	4.0
b1073	1.0	13.0	9.0	1.0	0.0	1.0
b1074	1.0	6.0	7.0	1.0	1.0	0.0
b1075	1.0	15.0	9.0	2.0	1.0	1.0
b1076	2.0	14.0	9.0	3.0	2.0	2.0
b1077	2.0	6.0	5.0	1.0	2.0	2.0
b1078	3.0	8.0	7.0	3.0	3.0	3.0
b1079	1.0	5.0	3.0	2.0	2.0	1.0
b1080	1.0	2.0	2.0	1.0	1.0	1.0
b1081	1.0	2.0	3.0	1.0	1.0	1.0
b1082	3.0	7.0	5.0	3.0	3.0	3.0
b1083	14.0	20.0	20.0	18.0	14.0	14.0
b1084	117.0	188.0	170.0	82.0	166.0	121.0
b1085	292.0	343.0	361.0	148.0	310.0	222.0
b1086	36.0	86.0	55.0	20.0	60.0	41.0
b1087	101.0	161.0	173.0	88.0	153.0	128.0
b1088	1084.0	2051.0	1745.0	1328.0	2194.0	1919.0
b1089	1041.0	2765.0	2614.0	1686.0	3724.0	2475.0
